rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,60100,-4.56,1.58,-5.63,-1.0061,0.672,0.036982,Mixed,9
2,016610,DB증권,12340,-3.81,-0.24,-5.25,-0.9581,0.709,0.032846,Mixed,7
3,000660,SK하이닉스,737000,-1.86,0.25,3.45,-0.7261,0.694,0.032324,Mixed,6
4,195870,해성디에스,50800,9.62,-6.09,-5.94,0.2953,0.694,0.030408,Short-term Surge,3
5,475830,오름테라퓨틱,134500,-0.58,16.53,33.64,-0.2536,0.798,0.029807,Long-term Growth,4
6,028260,삼성물산,262500,2.19,0.06,-2.50,-0.3438,0.705,0.029055,Mixed,4
7,064260,다날,7040,5.28,7.50,-0.22,0.0843,0.723,0.028499,Short-term Surge,3
8,267260,HD현대일렉트릭,819000,6.53,-6.32,-3.29,-0.0080,0.760,0.027652,Short-term Surge,3
9,047810,한국항공우주,135500,-5.94,-5.03,-5.53,-1.2431,0.728,0.027503,Mixed,6
10,054540,삼영엠텍,14690,5.15,0.14,-14.16,-0.0860,0.595,0.026970,Short-term Surge,3
11,402340,SK스퀘어,425500,-7.11,-3.60,-6.25,-1.3415,0.713,0.026658,Mixed,6
12,071055,한국금융지주우,131600,3.67,-1.53,-7.87,-0.2375,0.716,0.025553,Mixed,3
13,032830,삼성생명,162000,3.36,-0.79,-4.79,-0.2473,0.736,0.025449,Mixed,3
14,005930,삼성전자,139800,-5.83,-1.09,3.69,-1.1422,0.709,0.025412,Mixed,5
15,029460,케이씨,28800,-1.85,-1.27,-13.18,-0.8037,0.785,0.024670,Mixed,4
16,071050,한국금융지주,169600,2.87,-2.56,-7.13,-0.3312,0.801,0.024612,Mixed,3
17,071970,HD현대마린엔진,90700,2.28,-2.00,-4.21,-0.3719,0.717,0.024322,Mixed,3
18,039490,키움증권,309000,1.17,-1.68,-4.61,-0.4793,0.727,0.023326,Mixed,3
19,034730,SK,282000,1.58,-4.81,-5.22,-0.4867,0.705,0.023290,Mixed,3
20,103140,풍산,113100,0.46,2.89,-2.81,-0.4750,0.823,0.023228,Mixed,3
21,295310,에이치브이엠,67300,-7.16,16.52,3.66,-1.0116,0.679,0.023047,Mixed,4
22,332570,PS일렉트로닉스,8220,-10.18,-11.27,-10.87,-1.7787,0.703,0.022717,Mixed,6
23,014680,한솔케미칼,252000,0.71,-5.30,-7.37,-0.5885,0.706,0.022361,Mixed,3
24,006910,보성파워텍,5650,0.57,-3.91,-4.27,-0.5713,0.806,0.022346,Mixed,3
25,039440,에스티아이,33150,-0.46,-1.16,2.91,-0.6092,0.710,0.022163,Mixed,3
26,131970,두산테스나,52400,-4.74,-3.42,-7.46,-1.1057,0.708,0.022102,Mixed,4
27,211270,AP위성,14140,-4.44,-3.39,-12.38,-1.0919,0.807,0.021901,Mixed,4
28,042700,한미반도체,186700,-13.11,-11.25,-20.53,-2.1035,0.824,0.021662,Mixed,7
29,097230,HJ중공업,24050,-1.18,-1.84,-4.19,-0.7154,0.737,0.021136,Mixed,3
30,034020,두산에너빌리티,83900,-0.48,-5.41,-8.61,-0.7137,0.806,0.021004,Mixed,3
