rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,60100,-9.99,1.03,1.48,-0.9790,0.672,0.032762,Mixed,7
2,016610,DB증권,12340,-9.52,-0.07,-0.42,-0.9541,0.706,0.027136,Mixed,5
3,071320,지역난방공사,96900,4.60,-2.10,5.02,0.4453,0.707,0.026034,Balanced,2
4,000660,SK하이닉스,737000,-7.47,-0.78,5.73,-0.7392,0.683,0.025500,Mixed,4
5,005930,삼성전자,139800,-11.52,-2.53,10.44,-1.1551,0.709,0.025291,Mixed,5
6,475830,오름테라퓨틱,134500,-6.17,16.21,33.57,-0.2621,0.808,0.025256,Long-term Growth,3
7,195870,해성디에스,50800,4.02,-6.77,-1.22,0.2967,0.695,0.024668,Mixed,2
8,402340,SK스퀘어,425500,-12.61,-3.52,-0.45,-1.3150,0.709,0.023832,Mixed,5
9,064260,다날,7040,-0.36,5.56,5.43,0.0651,0.690,0.022563,Mixed,2
10,039440,에스티아이,33150,-6.04,-1.20,8.57,-0.5935,0.711,0.022305,Mixed,3
11,211270,AP위성,14140,-10.11,-3.59,-5.72,-1.0838,0.799,0.022005,Mixed,4
12,267260,HD현대일렉트릭,819000,0.85,-6.81,1.91,-0.0112,0.686,0.021871,Balanced,2
13,032500,케이엠더블유,15240,0.37,-4.58,0.26,-0.0306,0.609,0.021702,Balanced,2
14,054540,삼영엠텍,14690,-0.52,-0.14,-7.97,-0.0804,0.603,0.021264,Mixed,2
15,047810,한국항공우주,135500,-11.57,-4.63,-0.72,-1.2291,0.713,0.020956,Mixed,4
16,071055,한국금융지주우,131600,-1.96,-1.77,-2.62,-0.2316,0.712,0.019856,Mixed,2
17,032830,삼성생명,162000,-2.31,-1.10,1.30,-0.2433,0.731,0.019736,Mixed,2
18,332570,PS일렉트로닉스,8220,-15.67,-12.57,-5.42,-1.7732,0.704,0.019676,Mixed,5
19,071050,한국금융지주,169600,-2.76,-2.98,-0.64,-0.3231,0.728,0.019005,Mixed,2
20,028260,삼성물산,262500,-3.45,-1.01,3.67,-0.3482,0.706,0.018798,Mixed,2
21,071970,HD현대마린엔진,90700,-3.26,-2.09,1.52,-0.3526,0.708,0.018756,Mixed,2
22,295310,에이치브이엠,67300,-12.51,14.26,10.06,-1.0035,0.675,0.018670,Mixed,3
23,131970,두산테스나,52400,-10.27,-4.05,-1.26,-1.0915,0.708,0.017767,Mixed,3
24,034730,SK,282000,-4.10,-4.22,-0.64,-0.4753,0.698,0.017649,Mixed,2
25,039490,키움증권,309000,-4.54,-1.92,2.88,-0.4730,0.728,0.017629,Mixed,2
26,103140,풍산,113100,-5.18,2.35,4.90,-0.4665,0.804,0.017581,Mixed,2
27,014680,한솔케미칼,252000,-4.96,-6.24,-1.15,-0.5934,0.709,0.016557,Mixed,2
28,006910,보성파워텍,5650,-5.09,-5.00,1.28,-0.5793,0.817,0.016498,Mixed,2
29,451760,컨텍,13650,-12.12,-3.32,-3.86,-1.2746,0.696,0.016141,Mixed,3
30,042700,한미반도체,186700,-18.95,-10.63,-17.08,-2.1116,0.830,0.015794,Mixed,5
