rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,58000,-1.23,6.02,-3.09,-0.5877,0.698,0.040708,Mixed,9
2,000660,SK하이닉스,756000,1.52,-1.94,6.71,-0.3992,0.597,0.035408,Balanced,6
3,016610,DB증권,12000,-2.42,-0.70,-4.27,-0.8108,0.700,0.034210,Mixed,7
4,195870,해성디에스,46950,12.66,-5.28,-2.19,0.6354,0.673,0.033457,Short-term Surge,3
5,012200,계양전기,10980,0.48,50.05,76.58,0.5090,0.622,0.032238,Long-term Growth,3
6,064260,다날,6860,7.03,5.78,2.79,0.2544,0.710,0.030049,Short-term Surge,3
7,475830,오름테라퓨틱,142100,-1.82,21.59,37.78,-0.2771,0.824,0.029564,Long-term Growth,4
8,047810,한국항공우주,142800,-5.16,-4.07,-2.80,-1.1311,0.700,0.028624,Mixed,6
9,028260,삼성물산,270500,0.77,0.16,0.26,-0.4641,0.702,0.027963,Balanced,4
10,295310,에이치브이엠,69300,-2.21,15.50,6.18,-0.5127,0.604,0.027672,Mixed,4
11,071055,한국금융지주우,128100,5.53,-0.48,-4.98,-0.0157,0.569,0.027589,Short-term Surge,3
12,014680,한솔케미칼,236500,5.20,-1.51,-4.38,-0.0614,0.585,0.027188,Short-term Surge,3
13,006910,보성파워텍,5360,4.63,0.53,-1.36,-0.0780,0.610,0.027037,Mixed,3
14,032830,삼성생명,159200,4.37,1.68,-2.86,-0.0918,0.755,0.026875,Mixed,3
15,228760,지노믹트리,28750,4.33,-4.79,7.18,-0.1596,0.710,0.026268,Balanced,3
16,054540,삼영엠텍,15280,3.83,1.30,-9.42,-0.1737,0.647,0.026173,Mixed,3
17,071050,한국금융지주,165700,3.94,-1.69,-3.10,-0.1864,0.723,0.026017,Mixed,3
18,402340,SK스퀘어,430500,-8.18,-5.71,-6.87,-1.4708,0.710,0.025487,Mixed,6
19,039440,에스티아이,31550,2.07,2.51,6.72,-0.2774,0.694,0.025206,Balanced,3
20,451760,컨텍,14490,-2.76,1.40,-7.84,-0.8262,0.613,0.024887,Mixed,4
21,005930,삼성전자,138800,-6.65,-2.55,0.67,-1.2455,0.715,0.024444,Mixed,5
22,029460,케이씨,28300,-2.18,-2.85,-7.58,-0.8305,0.799,0.024385,Mixed,4
23,039490,키움증권,306500,1.73,-0.89,-0.51,-0.3865,0.730,0.024174,Mixed,3
24,267260,HD현대일렉트릭,862000,2.92,-8.16,-2.20,-0.3821,0.788,0.024148,Mixed,3
25,034730,SK,279500,2.22,-3.82,-5.12,-0.3972,0.685,0.024129,Mixed,3
26,211270,AP위성,15430,-2.99,-6.09,-9.53,-0.9672,0.614,0.023636,Mixed,4
27,131970,두산테스나,52100,-3.86,-3.40,-4.27,-0.9955,0.697,0.023137,Mixed,4
28,103140,풍산,114000,-0.21,3.66,-0.75,-0.5130,0.914,0.022728,High Confidence,3
29,034020,두산에너빌리티,83700,0.18,-5.87,-5.59,-0.6334,0.817,0.021739,Mixed,3
30,071970,HD현대마린엔진,96200,0.05,-6.66,-2.50,-0.6475,0.814,0.021612,Mixed,3
