rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,58000,0.00,0.00,0.00,0.0000,0.000,0.049698,Mixed,11
2,016610,DB증권,12000,0.00,0.00,0.00,0.0000,0.000,0.046052,Mixed,9
3,332570,PS일렉트로닉스,7890,0.00,0.00,0.00,0.0000,0.000,0.041589,Mixed,7
4,000660,SK하이닉스,756000,0.00,0.00,0.00,0.0000,0.000,0.041589,Mixed,7
5,047810,한국항공우주,142800,0.00,0.00,0.00,0.0000,0.000,0.041589,Mixed,7
6,211270,AP위성,15430,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
7,042700,한미반도체,185700,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
8,402340,SK스퀘어,430500,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
9,012200,계양전기,10980,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
10,079550,LIG넥스원,545000,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
11,029460,케이씨,28300,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
12,028260,삼성물산,270500,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
13,005930,삼성전자,138800,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
14,036540,SFA반도체,5730,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
15,095610,테스,52400,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
16,170920,엘티씨,21900,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
17,131970,두산테스나,52100,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
18,295310,에이치브이엠,69300,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
19,347700,스피어,18000,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
20,451760,컨텍,14490,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
21,080220,제주반도체,33000,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
22,032940,원익,12350,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
23,307950,현대오토에버,419500,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
24,023810,인팩,10650,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
25,006800,미래에셋증권,27650,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
26,034020,두산에너빌리티,83700,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
27,126340,비나텍,83200,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
28,054540,삼영엠텍,15280,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
29,097230,HJ중공업,24650,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
30,071970,HD현대마린엔진,96200,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
