rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,60100,-4.98,-0.26,-6.93,-1.0031,0.672,0.032546,Mixed,7
2,016610,DB증권,12340,-4.20,-1.12,-4.27,-0.9291,0.705,0.027368,Mixed,5
3,071320,지역난방공사,96900,9.82,-3.34,1.12,0.4584,0.702,0.026147,Short-term Surge,2
4,000660,SK하이닉스,737000,-2.38,-2.04,2.57,-0.7374,0.692,0.025497,Mixed,4
5,475830,오름테라퓨틱,134500,-1.06,14.45,33.09,-0.2561,0.802,0.025317,Long-term Growth,3
6,005930,삼성전자,139800,-6.56,-5.56,3.77,-1.2043,0.728,0.024776,Mixed,5
7,195870,해성디에스,50800,9.07,-8.12,-6.88,0.2842,0.698,0.024557,Short-term Surge,2
8,402340,SK스퀘어,425500,-7.70,-5.21,-5.83,-1.3450,0.713,0.023545,Mixed,5
9,064260,다날,7040,4.79,4.20,1.48,0.0693,0.617,0.022585,Balanced,2
10,039440,에스티아이,33150,-0.83,-2.33,2.34,-0.5882,0.714,0.022349,Mixed,3
11,211270,AP위성,14140,-4.74,-5.05,-11.90,-1.0670,0.807,0.022135,Mixed,4
12,267260,HD현대일렉트릭,819000,5.98,-7.64,-1.68,-0.0001,0.688,0.021971,Short-term Surge,2
13,032500,케이엠더블유,15240,5.48,-5.72,-5.00,-0.0318,0.608,0.021691,Short-term Surge,2
14,054540,삼영엠텍,14690,4.57,0.02,-14.03,-0.0672,0.605,0.021380,Mixed,2
15,047810,한국항공우주,135500,-6.43,-5.65,-5.77,-1.2244,0.708,0.021017,Mixed,4
16,071055,한국금융지주우,131600,3.13,-2.87,-7.46,-0.2326,0.711,0.019848,Mixed,2
17,332570,PS일렉트로닉스,8220,-10.68,-12.25,-9.09,-1.7592,0.700,0.019828,Mixed,5
18,032830,삼성생명,162000,2.82,-2.00,-4.95,-0.2421,0.713,0.019760,Mixed,2
19,295310,에이치브이엠,67300,-7.33,16.30,4.25,-0.9523,0.675,0.019130,Mixed,3
20,071050,한국금융지주,169600,2.35,-4.10,-6.30,-0.3255,0.722,0.018989,Mixed,2
21,028260,삼성물산,262500,1.63,-1.25,-0.51,-0.3350,0.700,0.018924,Mixed,2
22,071970,HD현대마린엔진,90700,1.74,-3.27,-2.31,-0.3606,0.712,0.018677,Mixed,2
23,039490,키움증권,309000,0.59,-3.09,-2.51,-0.4734,0.728,0.017624,Mixed,2
24,131970,두산테스나,52400,-5.14,-5.92,-7.50,-1.1049,0.730,0.017573,Mixed,3
25,103140,풍산,113100,-0.07,1.55,-2.15,-0.4683,0.822,0.017539,Mixed,2
26,034730,SK,282000,0.96,-6.69,-5.62,-0.5007,0.702,0.017412,Mixed,2
27,014680,한솔케미칼,252000,0.13,-6.62,-5.63,-0.5824,0.705,0.016664,Mixed,2
28,006910,보성파워텍,5650,0.06,-5.87,-3.33,-0.5711,0.813,0.016582,Mixed,2
29,170920,엘티씨,21750,-5.25,-9.77,-23.92,-1.2284,0.746,0.016376,Mixed,3
30,451760,컨텍,13650,-7.01,-4.03,-9.35,-1.2704,0.698,0.016175,Mixed,3
