rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,60100,-4.77,-1.22,-4.88,-0.9913,0.673,0.032647,Mixed,7
2,016610,DB증권,12340,-4.36,-1.48,-4.74,-0.9541,0.701,0.027149,Mixed,5
3,071320,지역난방공사,96900,9.75,-4.23,-0.24,0.4313,0.703,0.025901,Short-term Surge,2
4,000660,SK하이닉스,737000,-2.18,-1.01,4.96,-0.6964,0.695,0.025862,Mixed,4
5,005930,삼성전자,139800,-6.41,-4.15,7.17,-1.1593,0.708,0.025257,Mixed,5
6,475830,오름테라퓨틱,134500,-1.32,16.21,26.74,-0.2799,0.808,0.025088,Long-term Growth,3
7,195870,해성디에스,50800,9.08,-7.86,-5.01,0.2938,0.695,0.024641,Short-term Surge,2
8,402340,SK스퀘어,425500,-7.54,-4.82,-5.87,-1.3256,0.711,0.023729,Mixed,5
9,064260,다날,7040,4.83,4.06,1.74,0.0698,0.616,0.022589,Balanced,2
10,039440,에스티아이,33150,-0.95,-3.63,4.42,-0.6145,0.709,0.022117,Mixed,3
11,211270,AP위성,14140,-4.92,-5.23,-11.03,-1.0866,0.807,0.021952,Mixed,4
12,267260,HD현대일렉트릭,819000,5.98,-7.96,-2.10,-0.0083,0.685,0.021897,Short-term Surge,2
13,032500,케이엠더블유,15240,5.48,-6.20,-4.03,-0.0384,0.613,0.021633,Short-term Surge,2
14,054540,삼영엠텍,14690,4.78,-1.77,-12.37,-0.0691,0.592,0.021366,Mixed,2
15,047810,한국항공우주,135500,-6.50,-6.61,-4.11,-1.2428,0.726,0.020781,Mixed,4
16,071055,한국금융지주우,131600,3.21,-3.20,-6.26,-0.2272,0.713,0.019896,Mixed,2
17,032830,삼성생명,162000,2.83,-2.15,-3.52,-0.2406,0.729,0.019762,Mixed,2
18,332570,PS일렉트로닉스,8220,-10.40,-14.92,-8.47,-1.7718,0.705,0.019684,Mixed,5
19,295310,에이치브이엠,67300,-6.86,12.76,1.48,-0.9693,0.657,0.019031,Mixed,3
20,028260,삼성물산,262500,1.71,-1.23,-1.11,-0.3314,0.703,0.018954,Mixed,2
21,071050,한국금융지주,169600,2.37,-4.45,-5.35,-0.3272,0.809,0.018888,Mixed,2
22,071970,HD현대마린엔진,90700,1.74,-3.36,-3.47,-0.3675,0.712,0.018616,Mixed,2
23,039490,키움증권,309000,0.68,-2.80,-2.82,-0.4629,0.726,0.017724,Mixed,2
24,103140,풍산,113100,-0.02,0.95,-0.87,-0.4703,0.817,0.017528,Mixed,2
25,034730,SK,282000,1.04,-6.55,-6.01,-0.4945,0.699,0.017474,Mixed,2
26,131970,두산테스나,52400,-5.09,-6.49,-5.48,-1.1046,0.805,0.017326,Mixed,3
27,014680,한솔케미칼,252000,0.28,-6.89,-6.24,-0.5756,0.706,0.016725,Mixed,2
28,006910,보성파워텍,5650,0.08,-6.30,-3.17,-0.5768,0.821,0.016514,Mixed,2
29,170920,엘티씨,21750,-5.12,-9.63,-25.16,-1.2206,0.748,0.016443,Mixed,3
30,451760,컨텍,13650,-7.19,-4.81,-9.55,-1.3027,0.697,0.015883,Mixed,3
