rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,036420,콘텐트리중앙,6090,20.15,27.29,28.94,1.9716,0.864,0.046637,High Confidence,3
2,001430,세아베스틸지주,58000,-1.24,8.13,-3.05,-0.5620,0.700,0.044583,Mixed,11
3,012200,계양전기,10980,2.38,50.11,67.20,0.6646,0.615,0.041713,Long-term Growth,5
4,016610,DB증권,12000,-2.35,-0.00,-4.34,-0.7986,0.697,0.038793,Mixed,9
5,000660,SK하이닉스,756000,1.62,-2.52,4.91,-0.4088,0.600,0.037991,Balanced,7
6,195870,해성디에스,46950,12.38,-3.86,-2.53,0.6224,0.675,0.037807,Short-term Surge,4
7,064260,다날,6860,7.00,5.59,2.73,0.2435,0.702,0.034406,Short-term Surge,4
8,071055,한국금융지주우,128100,5.60,-0.47,-6.03,-0.0169,0.573,0.032041,Short-term Surge,4
9,028260,삼성물산,270500,0.81,-0.34,0.65,-0.4710,0.703,0.031545,Balanced,5
10,295310,에이치브이엠,69300,-2.41,18.01,2.52,-0.5114,0.615,0.031312,Mixed,5
11,047810,한국항공우주,142800,-5.18,-4.98,-2.65,-1.1506,0.707,0.031096,Mixed,7
12,014680,한솔케미칼,236500,4.40,-1.55,-3.66,-0.1452,0.582,0.030919,Mixed,4
13,054540,삼영엠텍,15280,3.99,0.77,-8.61,-0.1676,0.648,0.030690,Mixed,4
14,071050,한국금융지주,165700,3.95,-1.45,-2.93,-0.1861,0.721,0.030483,Mixed,4
15,475830,오름테라퓨틱,142100,-1.53,22.09,42.68,-0.2291,0.815,0.030024,Long-term Growth,4
16,211270,AP위성,15430,-3.10,-8.32,-8.60,-1.0133,0.682,0.029753,Mixed,6
17,451760,컨텍,14490,-2.66,3.00,-7.51,-0.7957,0.617,0.028792,Mixed,5
18,267260,HD현대일렉트릭,862000,3.00,-8.03,-1.66,-0.3753,0.787,0.028676,Mixed,4
19,039490,키움증권,306500,1.74,-0.70,-1.21,-0.3901,0.726,0.028608,Mixed,4
20,034730,SK,279500,2.29,-4.12,-5.71,-0.4015,0.686,0.028552,Mixed,4
21,029460,케이씨,28300,-2.14,-3.20,-7.38,-0.8357,0.785,0.028018,Mixed,5
22,131970,두산테스나,52100,-3.86,-4.35,-3.93,-1.0136,0.704,0.026597,Mixed,5
23,071970,HD현대마린엔진,96200,0.13,-5.74,-2.79,-0.6317,0.731,0.026382,Mixed,4
24,034020,두산에너빌리티,83700,0.25,-5.65,-6.12,-0.6299,0.811,0.026248,Mixed,4
25,402340,SK스퀘어,430500,-8.41,-5.88,-3.45,-1.4900,0.704,0.025339,Mixed,6
26,097230,HJ중공업,24650,-1.38,-4.95,-1.90,-0.7676,0.822,0.024923,Mixed,4
27,005930,삼성전자,138800,-6.59,-3.42,1.34,-1.2548,0.719,0.024346,Mixed,5
28,103590,일진전기,61900,-1.51,-10.30,-7.21,-0.8788,0.716,0.024150,Mixed,4
29,079550,LIG넥스원,527000,-6.21,-7.87,-2.89,-1.2983,0.711,0.023977,Mixed,5
30,170920,엘티씨,21900,-5.70,-10.21,-14.97,-1.3227,0.742,0.023631,Mixed,5
