rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,036420,콘텐트리중앙,6090,21.21,26.79,30.47,2.0767,0.856,0.047597,High Confidence,3
2,001430,세아베스틸지주,58000,-1.27,7.63,-6.11,-0.5803,0.697,0.044423,Mixed,11
3,012200,계양전기,10980,1.55,49.70,70.85,0.5890,0.618,0.041051,Long-term Growth,5
4,016610,DB증권,12000,-2.17,-0.47,-5.06,-0.7883,0.705,0.038867,Mixed,9
5,000660,SK하이닉스,756000,1.51,-2.99,5.34,-0.4230,0.600,0.037866,Balanced,7
6,195870,해성디에스,46950,12.69,-5.39,-4.79,0.6246,0.676,0.037828,Short-term Surge,4
7,064260,다날,6860,7.04,4.95,-0.39,0.2295,0.634,0.034232,Short-term Surge,4
8,071055,한국금융지주우,128100,5.65,-0.09,-7.31,-0.0084,0.571,0.032115,Short-term Surge,4
9,014680,한솔케미칼,236500,5.29,-1.39,-5.08,-0.0565,0.585,0.031694,Short-term Surge,4
10,028260,삼성물산,270500,0.94,-1.23,-0.61,-0.4733,0.707,0.031518,Mixed,5
11,047810,한국항공우주,142800,-5.17,-4.06,-3.62,-1.1376,0.704,0.031223,Mixed,7
12,295310,에이치브이엠,69300,-2.21,15.47,1.90,-0.5301,0.608,0.031158,Mixed,5
13,054540,삼영엠텍,15280,4.03,0.97,-9.45,-0.1614,0.645,0.030747,Mixed,4
14,071050,한국금융지주,165700,4.03,-2.18,-4.65,-0.1922,0.799,0.030382,Mixed,4
15,211270,AP위성,15430,-3.18,-7.69,-11.03,-1.0176,0.620,0.029901,Mixed,6
16,475830,오름테라퓨틱,142100,-1.75,20.90,41.32,-0.2715,0.818,0.029622,Long-term Growth,4
17,451760,컨텍,14490,-2.27,2.31,-9.18,-0.7702,0.617,0.029017,Mixed,5
18,034730,SK,279500,2.38,-3.73,-5.83,-0.3846,0.685,0.028706,Mixed,4
19,267260,HD현대일렉트릭,862000,3.05,-8.31,-2.63,-0.3758,0.783,0.028675,Mixed,4
20,039490,키움증권,306500,1.83,-0.82,-2.22,-0.3838,0.726,0.028666,Mixed,4
21,029460,케이씨,28300,-2.01,-3.39,-8.46,-0.8276,0.714,0.028270,Mixed,5
22,131970,두산테스나,52100,-3.63,-4.72,-5.46,-0.9993,0.702,0.026737,Mixed,5
23,034020,두산에너빌리티,83700,0.31,-6.21,-7.47,-0.6343,0.814,0.026199,Mixed,4
24,079550,LIG넥스원,545000,-4.16,-8.34,-4.29,-1.1024,0.599,0.026137,Mixed,5
25,071970,HD현대마린엔진,96200,0.14,-7.07,-5.81,-0.6584,0.810,0.025980,Mixed,4
26,402340,SK스퀘어,430500,-7.78,-6.80,-7.45,-1.4517,0.713,0.025652,Mixed,6
27,097230,HJ중공업,24650,-1.31,-4.51,-6.12,-0.7658,0.726,0.025161,Mixed,4
28,005930,삼성전자,138800,-6.51,-3.14,0.00,-1.2451,0.714,0.024451,Mixed,5
29,103590,일진전기,61900,-1.34,-11.54,-10.10,-0.8884,0.725,0.024039,Mixed,4
30,170920,엘티씨,21900,-5.52,-10.56,-16.17,-1.3118,0.742,0.023734,Mixed,5
