date,rank,change,category,momentum_score,volatility_score,composite_score
2026-02-23,1,▲+1,Energy,15.35,18.5,1.45
2026-02-23,2,▼-1,Utilities,10.7,15.15,1.28
2026-02-23,3,─,Consumer Staples,10.42,14.67,1.14
2026-02-23,4,▲+3,Industrials,11.45,19.29,0.8
2026-02-23,5,─,Real Estate,6.62,13.49,0.76
2026-02-23,6,▼-2,Pharmaceutical,9.77,16.89,0.7
2026-02-23,7,▲+4,Materials,25.39,53.14,0.7
2026-02-23,8,▼-2,Electric Energy Infrastructure,9.88,20.28,0.65
2026-02-23,9,─,Semiconductors,18.26,33.76,0.59
2026-02-23,10,▲+2,Silver Miners,35.43,76.47,0.51
2026-02-23,11,▲+2,Clean Energy,11.03,36.55,0.18
2026-02-23,12,▼-4,Mortgage REITs,3.17,14.67,0.17
2026-02-23,13,▲+3,Metals & Mining,15.18,50.31,0.08
2026-02-23,14,─,Biotechnology,8.58,26.5,0.08
2026-02-23,15,▲+3,Uranium,16.68,65.78,0.06
2026-02-23,16,▲+1,Nuclear Energy,9.88,42.69,0.05
2026-02-23,17,▼-2,Healthcare,3.84,15.39,-0.08
2026-02-23,18,▲+6,Automotive,-0.65,72.77,-0.12
2026-02-23,19,▼-9,Banks,2.48,22.53,-0.23
2026-02-23,20,▼-1,Telecom,-0.63,15.65,-0.61
2026-02-23,21,▲+1,Technology,-1.34,21.55,-0.66
2026-02-23,22,▼-1,Leisure & Entertainment,-11.09,50.54,-0.7
2026-02-23,23,▲+3,Medical Devices,-1.99,17.52,-0.73
2026-02-23,24,▼-4,Financials,-1.93,20.11,-0.74
2026-02-23,25,▼-2,Consumer Discretionary,-4.89,34.58,-1.04
2026-02-23,26,▼-1,Cloud Computing,-10.01,30.68,-1.2
2026-02-23,27,─,Cryptocurrency,-22.4,60.53,-1.26
2026-02-23,28,─,Internet,-11.92,23.19,-1.67
2026-02-23,29,─,Software,-18.96,31.57,-1.8
