티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
295310,에이치브이엠,68200.0,68200.0,57970,88660,18.9,01/08,W바닥,상승패턴,8022
347700,스피어,18120.0,18200.0,15402,23556,15.7,01/08,W바닥,상승패턴,8511
099320,쎄트렉아이,109700.0,109300.0,93245,142610,15.2,01/08,상승삼각,상승패턴,11510
065660,안트로젠,50500.0,50400.0,42925,65650,15.0,01/08,상승삼각,상승패턴,4783
451760,컨텍,14200.0,14150.0,12070,18460,13.0,01/08,W바닥,상승패턴,2135
475830,오름테라퓨틱,140700.0,141900.0,119595,182910,12.7,01/08,상승삼각,상승패턴,29704
080220,제주반도체,32800.0,32800.0,27880,42640,12.0,01/08,W바닥,상승패턴,11091
174900,앱클론,58000.0,58700.0,49300,75400,11.5,01/08,상승삼각,상승패턴,11162
000660,SK하이닉스,780000.0,776000.0,663000,1014000,11.2,01/08,W바닥,상승패턴,5714819
079550,LIG넥스원,528000.0,529000.0,448800,686400,9.5,01/08,상승삼각,상승패턴,114840
397030,에이프릴바이오,56600.0,56800.0,48110,73580,9.3,01/08,상승삼각,상승패턴,13113
095610,테스,57200.0,56600.0,48620,74360,8.8,01/08,W바닥,상승패턴,11604
001430,세아베스틸지주,57600.0,57000.0,48960,74880,8.6,01/08,W바닥,상승패턴,20549
170920,엘티씨,22450.0,22400.0,19082,29185,8.3,01/08,W바닥,상승패턴,2393
190510,나무가,24800.0,24900.0,21080,32240,8.1,01/08,W바닥,상승패턴,3572
047810,한국항공우주,140000.0,140100.0,119000,182000,7.8,01/08,W바닥,상승패턴,136173
207940,삼성바이오로직스,1883000.0,1874000.0,1600550,2447900,7.7,01/08,W바닥,"상승패턴, 이격도8.2%+기울기2.47%",837403
482630,삼양엔씨켐,27800.0,27350.0,23630,36140,7.6,01/08,상승삼각,상승패턴,3223
036540,SFA반도체,5780.0,5750.0,4913,7514,7.3,01/08,W바닥,"상승패턴, 이격도7.1%+기울기1.17%",9769
032940,원익,12200.0,12140.0,10370,15860,7.1,01/08,W바닥,"상승패턴, 이격도-2.6%+기울기4.68%",2250
249420,일동제약,41750.0,42050.0,35488,54275,7.0,-,-,이격도8.4%+기울기1.44%,12908
230360,에코마케팅,15900.0,15900.0,13515,20670,6.9,01/08,W바닥,상승패턴,4932
029460,케이씨,28400.0,28200.0,24140,36920,6.8,01/08,W바닥,"상승패턴, 이격도7.9%+기울기1.05%",3877
006800,미래에셋증권,27750.0,27950.0,23588,36075,6.8,01/08,W바닥,상승패턴,157650
011210,현대위아,84800.0,85600.0,72080,110240,6.7,01/08,상승삼각,상승패턴,23768
027360,아주IB투자,3355.0,3340.0,2852,4362,6.6,-,-,이격도3.9%+기울기1.04%,4113
352820,하이브,332500.0,329500.0,282625,432250,6.2,01/08,W바닥,상승패턴,137929
128940,한미약품,463500.0,464000.0,393975,602550,6.2,01/08,W바닥,상승패턴,59379
037460,삼지전자,16390.0,16500.0,13932,21307,6.0,01/05,상승삼각,이격도3.5%+기울기0.57%,2693
253590,네오셈,12220.0,12230.0,10387,15886,6.0,01/08,W바닥,"상승패턴, 이격도9.4%+기울기3.03%",5506
