date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-25,1,─,Energy,19.13,15.64,3.1
2026-03-25,2,─,Automotive,15.61,70.3,1.04
2026-03-25,3,─,Clean Energy,4.81,35.95,0.7
2026-03-25,4,─,Semiconductors,5.94,33.87,0.65
2026-03-25,5,─,Biotechnology,2.9,28.17,0.52
2026-03-25,6,─,Utilities,1.0,17.46,0.36
2026-03-25,7,▲+1,Metals & Mining,2.99,48.51,0.28
2026-03-25,8,▲+7,Electric Energy Infrastructure,-0.4,22.45,0.18
2026-03-25,9,▲+3,Materials,-3.21,45.92,0.17
2026-03-25,10,▲+7,Uranium,-1.55,57.4,0.15
2026-03-25,11,─,Industrials,0.35,20.69,0.14
2026-03-25,12,▲+1,Nuclear Energy,-1.77,39.18,0.13
2026-03-25,13,▼-4,Cryptocurrency,-10.99,49.88,0.07
2026-03-25,14,▲+2,Pharmaceutical,-0.23,17.28,0.07
2026-03-25,15,▼-5,Cloud Computing,-6.93,26.63,-0.1
2026-03-25,16,▼-9,Software,-9.05,26.05,-0.1
2026-03-25,17,▼-3,Technology,-4.22,19.74,-0.15
2026-03-25,18,▲+5,Silver Miners,-8.26,63.32,-0.34
2026-03-25,19,▲+7,Banks,-4.89,23.3,-0.34
2026-03-25,20,▲+1,Healthcare,-3.56,17.6,-0.38
2026-03-25,21,▲+3,Leisure & Entertainment,-17.29,49.18,-0.46
2026-03-25,22,▲+5,Consumer Discretionary,-12.28,36.25,-0.47
2026-03-25,23,▼-4,Mortgage REITs,-4.36,17.54,-0.48
2026-03-25,24,▲+1,Internet,-10.6,24.38,-0.5
2026-03-25,25,▼-3,Telecom,-4.52,14.0,-0.54
2026-03-25,26,▼-6,Consumer Staples,-3.09,18.98,-0.55
2026-03-25,27,▼-9,Real Estate,-4.34,14.61,-0.67
2026-03-25,28,─,Financials,-6.98,17.88,-0.8
2026-03-25,29,─,Medical Devices,-9.49,18.69,-1.15
