구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
매도패턴,069960.KS,현대백화점,2026-03-30,,84400.0,79800.0,,11.47,0.0,0.0,Triple Top,,,,-5.45,
매도패턴,140860.KS,파크시스템스,2026-03-30,,257000.0,241000.0,,-14.34,0.0,0.0,Triple Top,,,,-6.23,
매도패턴,101490.KS,에스앤에스텍,2026-03-30,,79900.0,79600.0,,98.61,0.0,0.0,Rect Top,,,,-0.38,
매도패턴,166090.KS,하나머티리얼즈,2026-03-30,,64828.57142857136,60000.0,,135.11,0.0,0.0,H&S,,,,-7.45,
매도패턴,005300.KS,롯데칠성,2026-03-30,,115000.0,113700.0,,-3.73,0.0,0.0,Triple Top,,,,-1.13,
매도패턴,161580.KS,필옵틱스,2026-03-30,,38100.0,37900.0,,3.55,0.0,0.0,Rect Top,,,,-0.52,
매도패턴,00088K.KS,한화3우B,2026-03-30,,45100.0,44150.0,,12.34,0.0,0.0,Rect Top,,,,-2.11,
매도패턴,348210.KS,넥스틴,2026-03-30,,71100.0,68400.0,,37.22,0.0,0.0,Rect Top,,,,-3.8,
매도패턴,214320.KS,이노션,2026-03-30,,17950.0,17880.0,,-10.82,0.0,0.0,Triple Top,,,,-0.39,
매도패턴,067160.KS,SOOP,2026-03-30,,60100.0,58900.0,,-31.77,0.0,0.0,Rect Top,,,,-2.0,
매도패턴,000640.KS,동아쏘시오홀딩스,2026-03-30,,98082.046875,95700.0,,-18.58,0.0,0.0,Rect Top,,,,-2.43,
매도패턴,211050.KS,인카금융서비스,2026-03-30,,12050.0,11860.0,,-14.32,0.0,0.0,Rect Top,,,,-1.58,
매도패턴,329180.KS,HD현대중공업,2026-03-27,,511000.0,480000.0,,9.52,0.0,0.0,Rect Top,,,,-6.07,
매도패턴,010130.KS,고려아연,2026-03-27,,1555800.0,1478000.0,,83.98,0.0,0.0,H&S,,,,-5.0,
매도패턴,064350.KS,현대로템,2026-03-27,,200000.0,180000.0,,-8.4,0.0,0.0,Triple Top,,,,-10.0,
매도패턴,005810.KS,풍산홀딩스,2026-03-27,,36050.0,34900.0,,-16.11,0.0,0.0,Triple Top,,,,-3.19,
매도패턴,105630.KS,한세실업,2026-03-27,,12290.0,11370.0,,8.91,0.0,0.0,Rect Top,,,,-7.49,
매도패턴,344820.KS,KCC글라스,2026-03-27,,25389.00390625,25100.0,,-21.09,0.0,0.0,H&S,,,,-1.14,
매도패턴,033500.KS,동성화인텍,2026-03-26,,24050.0,21750.0,,-14.73,0.0,0.0,Triple Top,,,,-9.56,
매도패턴,122640.KS,예스티,2026-03-26,,21600.0,20000.0,,24.53,0.0,0.0,Triple Top,,,,-7.41,
매도패턴,064760.KS,티씨케이,2026-03-25,,256500.0,231000.0,,124.96,0.0,0.0,H&S,,,,-9.94,
매도패턴,214370.KS,케어젠,2026-03-23,,106500.0,90900.0,,149.04,0.0,0.0,Rect Top,,,,-14.65,
매도패턴,068760.KS,셀트리온제약,2026-03-23,,57554.7890625,57000.0,,17.49,0.0,0.0,Triple Top,,,,-0.96,
매도패턴,082270.KS,젬백스,2026-03-23,,38000.0,41750.0,,-32.11,0.0,0.0,Triple Top,,,,9.87,
매도패턴,035760.KS,CJ ENM,2026-03-23,,60500.0,57900.0,,-23.31,0.0,0.0,Triple Top,,,,-4.3,
