티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
012200,계양전기,12540.0,12460.0,10659,16302,24.3,01/12,상승삼각,상승패턴,3419
290740,액트로,20450.0,20550.0,17382,26585,21.6,01/12,상승삼각,상승패턴,2073
099320,쎄트렉아이,128800.0,130800.0,109480,167440,20.0,01/12,상승삼각,상승패턴,14138
295310,에이치브이엠,80500.0,81000.0,68425,104650,17.8,01/12,W바닥,상승패턴,9593
475830,오름테라퓨틱,132000.0,133400.0,112200,171600,13.9,01/12,상승삼각,상승패턴,28154
220260,켐트로스,8120.0,7950.0,6902,10556,12.2,01/12,상승삼각,상승패턴,2183
043260,성호전자,13780.0,13790.0,11713,17914,12.2,01/12,상승삼각,상승패턴,9766
079550,LIG넥스원,555000.0,560000.0,471750,721500,12.1,01/12,상승삼각,상승패턴,121880
200470,에이팩트,7770.0,7890.0,6604,10101,12.0,01/12,상승삼각,상승패턴,3292
189300,인텔리안테크,74700.0,75200.0,63495,97110,10.9,01/12,상승삼각,상승패턴,8029
451760,컨텍,14880.0,15090.0,12648,19344,10.9,01/12,W바닥,상승패턴,2271
047810,한국항공우주,151000.0,151500.0,128350,196300,10.8,01/12,W바닥,상승패턴,147090
474650,링크솔루션,68700.0,69200.0,58395,89310,10.7,01/12,상승삼각,상승패턴,3881
417310,코람코더원리츠,8640.0,8290.0,7344,11232,10.3,12/15,상승삼각,이격도5.5%+기울기0.59%,3478
001430,세아베스틸지주,68700.0,67700.0,58395,89310,10.2,01/12,W바닥,상승패턴,24781
368770,파이버프로,16800.0,16690.0,14280,21840,10.1,01/12,상승삼각,상승패턴,5510
000660,SK하이닉스,747000.0,752500.0,634950,971100,9.6,01/12,W바닥,상승패턴,5452738
464080,에스오에스랩,18980.0,19110.0,16133,24674,9.3,01/12,상승삼각,상승패턴,3367
347700,스피어,20050.0,20300.0,17042,26065,9.3,01/12,W바닥,상승패턴,9403
101170,우림피티에스,21700.0,22150.0,18445,28210,9.2,01/12,상승삼각,상승패턴,2956
080220,제주반도체,29800.0,29950.0,25330,38740,9.2,01/12,W바닥,상승패턴,10281
272210,한화시스템,77600.0,78200.0,65960,100880,9.2,01/12,상승삼각,상승패턴,146790
437730,삼현,66200.0,67000.0,56270,86060,8.8,01/12,상승삼각,상승패턴,20927
086280,현대글로비스,241500.0,245000.0,205275,313950,8.5,01/12,상승삼각,상승패턴,181125
397030,에이프릴바이오,55400.0,55500.0,47090,72020,8.2,01/12,상승삼각,상승패턴,12857
006800,미래에셋증권,28500.0,28650.0,24225,37050,8.0,01/12,W바닥,상승패턴,161903
304360,에스바이오메딕스,39800.0,39800.0,33830,51740,7.5,01/12,상승삼각,상승패턴,4850
214430,아이쓰리시스템,95100.0,96300.0,80835,123630,7.5,01/12,W바닥,상승패턴,6956
318060,그래피,32700.0,32900.0,27795,42510,7.3,01/12,상승삼각,상승패턴,3627
036540,SFA반도체,5570.0,5560.0,4734,7241,7.3,01/12,W바닥,상승패턴,9177
