# ========== 백테스트 최적화 결과 ==========
# 백테스트: disparity_cap_volatility_optimization | 최적화일: 2026-01-20
# IS  수익률: 276.3% | MDD: -19.6%
# OOS 수익률: 153.6% | MDD: -19.6%
# 손절: 20% | 익절: 40% (R:R 1:2)
# 이격도매수: 7.5% | 기울기매수: 0.6%
# 이격도상한: 40% | 변동성상위제외: 5%
# 최대포지션: 6개
# 스캔일시: 2026-01-21 11:32
# ==========================================
티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
047810,한국항공우주,161100.0,163700.0,128880,225540,15.4,01/21,W바닥,상승패턴,158689,18.3
005930,삼성전자,147300.0,149200.0,117840,206220,14.4,01/21,상승삼각,상승패턴,8772903,12.3
219130,219130,32350.0,32000.0,25880,45290,13.6,01/21,상승삼각,상승패턴,2049,30.3
012450,한화에어로스페이스,1291000.0,1294000.0,1032800,1807400,12.2,01/21,W바닥,상승패턴,667746,19.0
295310,에이치브이엠,85500.0,86100.0,68400,119700,11.9,01/21,W바닥,상승패턴,10355,33.3
950170,JTC,5510.0,5540.0,4408,7714,11.7,01/21,W바닥,상승패턴,2893,25.2
216080,제테마,8740.0,8830.0,6992,12236,11.5,01/21,상승삼각,상승패턴,3151,26.6
028260,삼성물산,294000.0,295500.0,235200,411600,11.3,01/21,상승삼각,상승패턴,501431,13.4
000990,DB하이텍,87600.0,87900.0,70080,122640,10.6,01/21,상승삼각,상승패턴,38415,17.6
02826K,삼성물산우B,175700.0,175800.0,140560,245980,9.7,01/21,상승삼각,상승패턴,2587,15.6
032940,원익,12920.0,13250.0,10336,18088,9.5,01/21,W바닥,상승패턴,2394,1.6
001430,세아베스틸지주,71000.0,70500.0,56800,99400,9.5,01/21,W바닥,상승패턴,25928,25.4
330590,롯데리츠,4290.0,4300.0,3432,6006,9.5,01/21,W바닥,"상승패턴, 이격도6.6%+기울기0.88%",12397,6.6
000860,강남제비스코,16930.0,17380.0,13544,23702,9.5,01/21,상승삼각,상승패턴,2216,19.7
448730,삼성FN리츠,4845.0,4845.0,3876,6783,9.4,01/21,상승삼각,상승패턴,4402,1.6
126720,수산인더스트리,26950.0,27150.0,21560,37730,9.2,01/21,상승삼각,상승패턴,3872,15.3
00088K,한화3우B,49550.0,49600.0,39640,69370,9.2,01/21,W바닥,상승패턴,9634,16.4
080220,제주반도체,28650.0,29400.0,22920,40110,8.9,01/21,W바닥,"상승패턴, 이격도2.5%+기울기0.73%",9885,2.5
368770,파이버프로,16840.0,17270.0,13472,23576,8.7,01/21,상승삼각,상승패턴,5612,25.4
357780,솔브레인,310500.0,313000.0,248400,434700,8.6,01/21,상승삼각,상승패턴,24366,11.5
024850,HLB이노베이션,2430.0,2495.0,1944,3402,8.5,01/21,상승삼각,상승패턴,3599,16.8
170920,엘티씨,22700.0,23250.0,18160,31780,8.1,01/21,W바닥,상승패턴,2409,8.9
131290,티에스이,73300.0,73800.0,58640,102620,7.9,01/21,상승삼각,상승패턴,8130,17.0
298040,효성중공업,2282000.0,2332000.0,1825600,3194800,7.7,01/21,W바닥,상승패턴,214278,19.5
199430,케이엔알시스템,38450.0,40950.0,30760,53830,7.6,01/21,상승삼각,상승패턴,4322,36.3
042660,한화오션,141000.0,141900.0,112800,197400,7.6,01/21,W바닥,상승패턴,434494,8.9
006800,미래에셋증권,29500.0,29700.0,23600,41300,7.5,01/21,W바닥,상승패턴,168424,12.3
064350,현대로템,211500.0,212500.0,169200,296100,7.1,01/21,W바닥,상승패턴,231382,3.7
451800,한화리츠,4335.0,4350.0,3468,6069,7.1,01/21,상승삼각,상승패턴,7795,2.3
267250,HD현대,254000.0,251000.0,203200,355600,7.1,01/21,W바닥,상승패턴,201432,18.9
