티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
010170.KS,대한광통신,4250.0,3840.0,2026-02-20,2026-05-18,531.5,Triple Bottom,,0.0,3321.6624080365395,5963.177832611377
397030.KS,에이프릴바이오,68200.0,67155.0,2026-02-19,2026-05-17,310.84,Inv H&S,,0.0,55441.273525440796,99530.33532208845
084370.KS,유진테크,122200.0,111000.0,2026-02-13,2026-05-11,266.42,Rect Bottom,,0.0,92268.40022323721,165643.82868364936
356860.KS,티엘비,64100.0,62600.0,2026-02-24,2026-05-22,261.78,Rect Bottom,,0.0,52873.804997489846,94921.11574132602
307950.KS,현대오토에버,512000.0,501000.0,2026-02-25,2026-05-23,255.56,Rect Bottom,,0.0,410794.96447215177,737475.1329219867
056080.KS,유진로봇,36800.0,36200.0,2026-02-09,2026-05-07,222.52,Rect Bottom,,0.0,35302.692259325544,63376.76923548324
005380.KS,현대차,577000.0,528000.0,2026-02-25,2026-05-23,208.52,Rect Bottom,,0.0,462946.6689461554,831099.9056562233
095610.KS,테스,70000.0,72200.0,2026-02-20,2026-05-18,204.36,Rect Bottom,,0.0,61378.54449632736,110189.15560260153
105840.KS,우진,27100.0,27050.0,2026-02-20,2026-05-18,190.88,Rect Bottom,,0.0,22425.232923821568,40258.65227572174
101490.KS,에스앤에스텍,88200.0,93700.0,2026-02-20,2026-05-18,171.65,Rect Bottom,,0.0,76462.42209803918,137268.32063958075
004800.KS,효성,174600.0,157800.0,2026-02-13,2026-05-11,161.38,Rect Bottom,,0.0,132625.7961469662,238094.99896875862
042700.KS,한미반도체,214000.0,211000.0,2026-02-25,2026-05-23,156.9,Rect Bottom,,0.0,171699.4578067197,308241.55946348666
083650.KS,비에이치아이,89800.0,79000.0,2026-02-19,2026-05-17,153.31,Rect Bottom,,0.0,65791.38102874305,118111.25175703694
062040.KS,산일전기,167900.0,150400.0,2026-02-04,2026-05-02,150.6,Rect Bottom,,0.0,124121.05664812867,222826.9591074831
006400.KS,삼성SDI,436750.0,396500.0,2026-02-19,2026-05-17,150.43,Rect Bottom,,0.0,322538.23382383795,579033.2098332787
034020.KS,두산에너빌리티,103900.0,96500.0,2026-02-13,2026-05-11,146.21,Rect Bottom,,0.0,80634.55845595949,144758.30245831967
115310.KS,인포바인,89800.0,86000.0,2026-02-23,2026-05-21,139.79,Rect Bottom,,0.0,73172.85304660203,131362.7580517289
009420.KS,한올바이오파마,61500.0,53800.0,2026-02-10,2026-05-08,139.3,Rect Bottom,,0.0,44048.13193265846,79076.92343245522
241770.KS,메카로,27200.0,26600.0,2026-02-25,2026-05-23,134.08,Rect Bottom,,0.0,21823.482487583064,39178.366436480545
054210.KS,이랜텍,12020.0,11070.0,2026-02-19,2026-05-17,133.85,Rect Bottom,,0.0,8978.116508678473,16117.864721478578
336260.KS,두산퓨얼셀,38700.0,36900.0,2026-02-25,2026-05-23,132.43,Rect Bottom,,0.0,31050.322509906786,55742.749304845485
006650.KS,대한유화,190300.0,177950.0,2026-02-24,2026-05-22,129.83,Inv H&S,,0.0,151560.87654060443,272087.99337688147
028260.KS,삼성물산,349500.0,316500.0,2026-02-10,2026-05-08,128.88,Rect Bottom,,0.0,255944.51888011018,459481.57695725345
168360.KS,펨트론,23900.0,22850.0,2026-02-24,2026-05-22,125.47,Rect Bottom,,0.0,19296.13065538135,34641.165911667544
338840.KS,와이바이오로직스,26300.0,27250.0,2026-02-24,2026-05-22,123.45,Rect Bottom,,0.0,22746.166489815434,40834.804723317044
006405.KS,삼성SDI우,229500.0,212000.0,2026-02-19,2026-05-17,121.74,Rect Bottom,,0.0,171298.29084922734,307521.3689039925
003670.KS,포스코퓨처엠,250500.0,239500.0,2026-02-25,2026-05-23,120.9,Rect Bottom,,0.0,200984.6457036602,360815.47030655795
015760.KS,한국전력,64800.0,62700.0,2026-02-20,2026-05-18,119.29,Rect Bottom,,0.0,51188.90377602204,91896.3153914507
047810.KS,한국항공우주,182400.0,171200.0,2026-02-13,2026-05-11,116.63,Rect Bottom,,0.0,143778.23756525313,258116.29652269537
032500.KS,케이엠더블유,19040.0,19200.0,2026-02-19,2026-05-17,116.61,Rect Bottom,,0.0,17250.179172170436,30968.19405824749
