date,rank,change,category,momentum_score,volatility_score,composite_score
2026-04-08,1,▲+1,Automotive,41.81,79.95,2.17
2026-04-08,2,▼-1,Energy,13.5,19.02,1.56
2026-04-08,3,▲+4,Banks,5.85,21.35,1.53
2026-04-08,4,─,Utilities,6.15,18.78,1.05
2026-04-08,5,─,Semiconductors,11.83,40.87,0.88
2026-04-08,6,▲+11,Financials,1.47,20.67,0.62
2026-04-08,7,▼-4,Biotechnology,7.51,34.58,0.56
2026-04-08,8,─,Materials,5.58,49.16,0.32
2026-04-08,9,▲+4,Real Estate,2.61,16.35,0.31
2026-04-08,10,─,Electric Energy Infrastructure,2.94,26.61,0.27
2026-04-08,11,▼-2,Pharmaceutical,3.67,18.8,0.2
2026-04-08,12,▲+4,Mortgage REITs,1.13,20.3,0.08
2026-04-08,13,▲+10,Industrials,2.52,25.89,0.03
2026-04-08,14,▲+8,Consumer Staples,2.66,20.16,-0.01
2026-04-08,15,▲+5,Leisure & Entertainment,-5.57,60.77,-0.02
2026-04-08,16,▼-10,Clean Energy,-0.23,37.26,-0.16
2026-04-08,17,▲+1,Technology,-0.79,25.41,-0.17
2026-04-08,18,▼-7,Metals & Mining,1.5,46.35,-0.23
2026-04-08,19,▲+2,Healthcare,0.32,19.23,-0.29
2026-04-08,20,▼-8,Uranium,-1.9,56.48,-0.3
2026-04-08,21,▼-7,Nuclear Energy,-2.78,39.92,-0.33
2026-04-08,22,▼-7,Silver Miners,0.77,66.91,-0.44
2026-04-08,23,▲+2,Telecom,-1.72,20.23,-0.53
2026-04-08,24,─,Cryptocurrency,-11.96,48.88,-0.53
2026-04-08,25,▼-6,Cloud Computing,-5.65,31.48,-0.6
2026-04-08,26,▲+2,Internet,-9.02,26.65,-1.03
2026-04-08,27,▼-1,Software,-9.49,28.46,-1.11
2026-04-08,28,▲+1,Medical Devices,-5.95,20.38,-1.21
2026-04-08,29,▼-2,Consumer Discretionary,-16.32,42.82,-1.3
