티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,289500.0,286541.6666666665,2026-01-29,2026-03-30,620.15,Inv H&S,,0.0,275280.0,370000.0
174900.KQ,앱클론,63700.0,57600.0,2026-01-23,2026-03-24,526.97,Rect Bottom,,0.0,60263.99999999999,81000.0
445680.KQ,큐리옥스바이오시스템즈,123500.0,119500.0,2026-01-21,2026-03-22,380.54,Triple Bottom,,0.0,112808.99999999999,151625.0
298040.KS,효성중공업,2420000.0,2328000.0,2026-01-16,2026-03-17,367.18,Rect Bottom,,0.0,2194800.0,2950000.0
397030.KQ,에이프릴바이오,61300.0,57300.0,2026-01-28,2026-03-29,296.76,Rect Bottom,,0.0,53103.0,71375.0
126340.KQ,비나텍,103000.0,91500.0,2026-01-28,2026-03-29,290.76,Rect Bottom,,0.0,93930.0,126250.0
090360.KQ,로보스타,89900.0,83500.0,2026-01-19,2026-03-20,263.97,Rect Bottom,,0.0,88350.0,118750.0
222800.KQ,심텍,62000.0,57384.421875,2026-01-28,2026-03-29,259.52,Triple Bottom,,0.0,57659.99999999999,77500.0
195870.KS,해성디에스,66600.0,58500.0,2026-01-26,2026-03-27,250.71,Rect Bottom,,0.0,53754.0,72250.0
115180.KQ,큐리언트,33600.0,31450.0,2026-01-28,2026-03-29,239.74,Rect Bottom,,0.0,32270.999999999996,43375.0
267250.KS,HD현대,233000.0,226500.0,2026-01-12,2026-03-13,197.33,Rect Bottom,,0.0,211110.0,283750.0
004800.KS,효성,149700.0,140700.0,2026-01-15,2026-03-16,182.45,Triple Bottom,,0.0,137640.0,185000.0
002020.KS,코오롱,61100.0,55700.0,2026-01-29,2026-03-30,179.63,Rect Bottom,,0.0,53847.0,72375.0
278470.KS,에이피알,279500.0,269500.0,2026-01-22,2026-03-23,177.89,Rect Bottom,,0.0,262260.0,352500.0
115310.KQ,인포바인,84900.0,74788.890625,2026-01-20,2026-03-21,169.06,Triple Bottom,,0.0,67890.0,91250.0
102940.KQ,코오롱생명과학,66900.0,61200.0,2026-01-27,2026-03-28,164.95,Rect Bottom,,0.0,55613.99999999999,74750.0
033640.KQ,네패스,18760.0,17950.0,2026-01-29,2026-03-30,163.11,Triple Bottom,,0.0,17763.0,23875.0
267260.KS,HD현대일렉트릭,875000.0,868000.0,2026-01-12,2026-03-13,162.62,Rect Bottom,,0.0,833280.0,1120000.0
170920.KQ,엘티씨,26800.0,23600.0,2026-01-21,2026-03-22,160.84,Rect Bottom,,0.0,22180.5,29812.5
042700.KS,한미반도체,201500.0,186500.0,2026-01-29,2026-03-30,160.34,Rect Bottom,,0.0,185907.0,249875.0
010120.KS,LS ELECTRIC,560000.0,518000.0,2026-01-14,2026-03-15,155.13,Rect Bottom,,0.0,498479.99999999994,670000.0
078350.KQ,한양디지텍,26750.0,25750.0,2026-01-27,2026-03-28,152.84,Triple Bottom,,0.0,24924.0,33500.0
014680.KS,한솔케미칼,281500.0,252000.0,2026-01-20,2026-03-21,151.12,Triple Bottom,,0.0,239009.99999999997,321250.0
089970.KQ,브이엠,29550.0,29950.0,2026-01-29,2026-03-30,150.0,Rect Bottom,,0.0,27156.0,36500.0
114190.KQ,강원에너지,17180.0,18490.0,2026-01-28,2026-03-29,148.63,Rect Bottom,,0.0,17158.5,23062.5
062040.KS,산일전기,144800.0,147100.0,2026-01-30,2026-03-31,143.77,Triple Bottom,,0.0,135222.0,181750.0
001440.KS,대한전선,28450.0,27100.0,2026-01-20,2026-03-21,142.33,Rect Bottom,,0.0,25900.5,34812.5
034730.KS,SK,321500.0,301500.0,2026-01-28,2026-03-29,135.88,Rect Bottom,,0.0,298530.0,401250.0
032350.KS,롯데관광개발,25300.0,23600.0,2026-01-22,2026-03-23,134.26,Rect Bottom,,0.0,21855.0,29375.0
009155.KS,삼성전기우,126100.0,127008.0,2026-01-15,2026-03-16,133.95,Rect Bottom,,0.0,120434.99999999999,161875.0
