rank,code,name,close,total_score,expected_return,expected_win_rate,state_score,event_score,macro_score
1,111870,KH 미래물산,500,190.78003135547235,0.031045231457872774,0.568614446781406,134.87943368859942,67.43971684429971,-11.539119177426773
2,003560,IHQ,397,158.20882361601528,0.031045231457872774,0.568614446781406,134.87943368859942,34.86850910484265,-11.539119177426773
3,033180,KH 필룩스,350,158.20882361601528,0.031045231457872774,0.568614446781406,134.87943368859942,34.86850910484265,-11.539119177426773
4,226360,KH 건설,109,158.20882361601528,0.031045231457872774,0.568614446781406,134.87943368859942,34.86850910484265,-11.539119177426773
5,014910,성문전자,2065,151.8661493005607,0.031515407290784475,0.5129089280358816,108.93684565199165,54.46842282599582,-11.539119177426773
6,042700,한미반도체,198900,143.65424206492904,0.031515407290784475,0.5129089280358816,108.93684565199165,46.25651559036416,-11.539119177426773
7,024910,경창산업,2240,141.03828793101476,0.031515407290784475,0.5129089280358816,108.93684565199165,43.640561456449916,-11.539119177426773
8,012200,계양전기,9020,136.96964023441785,0.029540783257836444,0.5150256673610412,102.71552929346934,45.793230118375284,-11.539119177426773
9,000660,SK하이닉스,785000,132.10702554505855,0.029272069649230244,0.5156109027000071,95.76409648165689,47.882048240828446,-11.539119177426773
10,086280,현대글로비스,227500,132.10702554505855,0.029272069649230244,0.5156109027000071,95.76409648165689,47.882048240828446,-11.539119177426773
11,011210,현대위아,87400,132.10702554505855,0.029272069649230244,0.5156109027000071,95.76409648165689,47.882048240828446,-11.539119177426773
12,104200,NHN벅스,4265,132.10702554505855,0.029272069649230244,0.5156109027000071,95.76409648165689,47.882048240828446,-11.539119177426773
13,332570,PS일렉트로닉스,8240,132.10702554505855,0.029272069649230244,0.5156109027000071,95.76409648165689,47.882048240828446,-11.539119177426773
14,047810,한국항공우주,139700,123.83810259534114,0.029272069649230244,0.5156109027000071,95.76409648165689,39.61312529111102,-11.539119177426773
15,307950,현대오토에버,398000,123.83810259534114,0.029272069649230244,0.5156109027000071,95.76409648165689,39.61312529111102,-11.539119177426773
16,016610,DB증권,12200,122.77505100727511,0.02789034796904602,0.5170553890602078,89.54278012313459,44.771390061567296,-11.539119177426773
17,402340,SK스퀘어,441500,122.77505100727511,0.02789034796904602,0.5170553890602078,89.54278012313459,44.771390061567296,-11.539119177426773
18,308170,씨티알모빌리티,7850,122.77505100727511,0.02789034796904602,0.5170553890602078,89.54278012313459,44.771390061567296,-11.539119177426773
19,007810,코리아써키트,49850,122.77505100727511,0.02789034796904602,0.5170553890602078,89.54278012313459,44.771390061567296,-11.539119177426773
20,005380,현대차,346500,121.68543393341578,0.029272069649230244,0.5156109027000071,95.76409648165689,37.46045662918565,-11.539119177426773
21,036420,콘텐트리중앙,7480,120.71047691077875,0.027994131816918746,0.5572355349585637,88.16639739213701,44.08319869606851,-11.539119177426773
22,474610,RF시스템즈,5450,112.39442957358386,0.02789034796904602,0.5170553890602078,89.54278012313459,34.39076862787604,-11.539119177426773
23,079550,LIG넥스원,522000,112.34869428648021,0.027456071069683303,0.5155752055817739,82.59187564260465,41.295937821302324,-11.539119177426773
24,009150,삼성전기,284500,112.34869428648021,0.027456071069683303,0.5155752055817739,82.59187564260465,41.295937821302324,-11.539119177426773
25,068290,삼성출판사,10100,109.3892102475134,0.026502068980237114,0.5479928864787144,80.61888628329345,40.309443141646724,-11.539119177426773
26,161000,애경케미칼,8950,108.16392758574486,0.026556556723764464,0.5490072426910289,79.80203117544775,39.901015587723876,-11.539119177426773
27,196300,HLB펩,9400,105.78464933033517,0.029272069649230244,0.5156109027000071,95.76409648165689,21.559672026105055,-11.539119177426773
28,029460,케이씨,29300,104.27683935452372,0.026748240574900616,0.5156954514766258,77.21063902130032,38.60531951065016,-11.539119177426773
29,028260,삼성물산,269000,103.63198066840981,0.029272069649230244,0.5156109027000071,95.76409648165689,19.407003364179687,-11.539119177426773
30,001380,SG글로벌,1528,103.19483121936791,0.027994131816918746,0.5572355349585637,88.16639739213701,26.56755300465766,-11.539119177426773
