티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
458870.KQ,씨어스테크놀로지,130900.0,130100.0,2026-01-15,2026-01-30,907.7,Triple Bottom,,0.0,105846.0,203550.0
298040.KS,효성중공업,2298000.0,2328000.0,2026-01-16,2026-01-31,421.68,Rect Bottom,,0.0,1840800.0,3540000.0
124500.KQ,아이티센글로벌,31700.0,33950.0,2026-01-12,2026-01-27,393.0,Rect Bottom,,0.0,29094.0,55950.0
090360.KQ,로보스타,86000.0,83500.0,2026-01-19,2026-02-03,251.74,Rect Bottom,,0.0,74100.0,142500.0
267250.KS,HD현대,252500.0,226500.0,2026-01-12,2026-01-27,250.46,Rect Bottom,,0.0,177060.0,340500.0
097230.KS,HJ중공업,24950.0,24200.0,2026-01-08,2026-01-23,240.38,Triple Bottom,,0.0,19812.0,38100.0
353200.KS,대덕전자,50000.0,49500.0,2026-01-15,2026-01-30,240.14,Triple Bottom,,0.0,39936.0,76800.0
000155.KS,두산우,499500.0,504000.0,2026-01-14,2026-01-29,211.02,Triple Bottom,,0.0,407940.0,784500.0
214370.KQ,케어젠,77000.0,73800.0,2026-01-19,2026-02-03,206.58,Triple Bottom,,0.0,59904.0,115200.0
004800.KS,효성,153000.0,140700.0,2026-01-15,2026-01-30,206.0,Triple Bottom,,0.0,115440.0,222000.0
267260.KS,HD현대일렉트릭,906000.0,868000.0,2026-01-12,2026-01-27,205.74,Rect Bottom,,0.0,698880.0,1344000.0
105840.KS,우진,21600.0,19410.0,2026-01-12,2026-01-27,187.13,Rect Bottom,,0.0,15912.0,30600.0
010120.KS,LS ELECTRIC,516000.0,518000.0,2026-01-14,2026-01-29,185.87,Rect Bottom,,0.0,418080.0,804000.0
062040.KS,산일전기,140900.0,133615.38461538462,2026-01-14,2026-01-29,184.65,Inv H&S,,0.0,112164.0,215700.0
054540.KQ,삼영엠텍,14940.0,15900.0,2026-01-09,2026-01-24,184.57,Triple Bottom,,0.0,12885.6,24780.0
226950.KQ,올릭스,139600.0,141300.0,2026-01-05,2026-01-20,170.54,Rect Bottom,,0.0,114114.0,219450.0
103590.KS,일진전기,60900.0,60400.0,2026-01-05,2026-01-20,158.6,Triple Bottom,,0.0,49530.0,95250.0
00088K.KS,한화3우B,49650.0,43900.0,2026-01-13,2026-01-28,156.99,Rect Bottom,,0.0,34632.0,66600.0
244920.KS,에이플러스에셋,10910.0,9850.0,2026-01-14,2026-01-29,148.24,Rect Bottom,,0.0,8182.200000000001,15735.0
006730.KQ,서부T&D,13930.0,13100.0,2026-01-14,2026-01-29,146.77,Triple Bottom,,0.0,10553.4,20295.0
028260.KS,삼성물산,289500.0,255000.0,2026-01-06,2026-01-21,146.17,Rect Bottom,,0.0,202800.0,390000.0
039030.KQ,이오테크닉스,293000.0,300920.1875,2026-01-05,2026-01-20,145.46,Rect Bottom,,0.0,241410.0,464250.0
075580.KS,세진중공업,20200.0,18690.0,2026-01-07,2026-01-22,143.08,Triple Bottom,,0.0,14765.4,28395.0
071050.KS,한국금융지주,180000.0,182300.0,2026-01-16,2026-01-31,136.53,Rect Bottom,,0.0,142818.0,274650.0
218410.KQ,RFHIC,34800.0,36640.4609375,2026-01-06,2026-01-21,135.68,Triple Bottom,,0.0,29640.0,57000.0
015760.KS,한국전력,59200.0,52200.0,2026-01-13,2026-01-28,134.92,Rect Bottom,,0.0,42900.0,82500.0
001270.KS,부국증권,63000.0,61100.0,2026-01-16,2026-01-31,132.47,Triple Bottom,,0.0,49608.0,95400.0
071055.KS,한국금융지주우,136400.0,134500.0,2026-01-16,2026-01-31,132.37,Triple Bottom,,0.0,108030.0,207750.0
127120.KQ,제이에스링크,21200.0,19530.0,2026-01-16,2026-01-31,129.44,Rect Bottom,,0.0,15600.0,30000.0
001440.KS,대한전선,25900.0,24400.0,2026-01-05,2026-01-20,122.13,Rect Bottom,,0.0,21021.0,40425.0
