티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
458870.KQ,씨어스테크놀로지,128500.0,135000.0,2026-01-20,2026-02-04,888.46,Rect Bottom,,0.0,101400.0,195000.0
298040.KS,효성중공업,2340000.0,2328000.0,2026-01-16,2026-01-31,433.64,Rect Bottom,,0.0,1840800.0,3540000.0
124500.KQ,아이티센글로벌,32000.0,33950.0,2026-01-12,2026-01-27,399.22,Rect Bottom,,0.0,29094.0,55950.0
090360.KQ,로보스타,89900.0,83500.0,2026-01-19,2026-02-03,256.75,Rect Bottom,,0.0,74100.0,142500.0
267250.KS,HD현대,247500.0,226500.0,2026-01-12,2026-01-27,242.58,Rect Bottom,,0.0,177060.0,340500.0
353200.KS,대덕전자,49000.0,49500.0,2026-01-15,2026-01-30,235.62,Triple Bottom,,0.0,39936.0,76800.0
000155.KS,두산우,505000.0,504000.0,2026-01-14,2026-01-29,217.81,Triple Bottom,,0.0,407940.0,784500.0
097230.KS,HJ중공업,24150.0,24200.0,2026-01-08,2026-01-23,212.42,Triple Bottom,,0.0,19812.0,38100.0
267260.KS,HD현대일렉트릭,898000.0,868000.0,2026-01-12,2026-01-27,207.69,Rect Bottom,,0.0,698880.0,1344000.0
214370.KQ,케어젠,75300.0,73800.0,2026-01-19,2026-02-03,204.63,Triple Bottom,,0.0,59904.0,115200.0
004800.KS,효성,152100.0,140700.0,2026-01-15,2026-01-30,199.41,Triple Bottom,,0.0,115440.0,222000.0
062040.KS,산일전기,142300.0,133615.38461538462,2026-01-14,2026-01-29,184.88,Inv H&S,,0.0,112164.0,215700.0
010120.KS,LS ELECTRIC,508000.0,518000.0,2026-01-14,2026-01-29,183.17,Rect Bottom,,0.0,418080.0,804000.0
000157.KS,두산2우B,438500.0,452500.0,2026-01-20,2026-02-04,180.55,Triple Bottom,,0.0,351390.0,675750.0
006730.KQ,서부T&D,14800.0,13100.0,2026-01-14,2026-01-29,160.8,Triple Bottom,,0.0,10553.4,20295.0
054540.KQ,삼영엠텍,14570.0,15900.0,2026-01-09,2026-01-24,150.77,Triple Bottom,,0.0,12885.6,24780.0
244920.KS,에이플러스에셋,10770.0,9850.0,2026-01-14,2026-01-29,149.59,Rect Bottom,,0.0,8182.200000000001,15735.0
00088K.KS,한화3우B,49300.0,43900.0,2026-01-13,2026-01-28,148.11,Rect Bottom,,0.0,34632.0,66600.0
115310.KQ,인포바인,74100.0,74788.890625,2026-01-20,2026-02-04,138.16,Triple Bottom,,0.0,56940.0,109500.0
071050.KS,한국금융지주,181400.0,182300.0,2026-01-16,2026-01-31,134.67,Rect Bottom,,0.0,142818.0,274650.0
218410.KQ,RFHIC,34600.0,36640.4609375,2026-01-06,2026-01-21,131.82,Triple Bottom,,0.0,29640.0,57000.0
071055.KS,한국금융지주우,134900.0,134500.0,2026-01-16,2026-01-31,127.87,Triple Bottom,,0.0,108030.0,207750.0
001270.KS,부국증권,62100.0,61100.0,2026-01-16,2026-01-31,126.64,Triple Bottom,,0.0,49608.0,95400.0
034730.KS,SK,290500.0,279500.0,2026-01-06,2026-01-21,125.79,Rect Bottom,,0.0,222300.0,427500.0
009155.KS,삼성전기우,123100.0,120900.0,2026-01-14,2026-01-29,121.4,Inv H&S,,0.0,97812.0,188100.0
127120.KQ,제이에스링크,19900.0,19530.0,2026-01-16,2026-01-31,120.87,Rect Bottom,,0.0,15600.0,30000.0
075580.KS,세진중공업,19090.0,18690.0,2026-01-07,2026-01-22,119.93,Triple Bottom,,0.0,14765.4,28395.0
010140.KS,삼성중공업,30550.0,27050.0,2026-01-09,2026-01-24,109.39,Triple Bottom,,0.0,22230.0,42750.0
032830.KS,삼성생명,171800.0,165400.0,2026-01-16,2026-01-31,107.24,Rect Bottom,,0.0,130104.0,250200.0
160190.KQ,하이젠알앤엠,69200.0,63200.0,2026-01-19,2026-02-03,104.73,Rect Bottom,,0.0,53586.0,103050.0
