date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-30,1,▲+4,Energy,13.01,17.42,1.41
2026-01-30,2,─,Materials,26.1,43.58,0.93
2026-01-30,3,▲+4,Consumer Staples,7.97,14.65,0.89
2026-01-30,4,▲+2,Pharmaceutical,11.97,15.33,0.87
2026-01-30,5,▼-4,Silver Miners,40.74,64.42,0.85
2026-01-30,6,▼-3,Metals & Mining,25.99,43.13,0.78
2026-01-30,7,▼-3,Uranium,28.6,54.91,0.71
2026-01-30,8,─,Semiconductors,17.52,30.61,0.69
2026-01-30,9,▲+1,Industrials,9.33,19.12,0.57
2026-01-30,10,▲+1,Biotechnology,15.49,26.41,0.48
2026-01-30,11,▲+8,Telecom,6.87,14.61,0.41
2026-01-30,12,▲+3,Electric Energy Infrastructure,6.18,19.01,0.24
2026-01-30,13,▼-4,Clean Energy,12.71,31.01,0.2
2026-01-30,14,▲+3,Banks,8.8,23.55,0.18
2026-01-30,15,▲+1,Utilities,4.14,13.44,0.18
2026-01-30,16,▼-4,Healthcare,7.35,16.71,0.02
2026-01-30,17,▼-3,Nuclear Energy,10.09,36.2,-0.01
2026-01-30,18,▼-5,Mortgage REITs,3.88,15.26,-0.08
2026-01-30,19,▼-1,Real Estate,2.86,12.64,-0.1
2026-01-30,20,▲+1,Consumer Discretionary,2.53,39.29,-0.52
2026-01-30,21,▲+1,Financials,2.96,16.91,-0.6
2026-01-30,22,▲+1,Technology,1.26,17.85,-0.69
2026-01-30,23,▲+1,Medical Devices,0.77,18.63,-0.94
2026-01-30,24,▼-4,Automotive,-11.22,82.67,-1.01
2026-01-30,25,▲+3,Leisure & Entertainment,-1.79,39.03,-1.08
2026-01-30,26,▲+1,Internet,-1.83,22.32,-1.14
2026-01-30,27,▼-1,Cloud Computing,-2.47,24.35,-1.24
2026-01-30,28,▼-3,Cryptocurrency,-8.79,43.76,-1.3
2026-01-30,29,─,Software,-10.09,22.14,-2.13
