구분,티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가,손익률(%)
오늘신호,240810.KS,원익IPS,130200.0,133400.0,2026-03-24,2026-05-14,387.26,Triple Bottom,,0.0,98723.50414689936,231909.2260800768,-2.4
오늘신호,066970.KS,엘앤에프,144700.0,136700.0,2026-03-25,2026-05-15,192.32,Triple Bottom,,0.0,105193.6012522558,247107.98979224678,5.85
오늘신호,053610.KS,프로텍,61700.0,59100.0,2026-03-25,2026-05-15,154.88,Rect Bottom,,0.0,44854.49341578565,105366.71022931323,4.4
오늘신호,037460.KS,삼지전자,27000.0,23850.0,2026-03-25,2026-05-15,141.72,Rect Bottom,,0.0,19628.384476924028,46108.60901444826,13.21
오늘신호,045100.KS,한양이엔지,34200.0,34050.0,2026-03-25,2026-05-15,96.07,Rect Bottom,,0.0,24862.6203374371,58404.238084967794,0.44
매수,174900.KS,앱클론,67000.0,65700.0,2026-03-06,2026-04-26,550.49,Rect Bottom,,0.0,44054.818492651706,103488.21134353941,1.98
매수,042520.KS,한스바이오메드,43500.0,50700.0,2026-03-18,2026-05-08,401.15,Rect Bottom,,0.0,38965.978072708436,91534.12752497876,-14.2
매수,240810.KS,원익IPS,130200.0,133400.0,2026-03-24,2026-05-14,387.26,Triple Bottom,,0.0,98723.50414689936,231909.2260800768,-2.4
매수,099320.KS,쎄트렉아이,192600.0,192100.0,2026-03-12,2026-05-02,306.68,Rect Bottom,,0.0,,,0.26
매수,100790.KS,미래에셋벤처투자,27000.0,23850.0,2026-03-18,2026-05-08,280.59,Rect Bottom,,0.0,16829.522245955228,39533.86291423989,13.21
매수,089970.KS,브이엠,47900.0,43400.0,2026-03-18,2026-05-08,278.96,Rect Bottom,,0.0,32713.97412820671,76847.6816907471,10.37
매수,084370.KS,유진테크,136400.0,137700.0,2026-03-05,2026-04-25,248.85,Rect Bottom,,0.0,106865.64881880858,251035.76018977384,-0.94
매수,086520.KS,에코프로,150900.0,136250.0,2026-03-19,2026-05-09,235.71,Inv H&S,,0.0,,,10.75
매수,131290.KS,티에스이,121400.0,113411.05078125,2026-03-17,2026-05-07,207.15,Inv H&S,,0.0,85710.61221590158,201340.9260297574,7.04
매수,066970.KS,엘앤에프,144700.0,136700.0,2026-03-25,2026-05-15,192.32,Triple Bottom,,0.0,105193.6012522558,247107.98979224678,5.85
매수,222800.KS,심텍,62500.0,59400.0,2026-03-19,2026-05-09,167.63,Inv H&S,,0.0,44127.51621293661,103658.98396951886,5.22
매수,005935.KS,삼성전자우,132800.0,148700.0,2026-03-18,2026-05-08,165.65,Triple Bottom,,0.0,,,-10.69
매수,298380.KS,에이비엘바이오,172600.0,183825.0,2026-03-18,2026-05-08,163.51,Inv H&S,,0.0,138125.66854131722,324467.9893609322,-6.11
매수,310210.KS,보로노이,300000.0,334500.0,2026-03-13,2026-05-03,159.52,Rect Bottom,,0.0,256622.95260571042,602827.369707416,-10.31
