date,rank,change,category,momentum_score,volatility_score,composite_score
2026-04-09,1,▲+6,Banks,9.48,20.87,1.79
2026-04-09,2,─,Automotive,34.78,79.39,1.32
2026-04-09,3,▲+2,Semiconductors,15.64,39.91,1.09
2026-04-09,4,─,Utilities,7.63,18.41,1.08
2026-04-09,5,▼-4,Energy,12.06,19.1,1.07
2026-04-09,6,▲+11,Financials,4.31,19.61,0.91
2026-04-09,7,▼-4,Biotechnology,10.19,33.65,0.7
2026-04-09,8,▲+2,Electric Energy Infrastructure,4.96,26.17,0.39
2026-04-09,9,▲+4,Real Estate,3.62,16.36,0.37
2026-04-09,10,▼-1,Pharmaceutical,4.84,18.31,0.32
2026-04-09,11,▲+5,Mortgage REITs,2.89,20.11,0.21
2026-04-09,12,▲+10,Consumer Staples,3.84,19.91,0.2
2026-04-09,13,▲+10,Industrials,4.03,25.09,0.14
2026-04-09,14,▼-6,Materials,5.6,48.93,0.08
2026-04-09,15,▲+5,Leisure & Entertainment,-1.68,58.42,0.07
2026-04-09,16,▲+2,Technology,0.61,24.96,-0.11
2026-04-09,17,▲+4,Healthcare,1.43,18.42,-0.17
2026-04-09,18,▼-12,Clean Energy,1.31,37.01,-0.2
2026-04-09,19,▼-8,Metals & Mining,3.25,45.8,-0.28
2026-04-09,20,▲+5,Telecom,-0.03,19.86,-0.35
2026-04-09,21,▼-9,Uranium,-0.61,56.36,-0.45
2026-04-09,22,▼-8,Nuclear Energy,-2.25,39.8,-0.5
2026-04-09,23,▼-8,Silver Miners,1.35,66.55,-0.5
2026-04-09,24,─,Cryptocurrency,-10.5,48.36,-0.59
2026-04-09,25,▼-6,Cloud Computing,-6.35,31.81,-0.88
2026-04-09,26,▲+1,Consumer Discretionary,-12.99,42.61,-0.99
2026-04-09,27,▲+2,Medical Devices,-4.73,19.39,-1.1
2026-04-09,28,─,Internet,-8.6,26.38,-1.15
2026-04-09,29,▼-3,Software,-12.85,31.07,-1.71
