date,rank,change,category,momentum_score,volatility_score,composite_score
2026-02-24,1,─,Energy,14.88,18.48,1.37
2026-02-24,2,─,Utilities,10.96,15.05,1.33
2026-02-24,3,─,Consumer Staples,10.61,14.56,1.19
2026-02-24,4,▲+2,Industrials,12.0,19.23,0.85
2026-02-24,5,▲+4,Real Estate,6.7,13.47,0.81
2026-02-24,6,▼-1,Pharmaceutical,9.88,16.91,0.71
2026-02-24,7,▼-3,Electric Energy Infrastructure,9.7,20.11,0.64
2026-02-24,8,▼-1,Materials,23.37,52.84,0.61
2026-02-24,9,▼-1,Semiconductors,18.03,33.46,0.55
2026-02-24,10,─,Silver Miners,34.44,76.36,0.46
2026-02-24,11,▲+4,Biotechnology,9.57,26.89,0.13
2026-02-24,12,▼-1,Clean Energy,11.17,36.43,0.13
2026-02-24,13,▲+1,Metals & Mining,16.57,50.67,0.09
2026-02-24,14,▼-2,Mortgage REITs,2.56,14.37,0.04
2026-02-24,15,▲+3,Nuclear Energy,10.34,42.37,0.03
2026-02-24,16,─,Uranium,16.67,64.98,0.01
2026-02-24,17,─,Healthcare,4.31,14.98,-0.0
2026-02-24,18,▼-5,Banks,2.45,22.51,-0.28
2026-02-24,19,▲+4,Automotive,-5.13,74.28,-0.36
2026-02-24,20,─,Telecom,-0.13,15.69,-0.55
2026-02-24,21,─,Leisure & Entertainment,-7.46,51.97,-0.58
2026-02-24,22,─,Technology,-1.08,21.63,-0.7
2026-02-24,23,▲+3,Medical Devices,-1.52,17.44,-0.72
2026-02-24,24,▼-5,Financials,-1.7,20.12,-0.76
2026-02-24,25,─,Consumer Discretionary,-2.9,35.66,-0.91
2026-02-24,26,▼-2,Cloud Computing,-8.45,31.46,-1.14
2026-02-24,27,▲+2,Cryptocurrency,-22.73,60.46,-1.35
2026-02-24,28,─,Internet,-11.41,23.51,-1.7
2026-02-24,29,▼-2,Software,-17.76,32.04,-1.79
