date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-11,1,─,Energy,13.32,17.2,2.06
2026-03-11,2,▲+2,Industrials,7.47,19.25,0.87
2026-03-11,3,▲+5,Biotechnology,7.83,24.03,0.74
2026-03-11,4,▲+1,Materials,13.8,45.17,0.73
2026-03-11,5,▲+20,Automotive,6.41,67.97,0.66
2026-03-11,6,─,Silver Miners,20.24,64.93,0.58
2026-03-11,7,─,Metals & Mining,15.93,44.81,0.57
2026-03-11,8,▼-5,Utilities,4.13,15.2,0.56
2026-03-11,9,▼-7,Real Estate,2.06,12.16,0.29
2026-03-11,10,▼-1,Semiconductors,7.61,33.47,0.23
2026-03-11,11,▲+8,Clean Energy,5.11,34.91,0.16
2026-03-11,12,▼-1,Pharmaceutical,4.77,15.65,0.12
2026-03-11,13,─,Uranium,7.47,56.12,0.11
2026-03-11,14,▼-2,Nuclear Energy,3.72,36.98,0.1
2026-03-11,15,─,Telecom,-0.18,13.11,0.03
2026-03-11,16,▲+2,Healthcare,1.89,15.7,-0.05
2026-03-11,17,▲+3,Software,-6.32,29.3,-0.18
2026-03-11,18,▼-1,Technology,-0.98,19.87,-0.18
2026-03-11,19,▲+2,Cryptocurrency,-10.96,52.09,-0.24
2026-03-11,20,▼-10,Mortgage REITs,0.47,12.47,-0.26
2026-03-11,21,▼-7,Electric Energy Infrastructure,0.65,20.39,-0.36
2026-03-11,22,─,Cloud Computing,-5.31,27.47,-0.38
2026-03-11,23,▼-7,Consumer Staples,0.87,17.39,-0.49
2026-03-11,24,▼-1,Leisure & Entertainment,-15.18,49.8,-0.83
2026-03-11,25,▼-1,Consumer Discretionary,-8.51,33.77,-0.86
2026-03-11,26,─,Medical Devices,-5.44,18.6,-1.03
2026-03-11,27,▲+2,Internet,-9.3,23.98,-1.05
2026-03-11,28,▼-1,Banks,-7.86,25.7,-1.34
2026-03-11,29,▼-1,Financials,-7.59,21.21,-1.35
