date,rank,change,category,momentum_score,volatility_score,composite_score
2026-04-09,1,▲+1,건설,62.85,82.51,1.57
2026-04-09,2,▼-1,금융,20.85,49.18,1.35
2026-04-09,3,▲+5,2차전지,25.4,57.22,0.67
2026-04-09,4,▲+2,전력/인프라,35.39,71.31,0.63
2026-04-09,5,▼-2,부동산/리츠,4.34,11.47,0.6
2026-04-09,6,▲+1,IT,29.07,65.01,0.52
2026-04-09,7,▼-3,원자력,34.21,74.52,0.47
2026-04-09,8,▼-3,신재생에너지,27.11,61.01,0.37
2026-04-09,9,▲+3,반도체,27.13,72.16,0.27
2026-04-09,10,▲+7,에너지/화학,15.23,52.28,0.22
2026-04-09,11,▼-1,자동차,22.28,60.01,0.21
2026-04-09,12,▲+4,철강/금속,13.49,57.36,0.08
2026-04-09,13,─,AI,15.49,59.18,-0.04
2026-04-09,14,▼-5,소비재,5.59,39.43,-0.1
2026-04-09,15,▼-4,방산/우주항공,13.52,70.53,-0.22
2026-04-09,16,▼-1,운송,4.67,38.87,-0.29
2026-04-09,17,▲+1,로봇,4.75,64.42,-0.63
2026-04-09,18,▲+1,플랫폼,-0.76,41.76,-0.71
2026-04-09,19,▲+1,금,-2.97,42.57,-0.93
2026-04-09,20,▲+1,조선/해운,-4.92,53.57,-0.93
2026-04-09,21,▼-7,게임,-4.89,44.73,-0.94
2026-04-09,22,─,바이오/헬스케어,-4.79,54.09,-1.01
2026-04-09,23,─,소프트웨어,-8.52,46.54,-1.09
2026-04-09,24,─,미디어/엔터,-15.05,44.48,-1.58
