rank,in_portfolio,ticker,name,market,current_price,stop_loss_price,take_profit_price,stop_loss_pct,take_profit_pct,trailing_stop_pct,hold_days,momentum,filter_mom,near_high,rs_rank,score,market_cap,close
1,True,115180,큐리언트,KOSDAQ,28800.0,,40320.0,,40.0,15.0,30,498.5291356912217,34.02298850574712,89.41717791411043,99.4019138755981,0.7135378482038034,251435248900.0,29150.0
2,True,124500,아이티센글로벌,KOSDAQ,32250.0,,45150.0,,40.0,15.0,30,422.1998771018379,72.37687366167023,89.69359331476323,99.28229665071771,0.6937234185980676,641016122600.0,32200.0
3,True,056080,유진로봇,KOSDAQ,31400.0,,43960.0,,40.0,15.0,30,229.7486656281367,140.88359046283313,100.0,99.00318979266348,0.6818690452462859,1288542421200.0,34350.0
4,True,032820,우리기술,KOSDAQ,7980.0,,11172.0,,40.0,15.0,30,210.77649936417347,67.2514619883041,100.0,98.40510366826156,0.6753874787558591,720499772850.0,7150.0
5,True,010170,대한광통신,KOSDAQ,3235.0,,4529.0,,40.0,15.0,30,231.83479716443642,77.12882096069869,97.44744744744744,97.7671451355662,0.6695315461783539,239291573125.0,3245.0
6,True,083650,비에이치아이,KOSDAQ,64000.0,,89600.0,,40.0,15.0,30,267.0194059549713,18.650793650793652,93.14641744548287,97.84688995215312,0.6621932715167476,1554800000000.0,59800.0
7,True,058610,에스피지,KOSDAQ,106400.0,,148960.0,,40.0,15.0,30,238.24255470517772,203.79008746355686,94.46962828649139,98.04625199362042,0.6601027600004703,2175380795000.0,104200.0
8,True,174900,앱클론,KOSDAQ,53600.0,,75040.0,,40.0,15.0,30,223.1362211783818,191.10512129380055,94.24083769633508,97.72727272727273,0.6543912483780668,387504000000.0,54000.0
9,True,098460,고영,KOSDAQ,29900.0,,41860.0,,40.0,15.0,30,201.80905534073625,69.14830256104824,94.66666666666667,96.5311004784689,0.6476075206644352,389959008400.0,28400.0
10,True,006730,서부T&D,KOSDAQ,13940.0,,19516.0,,40.0,15.0,30,141.00283016433303,53.296703296703306,99.14712153518124,94.2982456140351,0.6438624496833119,773372417850.0,13950.0
11,True,006910,보성파워텍,KOSDAQ,7800.0,,10920.0,,40.0,15.0,30,123.85889846016853,33.205374280230316,100.0,94.6969696969697,0.6435054100776801,319747029460.0,6940.0
12,True,900260,로스웰,KOSDAQ,1574.0,,2203.6,,40.0,15.0,30,163.0349464200396,54.50980392156863,97.16399506781751,94.85645933014354,0.6432281048586587,223447250000.0,1576.0
13,True,032940,원익,KOSDAQ,13780.0,,19292.0,,40.0,15.0,30,184.07139488918543,75.68270481144343,93.3011049723757,97.88676236044657,0.6404675988940496,245790537300.0,13510.0
14,True,140410,메지온,KOSDAQ,96300.0,,134820.0,,40.0,15.0,30,197.08836592665642,58.34710743801652,92.73959341723138,96.25199362041468,0.6380690999427095,834030201600.0,95800.0
15,True,240810,원익IPS,KOSDAQ,74800.0,,104720.0,,40.0,15.0,30,193.4321307104982,33.75451263537905,92.16417910447761,96.33173843700159,0.6349820716038741,3637117064100.0,74100.0
16,False,099320,쎄트렉아이,KOSDAQ,134800.0,,188720.0,,40.0,15.0,30,79.04616945712837,112.98701298701297,100.0,96.17224880382776,0.6347226086091564,953625494400.0,131200.0
17,False,218410,RFHIC,KOSDAQ,34800.0,,48720.0,,40.0,15.0,30,156.29685771641607,26.497277676951004,91.71052631578948,94.896331738437,0.6199005656639015,831089557000.0,34850.0
18,False,037460,삼지전자,KOSDAQ,16700.0,,23380.0,,40.0,15.0,30,76.05273878745231,35.72567783094098,100.0,89.95215311004785,0.6198557973896779,277741244440.0,17020.0
19,False,060280,큐렉소,KOSDAQ,14930.0,,20902.0,,40.0,15.0,30,74.2691003068971,32.723948811700176,100.0,89.47368421052632,0.6182921789334594,484347313560.0,14520.0
20,False,101490,에스앤에스텍,KOSDAQ,66800.0,,93520.0,,40.0,15.0,30,91.26265753450753,13.058419243986252,96.62261380323054,93.14194577352472,0.6178028956637319,1298584779800.0,65800.0
