date,rank,change,category,momentum_score,volatility_score,composite_score
2026-02-27,1,▲+1,건설,53.9,39.14,1.53
2026-02-27,2,▲+1,IT,59.0,43.34,1.09
2026-02-27,3,▲+9,자동차,56.81,43.38,1.07
2026-02-27,4,▼-3,금융,40.22,43.44,1.07
2026-02-27,5,▼-1,전력/인프라,60.75,52.34,0.81
2026-02-27,6,▲+2,운송,22.89,24.58,0.72
2026-02-27,7,▼-1,원자력,52.04,48.93,0.69
2026-02-27,8,▼-3,AI,42.2,39.42,0.52
2026-02-27,9,▼-2,반도체,58.55,55.35,0.52
2026-02-27,10,─,신재생에너지,44.71,50.91,0.42
2026-02-27,11,▲+2,에너지/화학,30.1,38.29,0.23
2026-02-27,12,▼-1,소비재,15.01,26.75,-0.0
2026-02-27,13,▼-4,플랫폼,14.9,25.27,-0.07
2026-02-27,14,─,부동산/리츠,5.01,7.28,-0.09
2026-02-27,15,─,철강/금속,30.53,45.25,-0.14
2026-02-27,16,▲+3,로봇,39.22,45.39,-0.3
2026-02-27,17,▲+1,2차전지,31.07,49.31,-0.36
2026-02-27,18,▼-1,방산/우주항공,29.63,52.43,-0.45
2026-02-27,19,▲+3,조선/해운,10.94,40.88,-0.89
2026-02-27,20,▼-4,바이오/헬스케어,11.54,39.47,-0.95
2026-02-27,21,▲+2,금,14.73,55.64,-1.05
2026-02-27,22,▲+2,소프트웨어,6.19,28.47,-1.05
2026-02-27,23,▼-3,미디어/엔터,3.55,32.07,-1.06
2026-02-27,24,▼-3,게임,-1.91,28.33,-1.65
