티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
295310,에이치브이엠,61800.0,61900.0,52530,80340,18.7,01/07,W바닥,상승패턴,7296
347700,스피어,17340.0,17720.0,14739,22542,15.1,01/07,W바닥,상승패턴,8390
000660,SK하이닉스,759500.0,757000.0,645575,987350,12.2,01/07,W바닥,상승패턴,5430898
005935,삼성전자우,104000.0,103600.0,88400,135200,11.9,01/07,상승삼각,상승패턴,847798
451760,컨텍,13150.0,13330.0,11178,17095,11.5,01/07,W바닥,상승패턴,2082
042700,한미반도체,189100.0,189900.0,160735,245830,11.1,01/07,상승삼각,상승패턴,182713
080220,제주반도체,31850.0,31900.0,27072,41405,11.0,01/07,W바닥,상승패턴,11280
001430,세아베스틸지주,56200.0,57500.0,47770,73060,10.9,01/07,W바닥,상승패턴,19688
005930,삼성전자,142900.0,142100.0,121465,185770,10.6,01/07,상승삼각,상승패턴,8417725
298830,슈어소프트테크,9600.0,9430.0,8160,12480,10.1,01/07,상승삼각,상승패턴,4283
095610,테스,57800.0,58000.0,49130,75140,9.8,01/07,W바닥,상승패턴,11545
079550,LIG넥스원,496500.0,497000.0,422025,645450,9.3,01/07,상승삼각,상승패턴,109120
475830,오름테라퓨틱,134600.0,133400.0,114410,174980,8.5,01/07,상승삼각,상승패턴,28282
036540,SFA반도체,5990.0,5970.0,5092,7787,8.2,01/07,W바닥,상승패턴,10065
032940,원익,12580.0,12710.0,10693,16354,7.9,01/07,W바닥,"상승패턴, 이격도2.0%+기울기1.84%",2345
047810,한국항공우주,135100.0,135500.0,114835,175630,7.8,01/07,W바닥,상승패턴,131786
027360,아주IB투자,3395.0,3410.0,2886,4414,7.8,-,-,이격도6.4%+기울기1.21%,4204
084680,이월드,1536.0,1517.0,1306,1997,7.8,01/02,상승삼각,이격도8.1%+기울기1.28%,2138
322310,오로스테크놀로지,27900.0,27900.0,23715,36270,7.8,01/07,W바닥,상승패턴,2623
170920,엘티씨,21900.0,21950.0,18615,28470,7.7,01/07,W바닥,상승패턴,2409
190510,나무가,24400.0,24400.0,20740,31720,7.7,01/07,W바닥,"상승패턴, 이격도9.7%+기울기1.01%",3579
092070,디엔에프,17530.0,17600.0,14900,22789,7.7,01/07,W바닥,상승패턴,2049
037460,삼지전자,16690.0,16500.0,14186,21697,7.5,01/05,상승삼각,이격도9.2%+기울기1.04%,2728
039440,에스티아이,33950.0,34100.0,28858,44135,7.3,01/07,W바닥,상승패턴,5358
041960,코미팜,8290.0,8290.0,7046,10777,7.1,01/07,상승삼각,상승패턴,5997
029460,케이씨,28950.0,28850.0,24608,37635,7.0,01/07,W바닥,상승패턴,3844
226950,올릭스,156500.0,155500.0,133025,203450,6.9,01/07,상승삼각,상승패턴,31214
033240,자화전자,26000.0,28250.0,22100,33800,6.9,01/05,상승삼각,이격도5.8%+기울기0.87%,5722
249420,일동제약,40500.0,40950.0,34425,52650,6.9,-,-,이격도6.3%+기울기1.23%,12671
200470,에이팩트,8010.0,8000.0,6808,10413,6.8,01/07,상승삼각,상승패턴,3453
