구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,19660.0,,508.98,Triple Bottom,,16788.449026740618,30988.530088726882,0.05,
매수,174900.KS,앱클론,2026-03-06,2026-05-16,65700.0,72800.0,,574.07,Rect Bottom,,51098.94580715627,94319.68475021844,10.81,
매수,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,19660.0,,508.98,Triple Bottom,,16788.449026740618,30988.530088726882,0.05,
매수,240810.KS,원익IPS,2026-03-24,2026-06-03,133400.0,116600.0,,342.13,Triple Bottom,,114508.85875597065,211363.25394520897,-12.59,
매수,099320.KS,쎄트렉아이,2026-03-12,2026-05-22,192100.0,176400.0,,278.05,Rect Bottom,,,,-8.17,
매수,089970.KS,브이엠,2026-03-18,2026-05-28,43400.0,44200.0,,268.95,Rect Bottom,,37944.761737987326,70039.3698640236,1.84,
매수,368770.KS,파이버프로,2026-03-12,2026-05-22,18430.0,20300.0,,232.27,Rect Bottom,,16366.840562985202,30210.31486801551,10.15,
매수,295310.KS,에이치브이엠,2026-03-10,2026-05-20,92000.0,95400.0,,230.68,Rect Bottom,,78840.78272226256,145526.2462730268,3.7,
매수,086520.KS,에코프로,2026-03-19,2026-05-29,136250.0,145500.0,,219.78,Inv H&S,,,,6.79,
매수,066970.KS,엘앤에프,2026-03-25,2026-06-04,136700.0,152900.0,,203.98,Triple Bottom,,,,11.85,
매수,200710.KS,에이디테크놀로지,2026-03-23,2026-06-02,48800.0,55300.0,,189.83,Rect Bottom,,43509.993459558806,80311.81077741372,13.32,
매수,310210.KS,보로노이,2026-03-13,2026-05-23,334500.0,317500.0,,180.48,Rect Bottom,,297655.5754113228,549419.9458222295,-5.08,
매수,131290.KS,티에스이,2026-03-17,2026-05-27,113411.05078125,108400.0,,179.88,Inv H&S,,99415.2757535268,183503.1490437418,-4.42,
매수,298380.KS,에이비엘바이오,2026-03-18,2026-05-28,183825.0,176800.0,,164.67,Inv H&S,,160211.21622705762,295721.7838703219,-3.82,
매수,170920.KS,엘티씨,2026-03-18,2026-05-28,28950.0,32550.0,,161.8,Rect Bottom,,24790.57766881839,45759.054977828746,12.44,
매수,166090.KS,하나머티리얼즈,2026-03-05,2026-05-15,64000.0,63400.0,,148.91,Rect Bottom,,56664.17752872775,104592.12566360857,-0.94,
매수,083650.KS,비에이치아이,2026-03-09,2026-05-19,93500.0,92300.0,,137.28,Triple Bottom,,89212.35093064577,164670.3407025266,-1.28,
매수,010060.KS,OCI홀딩스,2026-03-12,2026-05-22,152000.0,174400.0,,132.08,Rect Bottom,,,,14.74,
매수,222800.KS,심텍,2026-03-19,2026-05-29,59400.0,55600.0,,131.17,Inv H&S,,51183.26749990736,94475.32779436071,-6.4,
매수,003160.KS,디아이,2026-03-18,2026-05-28,36600.0,34050.0,,126.67,Rect Bottom,,,,-6.97,
매수,105840.KS,우진,2026-03-20,2026-05-30,28250.0,24050.0,,126.67,Rect Bottom,,,,-14.87,
매수,053610.KS,프로텍,2026-03-25,2026-06-04,59100.0,54200.0,,122.99,Rect Bottom,,50761.65903615194,93697.11257364934,-8.29,
매수,037460.KS,삼지전자,2026-03-25,2026-06-04,23850.0,25650.0,,122.27,Rect Bottom,,23061.982967421187,42568.37257291212,7.55,
매수,064760.KS,티씨케이,2026-03-16,2026-05-26,236500.0,230500.0,,120.23,Triple Bottom,,210804.23187770738,389107.61035568663,-2.54,
매수,078160.KS,메디포스트,2026-03-18,2026-05-28,23200.0,24550.0,,107.35,Rect Bottom,,18972.380868993663,35019.6849320118,5.82,
