rank,in_portfolio,ticker,name,market,current_price,stop_loss_price,take_profit_price,stop_loss_pct,take_profit_pct,trailing_stop_pct,hold_days,momentum,filter_mom,near_high,rs_rank,score,market_cap,close
1,True,174900,앱클론,KOSDAQ,67000.0,,93800.0,,40.0,15.0,30,289.84084880636607,289.8601398601399,100.0,98.84370015948963,0.6997848161518452,480074400000.0,66900.0
2,True,140410,메지온,KOSDAQ,140800.0,,197120.0,,40.0,15.0,30,283.71280057782366,139.1304347826087,100.0,98.80382775119617,0.6979948642238432,1197068400000.0,137500.0
3,True,083650,비에이치아이,KOSDAQ,65600.0,,91840.0,,40.0,15.0,30,278.3399166297893,30.079681274900395,100.0,98.08612440191388,0.6948824870460071,1697800000000.0,65300.0
4,True,058610,에스피지,KOSDAQ,113500.0,,158900.0,,40.0,15.0,30,274.416801349018,257.64331210191085,100.0,98.1658692185008,0.6939744895556014,2344484292500.0,112300.0
5,True,032940,원익,KOSDAQ,14850.0,,20790.0,,40.0,15.0,30,207.94812768569676,76.4218009478673,100.0,98.28548644338117,0.6758072853217899,270897194700.0,14890.0
6,True,098460,고영,KOSDAQ,30700.0,,42980.0,,40.0,15.0,30,213.20081081978657,77.53408417308832,99.83333333333333,97.1291866028708,0.6739910731598491,411241982450.0,29950.0
7,True,240810,원익IPS,KOSDAQ,81100.0,,113540.0,,40.0,15.0,30,215.88487089925349,29.593495934959346,99.12935323383084,97.24880382775119,0.6722181699919386,3911986909700.0,79700.0
8,True,127120,제이에스링크,KOSDAQ,23400.0,,32759.999999999996,,40.0,15.0,30,263.5568513119534,16.999999999999993,93.22709163346613,98.12599681020734,0.664051252934638,277757555400.0,23400.0
9,True,294140,레몬,KOSDAQ,8940.0,,12516.0,,40.0,15.0,30,121.24875124875128,34.70588235294119,100.0,95.69377990430623,0.6459007575067571,316020000000.0,9160.0
10,True,900260,로스웰,KOSDAQ,1579.0,,2210.6,,40.0,15.0,30,163.06948864841925,58.61723446893787,97.59556103575832,94.49760765550239,0.6452763545205134,224439718750.0,1583.0
11,True,006730,서부T&D,KOSDAQ,14740.0,,20636.0,,40.0,15.0,30,150.00216663521553,59.432933478734995,96.31093544137023,94.45773524720893,0.636474421613369,810516469460.0,14620.0
12,True,218410,RFHIC,KOSDAQ,35750.0,,50050.0,,40.0,15.0,30,173.00217864923746,31.29629629629629,93.28947368421052,95.13556618819776,0.6324212329544802,845398129000.0,35450.0
13,True,010170,대한광통신,KOSDAQ,2885.0,,4038.9999999999995,,40.0,15.0,30,229.71822442790187,49.32712215320911,86.63663663663664,97.48803827751196,0.6271248731395161,212744588125.0,2885.0
14,True,219130,타이거일렉,KOSDAQ,34650.0,,48510.0,,40.0,15.0,30,84.16608022519353,51.315789473684205,99.28057553956835,93.02232854864434,0.6267281095169666,217843005000.0,34500.0
15,True,131970,두산테스나,KOSDAQ,57700.0,,80780.0,,40.0,15.0,30,85.49702843150502,15.400410677618058,100.0,91.10845295055822,0.6256208591221557,384970000000.0,56200.0
16,False,079940,가비아,KOSDAQ,32900.0,,46060.0,,40.0,15.0,30,100.98453625740476,28.880157170923383,99.24357034795764,89.99202551834131,0.6243983034476074,443970435200.0,32800.0
17,False,000250,삼천당제약,KOSDAQ,389500.0,,545300.0,,40.0,15.0,30,67.28966773276477,92.52008032128514,100.0,92.58373205741627,0.6239045066095121,8477579285500.0,383500.0
18,False,104830,원익머트리얼즈,KOSDAQ,37450.0,,52430.0,,40.0,15.0,30,84.00769893342127,16.09907120743035,100.0,90.5103668261563,0.6238560639923213,472800000000.0,37500.0
19,False,037460,삼지전자,KOSDAQ,18180.0,,25452.0,,40.0,15.0,30,80.71206185810782,45.52780016116036,100.0,90.55023923444976,0.6230320090917731,294712507320.0,18060.0
20,False,032190,다우데이타,KOSDAQ,21350.0,,29889.999999999996,,40.0,15.0,30,99.09085619235083,21.487119437939107,98.80952380952381,90.35087719298247,0.622965201902177,794725000000.0,20750.0
