rank,in_portfolio,ticker,name,market,current_price,stop_loss_price,take_profit_price,stop_loss_pct,take_profit_pct,trailing_stop_pct,hold_days,momentum,filter_mom,near_high,rs_rank,score,market_cap,close
1,True,174900,앱클론,KOSDAQ,56900.0,,79660.0,,40.0,15.0,30,273.7336732909307,193.84615384615387,100.0,98.52472089314195,0.6802000061951551,411184800000.0,57300.0
2,True,101170,우림피티에스,KOSDAQ,22300.0,,31219.999999999996,,40.0,15.0,30,266.294252306554,194.03973509933775,100.0,98.92344497607655,0.6794287732021596,299700000000.0,22200.0
3,True,058610,에스피지,KOSDAQ,89700.0,,125579.99999999999,,40.0,15.0,30,293.37099632378767,190.37520391517128,97.48083242059145,98.40510366826156,0.6743681523017188,1858050775000.0,89000.0
4,True,098460,고영,KOSDAQ,29400.0,,41160.0,,40.0,15.0,30,254.64594053633417,79.08653846153845,100.0,97.64752791068581,0.6739267109052971,409182339800.0,29800.0
5,True,032940,원익,KOSDAQ,14140.0,,19796.0,,40.0,15.0,30,209.13744148243092,75.72692793931732,96.86411149825784,98.32535885167464,0.6528103780784507,252885897000.0,13900.0
6,True,010170,대한광통신,KOSDAQ,3150.0,,4410.0,,40.0,15.0,30,226.44918748484116,134.06593406593407,95.94594594594594,97.72727272727273,0.6517143729165257,235604491875.0,3195.0
7,True,290740,액트로,KOSDAQ,20600.0,,28839.999999999996,,40.0,15.0,30,118.9805790195654,290.1515151515151,100.0,98.20574162679426,0.6446912917889455,206618226600.0,20600.0
8,True,240810,원익IPS,KOSDAQ,75800.0,,106120.0,,40.0,15.0,30,220.8383340159191,32.92469352014011,94.40298507462687,97.16905901116426,0.643081389456863,3725468085900.0,75900.0
9,True,089970,브이엠,KOSDAQ,27900.0,,39060.0,,40.0,15.0,30,312.3549143586547,33.33333333333333,87.55905511811024,98.24561403508771,0.638984969665799,645921741000.0,27800.0
10,True,101490,에스앤에스텍,KOSDAQ,64400.0,,90160.0,,40.0,15.0,30,119.87811610820911,7.52508361204014,100.0,94.41786283891547,0.6363324481548989,1268981783300.0,64300.0
11,True,900260,로스웰,KOSDAQ,1569.0,,2196.6,,40.0,15.0,30,106.18820621468927,55.346534653465355,99.68233799237612,95.09569377990431,0.6335289724402953,222454781250.0,1569.0
12,True,218410,RFHIC,KOSDAQ,36650.0,,51310.0,,40.0,15.0,30,157.60818548765604,28.07017543859649,96.05263157894737,95.05582137161085,0.6306242106812581,870438130000.0,36500.0
13,True,099320,쎄트렉아이,KOSDAQ,128500.0,,179900.0,,40.0,15.0,30,66.28308400460301,87.28323699421965,99.38650306748467,96.69059011164273,0.6269914342589612,941995915200.0,129600.0
14,True,082920,비츠로셀,KOSDAQ,21600.0,,30239.999999999996,,40.0,15.0,30,89.31236484082012,48.877374784110536,100.0,91.10845295055822,0.6219821341108513,464168725600.0,21550.0
15,True,039030,이오테크닉스,KOSDAQ,308500.0,,431900.0,,40.0,15.0,30,120.67395417397732,18.882466281310208,96.25585023400937,92.78309409888357,0.6179899386584689,3800581175000.0,308500.0
16,False,060280,큐렉소,KOSDAQ,13450.0,,18830.0,,40.0,15.0,30,122.89120926910277,34.158415841584166,94.95444989488438,91.70653907496012,0.6109018082452862,451990778150.0,13550.0
17,False,080220,제주반도체,KOSDAQ,29250.0,,40950.0,,40.0,15.0,30,172.2222222222222,28.04347826086957,89.24242424242425,96.61084529505582,0.6104553154736962,916633017000.0,29450.0
18,False,056080,유진로봇,KOSDAQ,15650.0,,21910.0,,40.0,15.0,30,140.99128723327652,33.61994840928632,91.84397163120568,94.25837320574163,0.6084202781129553,582938842080.0,15540.0
19,False,065710,서호전기,KOSDAQ,53000.0,,74200.0,,40.0,15.0,30,161.55169650524567,36.24678663239074,90.44368600682594,94.57735247208932,0.6082179305958644,272950000000.0,53000.0
20,False,000250,삼천당제약,KOSDAQ,271500.0,,380100.0,,40.0,15.0,30,63.632106333361385,34.729064039408875,100.0,86.68261562998406,0.6062069315541649,6045939855500.0,273500.0
