구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,20550.0,,537.52,Triple Bottom,,17328.107860347547,31984.64557123744,4.58,
오늘신호,066970.KS,엘앤에프,2026-03-25,2026-06-04,136700.0,144500.0,,193.1,Triple Bottom,,121591.88094706163,224437.26965316007,5.71,
오늘신호,084990.KS,헬릭스미스,2026-03-26,2026-06-05,6400.0,7020.0,,131.3,Triple Bottom,,5919.382831126023,10926.14169878768,9.69,
오늘신호,053610.KS,프로텍,2026-03-25,2026-06-04,59100.0,56300.0,,128.38,Rect Bottom,,50761.65903615194,93697.11257364934,-4.74,
오늘신호,037460.KS,삼지전자,2026-03-25,2026-06-04,23850.0,26000.0,,125.5,Rect Bottom,,23061.982967421187,42568.37257291212,9.01,
오늘신호,160980.KS,싸이맥스,2026-03-25,2026-06-04,24000.0,25050.0,,93.59,Rect Bottom,,20827.45810951749,38443.83190314184,4.38,
매수,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,20550.0,,537.52,Triple Bottom,,17328.107860347547,31984.64557123744,4.58,
매수,240810.KS,원익IPS,2026-03-24,2026-06-03,133400.0,121500.0,,362.46,Triple Bottom,,114508.85875597065,211363.25394520897,-8.92,
매수,099320.KS,쎄트렉아이,2026-03-12,2026-05-22,192100.0,184000.0,,288.93,Rect Bottom,,,,-4.22,
매수,089970.KS,브이엠,2026-03-18,2026-05-28,43400.0,45300.0,,279.72,Rect Bottom,,37944.761737987326,70039.3698640236,4.38,
매수,295310.KS,에이치브이엠,2026-03-10,2026-05-20,92000.0,102000.0,,241.14,Rect Bottom,,78840.78272226256,145526.2462730268,10.87,
매수,368770.KS,파이버프로,2026-03-12,2026-05-22,18430.0,21050.0,,237.96,Rect Bottom,,16366.840562985202,30210.31486801551,14.22,
매수,200710.KS,에이디테크놀로지,2026-03-23,2026-06-02,48800.0,55900.0,,224.62,Rect Bottom,,43509.993459558806,80311.81077741372,14.55,
매수,086520.KS,에코프로,2026-03-19,2026-05-29,136250.0,146000.0,,223.37,Inv H&S,,,,7.16,
매수,084370.KS,유진테크,2026-03-05,2026-05-15,137700.0,124100.0,,220.67,Rect Bottom,,123952.88834409195,228795.27488914374,-9.88,
매수,131290.KS,티에스이,2026-03-17,2026-05-27,113411.05078125,115000.0,,193.16,Inv H&S,,99415.2757535268,183503.1490437418,1.4,
매수,066970.KS,엘앤에프,2026-03-25,2026-06-04,136700.0,144500.0,,193.1,Triple Bottom,,121591.88094706163,224437.26965316007,5.71,
매수,310210.KS,보로노이,2026-03-13,2026-05-23,334500.0,316000.0,,188.58,Rect Bottom,,297655.5754113228,549419.9458222295,-5.53,
매수,298380.KS,에이비엘바이오,2026-03-18,2026-05-28,183825.0,179900.0,,167.71,Inv H&S,,160211.21622705762,295721.7838703219,-2.14,
매수,222800.KS,심텍,2026-03-19,2026-05-29,59400.0,58600.0,,152.55,Inv H&S,,51183.26749990736,94475.32779436071,-1.35,
매수,083650.KS,비에이치아이,2026-03-09,2026-05-19,93500.0,99700.0,,151.13,Triple Bottom,,89212.35093064577,164670.3407025266,6.63,
매수,166090.KS,하나머티리얼즈,2026-03-05,2026-05-15,64000.0,63700.0,,145.31,Rect Bottom,,56664.17752872775,104592.12566360857,-0.47,
매수,003160.KS,디아이,2026-03-18,2026-05-28,36600.0,35750.0,,132.93,Rect Bottom,,,,-2.32,
매수,084990.KS,헬릭스미스,2026-03-26,2026-06-05,6400.0,7020.0,,131.3,Triple Bottom,,5919.382831126023,10926.14169878768,9.69,
매수,105840.KS,우진,2026-03-20,2026-05-30,28250.0,25400.0,,131.12,Rect Bottom,,,,-10.09,
