date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-20,1,▲+1,IT,33.29,27.28,1.19
2026-01-20,2,▼-1,방산/우주항공,42.96,48.02,0.85
2026-01-20,3,▲+6,로봇,48.43,47.51,0.83
2026-01-20,4,▼-1,자동차,39.41,39.55,0.81
2026-01-20,5,▼-1,AI,25.06,25.85,0.8
2026-01-20,6,▲+8,건설,23.51,31.06,0.61
2026-01-20,7,▼-2,금융,8.26,22.78,0.45
2026-01-20,8,▼-2,전력/인프라,32.22,37.09,0.37
2026-01-20,9,▼-2,반도체,29.97,37.98,0.34
2026-01-20,10,▼-2,운송,13.63,21.67,0.29
2026-01-20,11,▲+2,부동산/리츠,5.23,7.6,0.23
2026-01-20,12,▼-1,원자력,26.4,37.11,0.14
2026-01-20,13,▼-1,금,17.95,23.0,0.1
2026-01-20,14,▲+4,철강/금속,16.83,40.71,-0.18
2026-01-20,15,▲+1,신재생에너지,14.23,32.87,-0.21
2026-01-20,16,▼-6,조선/해운,17.82,40.33,-0.28
2026-01-20,17,▼-2,바이오/헬스케어,11.72,27.47,-0.47
2026-01-20,18,▲+2,에너지/화학,7.13,30.13,-0.62
2026-01-20,19,─,플랫폼,1.73,13.31,-0.66
2026-01-20,20,▼-3,소프트웨어,4.78,25.0,-0.67
2026-01-20,21,▲+1,2차전지,10.18,42.76,-0.7
2026-01-20,22,▲+2,소비재,1.74,19.13,-0.91
2026-01-20,23,▼-2,미디어/엔터,1.19,30.89,-0.95
2026-01-20,24,▼-1,게임,-1.35,23.66,-1.1
