구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,000660.KS,SK하이닉스,2026-04-14,2026-06-02,1099000.0,1103000.0,,308.64,-0.8087,18.12,Triple Bottom,,,,0.36,
매수,281820.KS,케이씨텍,2026-04-13,2026-06-01,51000.0,53400.0,,93.91,0.6957,48.56,Rect Bottom,,49856.26601381832,72562.88474061225,4.71,
매수,100840.KS,SNT에너지,2026-04-03,2026-05-22,51000.0,58100.0,,67.84,0.6522,47.6,Rect Bottom,,50417.49977757613,73379.72772080677,13.92,
매수,278470.KS,에이피알,2026-04-09,2026-05-28,359500.0,386000.0,,144.5,-0.4522,41.4,Rect Bottom,,348900.32313610194,507804.0526875867,7.37,
매수,017960.KS,한국카본,2026-04-13,2026-06-01,47800.0,50000.0,,119.63,0.2174,40.38,Rect Bottom,,47424.2530375345,69023.23182643605,4.6,
매수,052690.KS,한전기술,2026-04-08,2026-05-27,167000.0,173000.0,,96.23,-0.2261,33.82,Rect Bottom,,159764.54474972177,232527.968362037,3.59,
매수,079900.KS,전진건설로봇,2026-04-08,2026-05-27,61080.90625,67800.0,,35.33,0.7739,31.37,Rect Bottom,,63980.64906838974,93120.09974217408,11.0,
매수,011070.KS,LG이노텍,2026-04-08,2026-05-27,345000.0,370500.0,,143.11,-0.3043,27.44,Rect Bottom,,321306.32975134323,467642.6061613566,7.39,
매수,047810.KS,한국항공우주,2026-04-09,2026-05-28,197600.0,193300.0,,128.22,-0.4783,25.58,Rect Bottom,,188481.0056619961,274323.1008486561,-2.18,
매수,000720.KS,현대건설,2026-04-08,2026-05-27,159900.0,176700.0,,147.83,-0.5043,25.52,Rect Bottom,,170708.60314299894,248456.40647582995,10.51,
매수,007070.KS,GS리테일,2026-04-09,2026-05-28,21900.0,22750.0,,37.41,0.3913,18.58,Inv H&S,,20812.418739351928,30291.26051554639,3.88,
매수,006260.KS,LS,2026-04-10,2026-05-29,291500.0,301500.0,,73.98,-0.3304,18.36,Rect Bottom,,268924.51180061477,391403.92800986907,3.43,
매수,000660.KS,SK하이닉스,2026-04-14,2026-06-02,1099000.0,1103000.0,,308.64,-0.8087,18.12,Triple Bottom,,,,0.36,
매수,001720.KS,신영증권,2026-04-08,2026-05-27,182375.0,206500.0,,74.85,0.0348,17.44,Inv H&S,,191754.86928391663,279088.01823312405,13.23,
매수,079550.KS,LIG넥스원,2026-04-09,2026-05-28,860000.0,934000.0,,90.42,-0.5391,0.57,Rect Bottom,,832496.7495740771,1211650.4206218557,8.6,
매수,139130.KS,iM금융지주,2026-04-10,2026-05-29,17670.0,18290.0,,33.02,0.113,-3.22,Triple Bottom,,16837.012912734142,24505.289405835283,3.51,
매수,034020.KS,두산에너빌리티,2026-04-08,2026-05-27,100350.0,99700.0,,66.17,-0.7565,-3.49,Inv H&S,,93632.4995869271,136276.637195784,-0.65,
매수,082640.KS,동양생명,2026-03-27,2026-05-15,8480.0,8820.0,,33.43,0.5478,-6.08,Rect Bottom,,8222.07463905184,11966.749659849564,4.01,
매수,078930.KS,GS,2026-04-13,2026-06-01,72601.7734375,73200.0,,54.03,-0.9739,-14.8,Triple Bottom,,68096.36333594698,99110.28159693381,0.82,
매수,241560.KS,두산밥캣,2026-04-09,2026-05-28,67000.0,68800.0,,26.85,-0.2174,-18.18,Rect Bottom,,65009.57763527905,94617.645205864,2.69,
매수,003470.KS,유안타증권,2026-04-08,2026-05-27,4710.0,4930.0,,31.64,-0.9478,-46.74,Inv H&S,,4545.9934864382185,6616.428139575526,4.67,
매도패턴,004990.KS,롯데지주,2026-04-15,,29100.0,28400.0,,0.35,0.0,0.0,H&S,,,,-2.41,
매도패턴,267250.KS,HD현대,2026-04-14,,307551.61458333395,250000.0,,88.09,0.0,0.0,H&S,,,,-18.71,
매도패턴,023530.KS,롯데쇼핑,2026-04-14,,105333.33333333302,105300.0,,38.55,0.0,0.0,H&S,,,,-0.03,
매도패턴,030190.KS,NICE평가정보,2026-04-08,,15630.0,15000.0,,-7.58,0.0,0.0,Triple Top,,,,-4.03,
매도패턴,071050.KS,한국금융지주,2026-04-07,,214114.0625,257500.0,,100.2,0.0,0.0,H&S,,,,20.26,
매도패턴,180640.KS,한진칼,2026-04-07,,107800.0,111700.0,,-6.13,0.0,0.0,Rect Top,,,,3.62,
매도패턴,039490.KS,키움증권,2026-04-06,,564000.0,480000.0,,137.17,0.0,0.0,H&S,,,,-14.89,
매도패턴,000120.KS,CJ대한통운,2026-04-06,,113614.28571428591,104200.0,,14.88,0.0,0.0,H&S,,,,-8.29,
매도패턴,009970.KS,영원무역홀딩스,2026-04-03,,214000.0,214500.0,,65.48,0.0,0.0,Triple Top,,,,0.23,
매도패턴,034230.KS,파라다이스,2026-04-03,,15550.0,15400.0,,-2.97,0.0,0.0,Triple Top,,,,-0.96,
매도패턴,352820.KS,하이브,2026-04-02,,280103.25,245500.0,,-12.67,0.0,0.0,Rect Top,,,,-12.35,
매도패턴,029780.KS,삼성카드,2026-04-02,,51700.0,54300.0,,5.64,0.0,0.0,Triple Top,,,,5.03,
손절하락,011170.KS,롯데케미칼,2026-04-09,2026-05-28,97000.0,88600.0,,31.49,0.0,0.0,"Triple Bottom (손절 6% 이탈, -8.7%)",,90732.79180751176,132056.28179811235,-8.66,
매도전환,030190.KS,NICE평가정보,2026-04-01,,16720.0,15000.0,2026-04-14,,,,,,,,-10.29,
매도전환,138040.KS,메리츠금융지주,2026-02-12,,135000.0,115600.0,2026-04-10,,,,,,,,-14.37,
