티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
043260,성호전자,15990.0,16160.0,13592,20787,19.9,01/14,상승삼각,상승패턴,11390
290740,액트로,22350.0,22350.0,18998,29055,19.5,01/14,상승삼각,상승패턴,2250
012860,012860,4370.0,4370.0,3714,5681,18.6,01/14,W바닥,상승패턴,3200
295310,에이치브이엠,77800.0,77900.0,66130,101140,16.9,01/14,W바닥,상승패턴,9272
462350,이노스페이스,26000.0,25950.0,22100,33800,12.2,01/14,상승삼각,상승패턴,5361
000660,SK하이닉스,737000.0,740000.0,626450,958100,10.7,01/14,W바닥,상승패턴,5387218
354320,알멕,38700.0,38700.0,32895,50310,10.2,01/14,W바닥,상승패턴,2473
272210,한화시스템,90500.0,90700.0,76925,117650,9.9,01/14,상승삼각,상승패턴,170216
318060,그래피,34850.0,35000.0,29622,45305,9.8,01/14,상승삼각,상승패턴,3891
036570,엔씨소프트,251500.0,250000.0,213775,326950,9.8,01/14,상승삼각,상승패턴,53860
047810,한국항공우주,154500.0,154600.0,131325,200850,9.5,01/14,W바닥,상승패턴,150697
361390,제노코,23650.0,25550.0,20102,30745,9.1,01/08,상승삼각,이격도4.3%+기울기1.34%,2086
170920,엘티씨,22550.0,22650.0,19168,29315,9.1,01/14,W바닥,"상승패턴, 이격도9.5%+기울기0.65%",2393
032940,원익,13550.0,13490.0,11518,17615,8.7,01/14,W바닥,"상승패턴, 이격도6.5%+기울기2.73%",2456
005380,현대차,402500.0,404000.0,342125,523250,8.7,01/14,상승삼각,상승패턴,826198
214430,아이쓰리시스템,96400.0,96800.0,81940,125320,8.6,01/14,W바닥,상승패턴,7073
080220,제주반도체,29250.0,29250.0,24862,38025,8.4,01/14,W바닥,상승패턴,10075
371950,풍원정밀,13190.0,13280.0,11212,17147,8.3,01/14,상승삼각,상승패턴,3010
064350,현대로템,225000.0,225000.0,191250,292500,8.1,01/14,W바닥,상승패턴,245570
482630,삼양엔씨켐,27250.0,26550.0,23162,35425,8.1,01/07,상승삼각,이격도8.4%+기울기1.06%,2999
007810,코리아써키트,51800.0,51800.0,44030,67340,8.1,01/14,상승삼각,상승패턴,12236
451760,컨텍,13130.0,13110.0,11160,17069,7.7,01/14,W바닥,상승패턴,2000
001430,세아베스틸지주,68800.0,69000.0,58480,89440,7.7,01/14,W바닥,상승패턴,24781
950170,JTC,4785.0,4765.0,4067,6220,7.6,01/14,W바닥,상승패턴,2466
211270,AP위성,14870.0,14300.0,12640,19331,7.5,01/05,상승삼각,이격도4.7%+기울기0.55%,2252
012450,한화에어로스페이스,1266000.0,1266000.0,1076100,1645800,7.4,01/14,W바닥,상승패턴,652793
005387,현대차2우B,248000.0,249000.0,210800,322400,7.2,01/14,상승삼각,상승패턴,86885
000880,한화,100500.0,101200.0,85425,130650,7.2,01/14,W바닥,상승패턴,75708
005389,현대차3우B,240000.0,240000.0,204000,312000,7.1,01/14,상승삼각,상승패턴,5598
140670,알에스오토메이션,21150.0,21400.0,17978,27495,6.8,01/14,상승삼각,상승패턴,2748
