date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-17,1,─,Energy,16.08,15.13,2.53
2026-03-17,2,▲+6,Utilities,4.09,14.52,0.67
2026-03-17,3,▲+2,Automotive,13.57,67.09,0.63
2026-03-17,4,─,Materials,8.75,41.88,0.57
2026-03-17,5,▼-2,Biotechnology,6.16,25.55,0.43
2026-03-17,6,▲+5,Clean Energy,6.21,32.93,0.37
2026-03-17,7,▲+3,Semiconductors,7.55,34.28,0.3
2026-03-17,8,▼-1,Metals & Mining,9.99,43.55,0.27
2026-03-17,9,─,Real Estate,2.51,10.86,0.25
2026-03-17,10,▼-8,Industrials,4.68,20.45,0.25
2026-03-17,11,▼-5,Silver Miners,11.14,60.19,0.21
2026-03-17,12,▲+7,Cryptocurrency,-4.47,51.41,0.19
2026-03-17,13,▲+2,Telecom,-0.25,13.5,0.12
2026-03-17,14,─,Nuclear Energy,3.0,36.74,0.07
2026-03-17,15,▼-2,Uranium,5.39,55.09,0.05
2026-03-17,16,▲+2,Technology,-0.84,19.75,-0.06
2026-03-17,17,─,Software,-5.88,27.6,-0.14
2026-03-17,18,▲+3,Electric Energy Infrastructure,1.2,20.27,-0.18
2026-03-17,19,▼-7,Pharmaceutical,2.27,16.36,-0.31
2026-03-17,20,▲+2,Cloud Computing,-4.94,27.45,-0.32
2026-03-17,21,▲+2,Consumer Staples,0.89,18.05,-0.33
2026-03-17,22,▼-2,Mortgage REITs,-0.39,12.68,-0.4
2026-03-17,23,▼-7,Healthcare,-0.32,16.56,-0.49
2026-03-17,24,▲+3,Internet,-7.72,22.8,-0.66
2026-03-17,25,▼-1,Leisure & Entertainment,-14.77,53.12,-0.72
2026-03-17,26,▼-1,Consumer Discretionary,-10.19,34.18,-0.74
2026-03-17,27,▼-1,Medical Devices,-6.06,18.56,-1.08
2026-03-17,28,─,Banks,-7.9,25.52,-1.14
2026-03-17,29,─,Financials,-7.6,21.01,-1.16
