티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
099320.KS,쎄트렉아이,187500.0,192100.0,2026-03-12,2026-06-03,273.88,Rect Bottom,,0.0,,
005380.KS,현대차,522000.0,525692.3125,2026-02-25,2026-05-19,158.67,Rect Bottom,,0.0,516600.0,
007660.KS,이수페타시스,114300.0,125400.0,2026-02-27,2026-05-21,142.42,Rect Bottom,,0.0,112950.0,
083650.KS,비에이치아이,105100.0,93500.0,2026-03-09,2026-05-31,141.06,Triple Bottom,,0.0,95220.0,
064760.KS,티씨케이,230500.0,236500.0,2026-03-16,2026-06-07,132.32,Triple Bottom,,0.0,225000.0,
010060.KS,OCI홀딩스,165000.0,152000.0,2026-03-12,2026-06-03,131.8,Rect Bottom,,0.0,,
101490.KS,에스앤에스텍,86500.0,93700.0,2026-02-20,2026-05-14,123.04,Rect Bottom,,0.0,85770.0,
058470.KS,리노공업,110000.0,99800.0,2026-02-26,2026-05-20,120.28,Rect Bottom,,0.0,91440.0,
105840.KS,우진,26400.0,27650.0,2026-03-13,2026-06-04,108.42,Rect Bottom,,0.0,,
047810.KS,한국항공우주,202000.0,197600.0,2026-03-17,2026-06-08,107.61,Triple Bottom,,0.0,181800.0,
005850.KS,에스엘,65700.0,58200.0,2026-02-20,2026-05-14,104.35,Rect Bottom,,0.0,56700.0,
006110.KS,삼아알미늄,35250.0,32750.0,2026-03-13,2026-06-04,97.9,Rect Bottom,,0.0,,
039200.KS,오스코텍,54900.0,56600.0,2026-03-16,2026-06-07,93.99,Triple Bottom,,0.0,52830.0,
073490.KS,이노와이어리스,40900.0,35800.0,2026-03-10,2026-06-01,84.65,Rect Bottom,,0.0,34920.0,
034020.KS,두산에너빌리티,104400.0,102125.0,2026-02-20,2026-05-14,71.15,Inv H&S,,0.0,94770.0,
082920.KS,비츠로셀,25200.0,22650.0,2026-03-12,2026-06-03,69.41,Rect Bottom,,0.0,,
007340.KS,DN오토모티브,35800.0,32249.6640625,2026-03-16,2026-06-07,68.99,Triple Bottom,,0.0,31770.0,
008060.KS,대덕,12920.0,11530.0,2026-02-20,2026-05-14,61.9,Triple Bottom,,0.0,10449.0,
000500.KS,가온전선,102000.0,92424.1796875,2026-02-23,2026-05-17,58.76,Rect Bottom,,0.0,87408.29141981615,
083450.KS,GST,29700.0,30300.0,2026-02-25,2026-05-19,55.72,Rect Bottom,,0.0,28305.0,
010690.KS,화신,12750.0,11909.411764705903,2026-02-20,2026-05-14,50.71,Inv H&S,,0.0,12132.0,
036890.KS,진성티이씨,16420.0,16710.0,2026-03-13,2026-06-04,50.5,Rect Bottom,,0.0,,
