티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,298500.0,286541.66666666605,2026-01-29,2026-03-30,645.32,Inv H&S,,0.0,275280.0,370000.0
042520.KQ,한스바이오메드,40000.0,35050.0,2026-01-30,2026-03-31,416.8,Rect Bottom,,0.0,36270.0,48750.0
353200.KS,대덕전자,58900.0,52900.0,2026-01-28,2026-03-29,285.98,Rect Bottom,,0.0,52545.0,70625.0
298040.KS,효성중공업,2211000.0,2328000.0,2026-01-16,2026-03-17,282.53,Rect Bottom,,0.0,2194800.0,2950000.0
006805.KS,미래에셋증권우,18500.0,16930.0,2026-01-30,2026-03-31,233.33,Rect Bottom,,0.0,18228.0,24500.0
195870.KS,해성디에스,61900.0,58500.0,2026-01-26,2026-03-27,208.73,Rect Bottom,,0.0,53754.0,72250.0
067310.KQ,하나마이크론,33150.0,28900.0,2026-01-27,2026-03-28,195.45,Rect Bottom,,0.0,31712.999999999996,42625.0
267250.KS,HD현대,238500.0,226500.0,2026-01-12,2026-03-13,193.27,Rect Bottom,,0.0,211110.0,283750.0
115180.KQ,큐리언트,32500.0,31450.0,2026-01-28,2026-03-29,181.14,Rect Bottom,,0.0,32270.999999999996,43375.0
078350.KQ,한양디지텍,26600.0,25750.0,2026-01-27,2026-03-28,180.0,Triple Bottom,,0.0,24924.0,33500.0
034020.KS,두산에너빌리티,89000.0,95400.0,2026-02-04,2026-04-05,178.56,Rect Bottom,,0.0,87420.0,117500.0
002020.KS,코오롱,62600.0,55700.0,2026-01-29,2026-03-30,172.77,Rect Bottom,,0.0,53847.0,72375.0
102940.KQ,코오롱생명과학,64000.0,61200.0,2026-01-27,2026-03-28,162.83,Rect Bottom,,0.0,55613.99999999999,74750.0
004800.KS,효성,140000.0,140700.0,2026-01-15,2026-03-16,156.88,Triple Bottom,,0.0,137640.0,185000.0
170920.KQ,엘티씨,25100.0,23600.0,2026-01-21,2026-03-22,155.94,Rect Bottom,,0.0,22180.5,29812.5
010120.KS,LS ELECTRIC,595000.0,518000.0,2026-01-14,2026-03-15,148.95,Rect Bottom,,0.0,498479.99999999994,670000.0
001440.KS,대한전선,30250.0,27100.0,2026-01-20,2026-03-21,146.34,Rect Bottom,,0.0,25900.5,34812.5
115310.KQ,인포바인,77700.0,74788.890625,2026-01-20,2026-03-21,141.73,Triple Bottom,,0.0,67890.0,91250.0
042700.KS,한미반도체,196000.0,186500.0,2026-01-29,2026-03-30,139.32,Rect Bottom,,0.0,185907.0,249875.0
033640.KQ,네패스,18950.0,17950.0,2026-01-29,2026-03-30,138.66,Triple Bottom,,0.0,17763.0,23875.0
267260.KS,HD현대일렉트릭,840000.0,922000.0,2026-02-04,2026-04-05,132.0,Rect Bottom,,0.0,831420.0,1117500.0
032350.KS,롯데관광개발,26100.0,23600.0,2026-01-22,2026-03-23,131.38,Rect Bottom,,0.0,21855.0,29375.0
103590.KS,일진전기,63700.0,63500.0,2026-01-28,2026-03-29,130.38,Rect Bottom,,0.0,61379.99999999999,82500.0
034730.KS,SK,315000.0,301500.0,2026-01-28,2026-03-29,130.27,Rect Bottom,,0.0,298530.0,401250.0
032830.KS,삼성생명,184300.0,165400.0,2026-01-16,2026-03-17,128.16,Triple Bottom,,0.0,155124.0,208500.0
089970.KQ,브이엠,27250.0,29950.0,2026-01-29,2026-03-30,123.0,Rect Bottom,,0.0,27156.0,36500.0
014680.KS,한솔케미칼,279500.0,252000.0,2026-01-20,2026-03-21,120.95,Triple Bottom,,0.0,239009.99999999997,321250.0
071050.KS,한국금융지주,205500.0,182300.0,2026-01-16,2026-03-17,119.79,Rect Bottom,,0.0,170283.0,228875.0
036810.KQ,에프에스티,40100.0,36534.65234375,2026-01-22,2026-03-23,116.81,Rect Bottom,,0.0,34782.0,46750.0
032500.KQ,케이엠더블유,18400.0,16400.0,2026-01-26,2026-03-27,111.25,Rect Bottom,,0.0,15809.999999999998,21250.0
