date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-21,1,▲+2,자동차,45.78,39.46,1.23
2026-01-21,2,▼-1,IT,31.59,26.53,1.21
2026-01-21,3,▲+7,로봇,52.6,47.19,1.12
2026-01-21,4,─,AI,22.87,25.19,0.8
2026-01-21,5,▼-3,방산/우주항공,36.12,48.55,0.64
2026-01-21,6,▲+5,건설,22.47,31.87,0.59
2026-01-21,7,▲+5,금,21.77,23.21,0.58
2026-01-21,8,▼-3,전력/인프라,30.93,36.76,0.46
2026-01-21,9,▼-3,금융,7.14,23.0,0.45
2026-01-21,10,▲+3,부동산/리츠,5.21,7.5,0.41
2026-01-21,11,▼-3,운송,12.67,21.89,0.34
2026-01-21,12,▼-3,원자력,26.36,37.12,0.29
2026-01-21,13,▼-6,반도체,25.92,36.99,0.27
2026-01-21,14,▲+5,철강/금속,15.56,40.21,-0.06
2026-01-21,15,─,신재생에너지,12.03,33.28,-0.13
2026-01-21,16,▼-2,조선/해운,13.54,40.11,-0.26
2026-01-21,17,▲+3,에너지/화학,4.32,30.92,-0.6
2026-01-21,18,▲+5,2차전지,7.41,43.26,-0.6
2026-01-21,19,▼-3,소프트웨어,1.79,25.96,-0.69
2026-01-21,20,▲+4,소비재,1.29,19.51,-0.75
2026-01-21,21,─,미디어/엔터,-1.46,31.39,-0.87
2026-01-21,22,▼-5,바이오/헬스케어,2.32,30.72,-0.88
2026-01-21,23,▼-5,플랫폼,-1.23,15.88,-0.98
2026-01-21,24,▼-2,게임,-4.86,24.65,-1.14
