구분,티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가,손익률(%)
매수,007810.KS,코리아써키트,55400.0,49257.14285714319,2026-03-18,2026-06-09,391.06,Inv H&S,,0.0,46980.632698895744,102512.80026539638,12.47
매수,226950.KS,올릭스,189800.0,179542.8571428568,2026-02-27,2026-05-21,364.63,Inv H&S,,0.0,155273.5351474334,338810.3561118064,5.71
매수,353200.KS,대덕전자,73300.0,66700.0,2026-03-17,2026-06-08,329.91,Rect Bottom,,0.0,58344.179236173775,127308.31513103377,9.9
매수,099320.KS,쎄트렉아이,194000.0,192100.0,2026-03-12,2026-06-03,285.31,Rect Bottom,,0.0,,,0.99
매수,295310.KS,에이치브이엠,101300.0,92000.0,2026-03-10,2026-06-01,281.54,Rect Bottom,,0.0,79290.41800264896,173013.4805923206,10.11
매수,089970.KS,브이엠,43750.0,43400.0,2026-03-18,2026-06-09,270.76,Rect Bottom,,0.0,37101.13141835178,80955.50562474894,0.81
매수,080220.KS,제주반도체,43450.0,47300.0,2026-02-26,2026-05-20,225.96,Rect Bottom,,0.0,40747.64262061265,88912.27532043855,-8.14
매수,310210.KS,보로노이,352000.0,334500.0,2026-03-13,2026-06-04,223.23,Rect Bottom,,0.0,299353.12892978697,653195.2796694029,5.23
매수,131290.KS,티에스이,119000.0,113411.05078125,2026-03-17,2026-06-08,201.45,Inv H&S,,0.0,99982.24901082687,218163.5225864663,4.93
매수,170920.KS,엘티씨,29400.0,28950.0,2026-03-18,2026-06-09,194.99,Rect Bottom,,0.0,24931.9603131324,54402.09977983129,1.55
매수,200710.KS,에이디테크놀로지,49200.0,48800.0,2026-03-18,2026-06-09,185.88,Rect Bottom,,0.0,41722.872360752175,91040.24861114623,0.82
매수,356860.KS,티엘비,61600.0,62600.0,2026-02-24,2026-05-18,177.36,Rect Bottom,,0.0,55884.90423930017,121942.12161533612,-1.6
매수,298380.KS,에이비엘바이오,193200.0,183825.0,2026-03-18,2026-06-09,172.88,Inv H&S,,0.0,163838.5963434415,357499.51283889136,5.1
매수,095610.KS,테스,66900.0,73800.0,2026-02-26,2026-05-20,168.02,Rect Bottom,,0.0,61990.69043843464,135265.08482672338,-9.35
매수,307950.KS,현대오토에버,436000.0,501000.0,2026-02-26,2026-05-20,164.72,Rect Bottom,,0.0,419772.8011904945,915953.7207828738,-12.97
매수,005380.KS,현대차,534000.0,525692.3125,2026-02-25,2026-05-19,160.83,Rect Bottom,,0.0,486766.84420877544,1062136.2337967062,1.58
매수,033240.KS,자화전자,38800.0,44250.0,2026-03-11,2026-06-02,160.58,Rect Bottom,,0.0,37101.13141835178,80955.50562474894,-12.32
매수,007660.KS,이수페타시스,121000.0,125400.0,2026-02-27,2026-05-21,160.5,Rect Bottom,,0.0,106427.2455543577,232226.6504207084,-3.51
매수,357780.KS,솔브레인,432500.0,429000.0,2026-02-26,2026-05-20,155.46,Rect Bottom,,0.0,360835.00385162706,787350.117561844,0.82
매수,368770.KS,파이버프로,17090.0,18430.0,2026-03-12,2026-06-03,153.37,Rect Bottom,,0.0,16460.18196183333,35916.488324031474,-7.27
매수,083650.KS,비에이치아이,106800.0,93500.0,2026-03-09,2026-05-31,142.73,Triple Bottom,,0.0,89721.136092837,195773.54274510714,14.22
매수,166090.KS,하나머티리얼즈,60900.0,64000.0,2026-03-05,2026-05-27,140.5,Rect Bottom,,0.0,56987.33785858834,124347.65663961438,-4.84
매수,105840.KS,우진,27250.0,27650.0,2026-03-13,2026-06-04,134.99,Rect Bottom,,0.0,,,-1.45
매수,101490.KS,에스앤에스텍,88900.0,94900.0,2026-03-03,2026-05-25,133.74,Triple Bottom,,0.0,78781.60248605441,171903.2336580383,-6.32
매수,064760.KS,티씨케이,235000.0,236500.0,2026-03-16,2026-06-07,133.13,Triple Bottom,,0.0,212006.4652477245,462602.88928427966,-0.63
매수,036540.KS,SFA반도체,7280.0,7470.0,2026-02-26,2026-05-20,132.59,Rect Bottom,,0.0,6682.443784608276,14581.243070240494,-2.54
매수,003160.KS,디아이,37300.0,36600.0,2026-03-18,2026-06-09,131.84,Rect Bottom,,0.0,31631.364614960494,69020.35108121453,1.91
매수,058470.KS,리노공업,114000.0,99800.0,2026-02-26,2026-05-20,123.86,Rect Bottom,,0.0,86159.42747667524,188001.81420513126,14.23
매수,000720.KS,현대건설,166800.0,164700.0,2026-03-18,2026-06-09,121.51,Rect Bottom,,0.0,141450.71361328178,308648.6477304714,1.28
매수,253590.KS,네오셈,19840.0,18770.0,2026-03-11,2026-06-02,109.06,Rect Bottom,,0.0,16731.550237350417,36508.62002231535,5.7
매수후보,047810.KS,한국항공우주,194900.0,197600.0,2026-03-17,2026-06-08,105.37,Triple Bottom,,0.0,170877.21098966594,372857.9287631294,-1.37
매수후보,039200.KS,오스코텍,56300.0,56600.0,2026-03-16,2026-06-07,105.1,Triple Bottom,,0.0,49779.11804016571,108619.15840394887,-0.53
매수후보,237690.KS,에스티팜,153000.0,160600.0,2026-03-09,2026-05-31,97.93,Rect Bottom,,0.0,144588.4092989481,315495.17049187876,-4.73
매수후보,078160.KS,메디포스트,23600.0,23200.0,2026-03-18,2026-06-09,97.16,Rect Bottom,,0.0,20013.41031938519,43669.712748436,1.72
매수후보,006110.KS,삼아알미늄,33500.0,32750.0,2026-03-13,2026-06-04,84.35,Rect Bottom,,0.0,,,2.29
매수후보,073490.KS,이노와이어리스,39800.0,35800.0,2026-03-10,2026-06-01,78.48,Rect Bottom,,0.0,32903.40340644684,71795.96841692021,11.17
매수후보,039440.KS,에스티아이,33400.0,37950.0,2026-02-26,2026-05-20,73.85,Rect Bottom,,0.0,33073.00857864502,72166.05072834763,-11.99
매수후보,093520.KS,매커스,26350.0,28688.009765625,2026-02-23,2026-05-17,63.03,Rect Bottom,,0.0,26119.196518519657,56992.67595982325,-8.15
매수후보,243840.KS,신흥에스이씨,6360.0,6210.0,2026-02-26,2026-05-20,62.35,Rect Bottom,,0.0,5249.280079533658,11454.047538678764,2.42
