티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
295310,에이치브이엠,69750.0,67000.0,59288,90675,18.3,01/08,W바닥,상승패턴,8022
347700,스피어,18630.0,18320.0,15836,24219,15.9,01/08,W바닥,상승패턴,8511
099320,쎄트렉아이,109500.0,106100.0,93075,142350,14.5,01/08,상승삼각,상승패턴,11510
451760,컨텍,14050.0,14000.0,11942,18265,12.7,01/08,W바닥,상승패턴,2135
475830,오름테라퓨틱,141200.0,140700.0,120020,183560,12.5,01/08,상승삼각,상승패턴,29704
080220,제주반도체,32800.0,32200.0,27880,42640,11.6,01/08,W바닥,상승패턴,11091
042700,한미반도체,193500.0,196600.0,164475,251550,11.5,01/08,상승삼각,상승패턴,189576
000660,SK하이닉스,780000.0,781000.0,663000,1014000,11.4,01/08,W바닥,상승패턴,5714819
174900,앱클론,59300.0,58300.0,50405,77090,11.3,01/08,상승삼각,상승패턴,11162
095610,테스,57200.0,58800.0,48620,74360,10.1,01/08,W바닥,상승패턴,11604
079550,LIG넥스원,527000.0,524000.0,447950,685100,9.3,01/08,상승삼각,상승패턴,114840
397030,에이프릴바이오,56100.0,56800.0,47685,72930,9.3,01/08,상승삼각,상승패턴,13113
029460,케이씨,28750.0,29200.0,24438,37375,9.1,01/08,W바닥,상승패턴,3877
304360,에스바이오메딕스,40250.0,40900.0,34212,52325,8.9,01/08,상승삼각,상승패턴,4948
482630,삼양엔씨켐,27900.0,29050.0,23715,36270,8.8,01/08,상승삼각,상승패턴,3223
001430,세아베스틸지주,57600.0,57400.0,48960,74880,8.7,01/08,W바닥,상승패턴,20549
170920,엘티씨,22400.0,22650.0,19040,29120,8.6,01/08,W바닥,상승패턴,2393
036540,SFA반도체,5870.0,5930.0,4990,7631,8.3,01/08,W바닥,상승패턴,9769
190510,나무가,24750.0,24900.0,21038,32175,8.1,01/08,W바닥,상승패턴,3572
047810,한국항공우주,141400.0,140300.0,120190,183820,7.9,01/08,W바닥,상승패턴,136173
322310,오로스테크놀로지,27150.0,27500.0,23078,35295,7.3,01/08,W바닥,"상승패턴, 이격도9.4%+기울기0.99%",2576
032940,원익,12180.0,12300.0,10353,15834,7.3,01/08,W바닥,"상승패턴, 이격도-1.4%+기울기4.80%",2250
146320,비씨엔씨,15390.0,15610.0,13082,20007,7.2,01/08,W바닥,상승패턴,2012
207940,삼성바이오로직스,1889000.0,1814000.0,1605650,2455700,7.1,01/08,W바닥,"상승패턴, 이격도5.2%+기울기0.80%",837403
011210,현대위아,87000.0,88600.0,73950,113100,6.9,01/08,상승삼각,상승패턴,23768
230360,에코마케팅,15900.0,15900.0,13515,20670,6.9,01/08,W바닥,상승패턴,4932
027360,아주IB투자,3405.0,3380.0,2894,4426,6.8,-,-,이격도5.2%+기울기1.12%,4113
253590,네오셈,12370.0,12470.0,10514,16081,6.8,01/08,W바닥,상승패턴,5506
041960,코미팜,8120.0,8340.0,6902,10556,6.8,01/07,상승삼각,이격도9.6%+기울기1.26%,5930
249420,일동제약,41600.0,41250.0,35360,54080,6.6,-,-,이격도6.4%+기울기1.14%,12908
