date,rank,change,category,momentum_score,volatility_score,composite_score
2026-04-14,1,▲+4,Semiconductors,19.4,40.13,1.42
2026-04-14,2,▲+1,Banks,7.38,21.2,1.36
2026-04-14,3,▲+4,Biotechnology,12.29,34.74,0.86
2026-04-14,4,▲+6,Electric Energy Infrastructure,7.19,26.51,0.67
2026-04-14,5,▲+1,Financials,3.78,20.18,0.63
2026-04-14,6,▼-5,Automotive,22.06,82.36,0.6
2026-04-14,7,▼-3,Utilities,5.8,18.45,0.54
2026-04-14,8,─,Materials,12.19,47.06,0.49
2026-04-14,9,─,Real Estate,3.37,16.33,0.29
2026-04-14,10,▲+7,Technology,3.69,25.4,0.26
2026-04-14,11,▲+7,Metals & Mining,9.96,44.94,0.24
2026-04-14,12,▲+4,Clean Energy,6.56,38.24,0.22
2026-04-14,13,▼-11,Energy,8.04,19.51,0.21
2026-04-14,14,▼-2,Mortgage REITs,2.87,19.86,0.17
2026-04-14,15,▼-4,Pharmaceutical,4.43,18.28,0.16
2026-04-14,16,▼-1,Leisure & Entertainment,1.14,59.56,0.05
2026-04-14,17,▲+5,Silver Miners,11.94,64.53,0.04
2026-04-14,18,▲+5,Telecom,2.39,20.39,0.02
2026-04-14,19,▼-6,Industrials,3.4,25.14,-0.01
2026-04-14,20,─,Uranium,3.87,55.09,-0.23
2026-04-14,21,▼-2,Healthcare,1.85,19.1,-0.24
2026-04-14,22,▼-1,Nuclear Energy,1.21,39.24,-0.28
2026-04-14,23,▼-9,Consumer Staples,2.55,19.97,-0.37
2026-04-14,24,▲+1,Cloud Computing,-3.11,35.11,-0.67
2026-04-14,25,▼-1,Cryptocurrency,-9.69,47.85,-0.78
2026-04-14,26,▲+3,Consumer Discretionary,-9.47,43.91,-0.82
2026-04-14,27,▼-1,Internet,-6.42,27.17,-1.08
2026-04-14,28,─,Medical Devices,-3.83,20.35,-1.2
2026-04-14,29,▼-2,Software,-11.75,35.93,-1.63
