티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
124500.KQ,아이티센글로벌,33400.0,33950.0,2026-01-12,2026-02-11,380.58,Rect Bottom,,0.0,30213.000000000004,55950.0
298040.KS,효성중공업,2244000.0,2012000.0,2026-01-12,2026-02-11,368.97,Triple Bottom,,0.0,1700190.0,3148500.0
126340.KQ,비나텍,87300.0,77669.90625,2026-01-02,2026-02-01,265.52,Rect Bottom,,0.0,66015.0,122250.0
353200.KS,대덕전자,50000.0,49500.0,2026-01-15,2026-02-14,246.98,Triple Bottom,,0.0,40500.0,75000.0
034020.KS,두산에너빌리티,88800.0,79700.0,2026-01-05,2026-02-04,242.2,Triple Bottom,,0.0,69660.0,129000.0
097230.KS,HJ중공업,26500.0,24200.0,2026-01-08,2026-02-07,238.44,Triple Bottom,,0.0,20574.0,38100.0
267250.KS,HD현대,236000.0,226500.0,2026-01-12,2026-02-11,233.96,Rect Bottom,,0.0,183870.0,340500.0
000155.KS,두산우,507000.0,504000.0,2026-01-14,2026-02-13,231.81,Triple Bottom,,0.0,423630.0,784500.0
054540.KQ,삼영엠텍,15750.0,15900.0,2026-01-09,2026-02-08,212.5,Triple Bottom,,0.0,13381.2,24780.0
00680K.KS,미래에셋증권2우B,12500.0,11100.0,2025-12-23,2026-01-22,200.48,Rect Bottom,,0.0,9468.900000000001,17535.0
004800.KS,효성,147700.0,140700.0,2026-01-15,2026-02-14,195.4,Triple Bottom,,0.0,119637.00000000001,221550.0
010120.KS,LS ELECTRIC,528000.0,518000.0,2026-01-14,2026-02-13,194.31,Rect Bottom,,0.0,434160.0,804000.0
039490.KS,키움증권,323500.0,300460.65625,2026-01-02,2026-02-01,184.41,Rect Bottom,,0.0,240570.00000000003,445500.0
071970.KS,HD현대마린엔진,94600.0,90200.0,2025-12-23,2026-01-22,178.65,Triple Bottom,,0.0,78084.0,144600.0
267260.KS,HD현대일렉트릭,902000.0,868000.0,2026-01-12,2026-02-11,174.0,Rect Bottom,,0.0,725760.0,1344000.0
105840.KS,우진,20800.0,19410.0,2026-01-12,2026-02-11,170.79,Rect Bottom,,0.0,16524.0,30600.0
226950.KQ,올릭스,137650.0,141300.0,2026-01-05,2026-02-04,170.43,Rect Bottom,,0.0,118503.00000000001,219450.0
039030.KQ,이오테크닉스,299500.0,300920.1875,2026-01-05,2026-02-04,159.13,Rect Bottom,,0.0,250695.00000000003,464250.0
071050.KS,한국금융지주,177500.0,174800.0,2026-01-15,2026-02-14,150.35,Triple Bottom,,0.0,143775.0,266250.0
103590.KS,일진전기,61900.0,60400.0,2026-01-05,2026-02-04,149.6,Triple Bottom,,0.0,51435.0,95250.0
089970.KQ,브이엠,26600.0,29950.0,2025-12-30,2026-01-29,148.37,Rect Bottom,,0.0,24624.0,45600.0
028260.KS,삼성물산,284000.0,255000.0,2026-01-06,2026-02-05,148.25,Rect Bottom,,0.0,210600.0,390000.0
336260.KS,두산퓨얼셀,35300.0,31450.0,2026-01-13,2026-02-12,146.68,Triple Bottom,,0.0,27135.0,50250.0
218410.KQ,RFHIC,35525.0,36640.4609375,2026-01-06,2026-02-05,141.9,Triple Bottom,,0.0,30780.000000000004,57000.0
034730.KS,SK,300000.0,279500.0,2026-01-06,2026-02-05,141.55,Rect Bottom,,0.0,230850.00000000003,427500.0
071055.KS,한국금융지주우,133800.0,131200.0,2026-01-05,2026-02-04,141.08,Triple Bottom,,0.0,106677.0,197550.0
095610.KQ,테스,49150.0,49234.61328125,2026-01-02,2026-02-01,140.35,Triple Bottom,,0.0,45846.0,84900.0
064260.KQ,다날,6890.0,7544.444444444467,2025-12-23,2026-01-22,140.07,Inv H&S,,0.0,6083.1,11265.0
075580.KS,세진중공업,20350.0,18690.0,2026-01-07,2026-02-06,139.98,Triple Bottom,,0.0,15333.300000000001,28395.0
006730.KQ,서부T&D,13500.0,13100.0,2026-01-14,2026-02-13,136.65,Triple Bottom,,0.0,10959.300000000001,20295.0
