티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
084370.KS,유진테크,144900.0,137700.0,2026-03-05,2026-05-31,322.45,Rect Bottom,,0.0,116258.1842812789,208711.2241413982
226950.KS,올릭스,196300.0,179542.85714285716,2026-02-27,2026-05-25,320.79,Inv H&S,,0.0,146907.33983369335,263733.78288674954
086520.KS,에코프로,160800.0,175800.0,2026-02-26,2026-05-24,262.98,Rect Bottom,,0.0,144821.2716547332,259988.79197738008
397030.KS,에이프릴바이오,63200.0,67155.0,2026-02-19,2026-05-17,261.14,Inv H&S,,0.0,55441.273525440796,99530.33532208845
005930.KS,삼성전자,191600.0,169100.0,2026-02-12,2026-05-10,225.38,Rect Bottom,,0.0,144018.93773974854,258548.41085839184
080220.KS,제주반도체,44750.0,47300.0,2026-02-26,2026-05-24,224.51,Rect Bottom,,0.0,38552.144615013465,69210.31276738567
095610.KS,테스,71900.0,73800.0,2026-02-26,2026-05-24,206.74,Rect Bottom,,0.0,58650.60918537948,105291.85979804146
356860.KS,티엘비,55400.0,62600.0,2026-02-24,2026-05-22,206.42,Rect Bottom,,0.0,52873.804997489846,94921.11574132602
357780.KS,솔브레인,475500.0,429000.0,2026-02-26,2026-05-24,185.41,Rect Bottom,,0.0,341393.08082597767,612882.1661295027
005380.KS,현대차,548000.0,525692.3125,2026-02-25,2026-05-23,184.18,Rect Bottom,,0.0,460539.66720120143,826778.7622992586
007660.KS,이수페타시스,115600.0,125400.0,2026-02-27,2026-05-25,180.58,Rect Bottom,,0.0,100692.90633057627,180767.83043302604
012860.KS,모베이스전자,4060.0,3791.0,2026-02-27,2026-05-25,173.58,Inv H&S,,0.0,3855.2144615013462,6921.031276738567
005935.KS,삼성전자우,128600.0,120600.0,2026-02-12,2026-05-10,167.6,Rect Bottom,,0.0,97884.73762812992,175726.49651656716
166090.KS,하나머티리얼즈,66100.0,64000.0,2026-03-05,2026-05-31,161.55,Rect Bottom,,0.0,53034.27178048678,95209.19196512368
241770.KS,메카로,29450.0,26600.0,2026-02-25,2026-05-23,149.79,Rect Bottom,,0.0,21943.832574830765,39394.42360432878
200710.KS,에이디테크놀로지,40000.0,40150.0,2026-02-19,2026-05-17,142.42,Rect Bottom,,0.0,33778.25782085467,60640.04510940555
101490.KS,에스앤에스텍,92400.0,93700.0,2026-02-20,2026-05-18,140.98,Rect Bottom,,0.0,76462.42209803918,137268.32063958075
006405.KS,삼성SDI우,235500.0,212000.0,2026-02-19,2026-05-17,130.66,Rect Bottom,,0.0,171298.29084922734,307521.3689039925
006400.KS,삼성SDI,392500.0,396500.0,2026-02-19,2026-05-17,129.8,Rect Bottom,,0.0,322538.23382383795,579033.2098332787
004800.KS,효성,146100.0,157800.0,2026-02-13,2026-05-11,129.48,Rect Bottom,,0.0,132625.7961469662,238094.99896875862
036540.KS,SFA반도체,7060.0,7470.0,2026-02-26,2026-05-24,124.84,Rect Bottom,,0.0,6322.391250079211,11350.203217627452
083650.KS,비에이치아이,80800.0,79000.0,2026-02-19,2026-05-17,114.32,Rect Bottom,,0.0,65791.38102874305,118111.25175703694
027360.KS,아주IB투자,5300.0,5110.0,2026-02-27,2026-05-25,112.5,Rect Bottom,,0.0,4541.2099588132405,8152.557133473525
047810.KS,한국항공우주,179000.0,171200.0,2026-02-13,2026-05-11,111.33,Rect Bottom,,0.0,143778.23756525313,258116.29652269537
336260.KS,두산퓨얼셀,38050.0,36900.0,2026-02-25,2026-05-23,110.57,Rect Bottom,,0.0,34339.89156134394,61648.31189269733
009420.KS,한올바이오파마,56100.0,53800.0,2026-02-10,2026-05-08,109.72,Rect Bottom,,0.0,44048.13193265846,79076.92343245522
062040.KS,산일전기,143500.0,150400.0,2026-02-09,2026-05-07,107.67,Triple Bottom,,0.0,127972.25944005509,229740.78847862672
011210.KS,현대위아,91000.0,93700.0,2026-02-27,2026-05-25,107.53,Rect Bottom,,0.0,89059.06456329853,159882.30420769635
005850.KS,에스엘,66000.0,58200.0,2026-02-20,2026-05-18,105.29,Rect Bottom,,0.0,50547.0366440343,90744.01049626009
168360.KS,펨트론,22500.0,22850.0,2026-02-24,2026-05-22,102.34,Rect Bottom,,0.0,19296.13065538135,34641.165911667544
