date,open,high,low,close,volume,change,ticker,name,shares_outstanding,market_cap,per,pbr,foreign_net_buy,inst_net_buy,retail_net_buy,stagnant_days,stagnation_level,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,high_52w_dist,low_52w_dist,drawdown_20d,mom_quality_20d,up_down_ratio_20d,streak_up,streak_down,ret_rank_20d,ret_rank_60d,acceleration,vol_20d,vol_60d,vol_ratio,atr_20d,range_20d,vol_of_vol,downside_vol_20d,upside_vol_20d,vol_skew,gap_vol_20d,value_traded,volume_ratio_5d,volume_ratio_20d,volume_trend,value_ratio_20d,turnover_20d,volume_price_corr_20d,obv_slope_20d,volume_ma_cross,illiquidity_20d,zero_volume_days_20d,ma_dist_5d,ma_dist_20d,ma_dist_60d,ma_dist_120d,ma_slope_20d,ma_cross_5_20,ma_cross_20_60,bb_position_20d,rsi_14d,macd_signal,body_ratio,upper_shadow,lower_shadow,gap_up,gap_filled,candle_type,consecutive_candle,inside_bar,outside_bar,avg_candle_size_10d,limit_up_days_20d,limit_down_days_20d,big_drop_count_60d,price_stagnant_days,suspension_risk_score,market_ret_20d,market_vol_20d,market_trend,rel_ret_20d,rel_vol_20d,beta_60d,alpha_60d,corr_market_60d,market_breadth,sector_momentum,mom_12_1,reversal_5d,reversal_10d,log_liquidity,turnover_ratio,turnover_spike,rebound_from_low,drop_from_high,reversal_candidate,per_feat,pbr_feat,foreign_net_buy_ratio_1d,foreign_net_buy_ratio_5d,foreign_net_buy_ratio_20d,foreign_net_buy_ratio_60d,foreign_net_buy_turnaround,inst_net_buy_ratio_1d,inst_net_buy_ratio_5d,inst_net_buy_ratio_20d,inst_net_buy_ratio_60d,inst_net_buy_turnaround,retail_net_buy_ratio_1d,retail_net_buy_ratio_5d,retail_net_buy_ratio_20d,retail_net_buy_ratio_60d,retail_net_buy_turnaround,smart_net_buy_ratio_1d,smart_net_buy_ratio_5d,smart_net_buy_ratio_20d,smart_net_buy_ratio_60d,smart_empty_house_20d,smart_empty_house_60d,smart_turnaround,momentum_with_empty_house,momentum_with_smart_turnaround,ensemble_score,market_cap_bn
2026-04-02,17890.0,17890.0,15800.0,15990.0,124575,-4.707986,270660,에브리봇,12371090.0,197813729100.0,,,,,,0,0,-0.046511627906976716,-0.1338028169014085,-0.048214285714285765,-0.3092872570194385,0.0,-0.4309608540925267,0.032945736434108586,-0.16238868517548455,0.55,1.2222222222222223,0.0,1.0,0.4886858137510879,0.03524804177545692,0.04503766786767116,0.050456582449730704,0.05162479425872304,0.9773711096428255,0.07004377736085053,0.27579493835171964,0.0030082378458591275,0.024508460822785794,0.03560249923511,1.4526615723664682,0.039300405048566404,1991954250.0,2.416323347997114,2.051637192480871,0.8490739429313008,1.840019999038124,0.0981640259669924,0.22187875461132875,10994.5,0,4.360711388009584e-11,0.0,-0.015272816849365656,-0.09625275532696542,-0.2690341406922614,-0.25665544675642593,-0.07152602854743913,0,0,0.11375861606009098,34.61538461538461,-11.039542116486473,0.9090909090909091,0.0,0.09090909090909091,0.06615017878426688,1,-1,-1.0,0,1,0.053908692933083174,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.1548515975618221,1.8993595905847886,1.8367899167164234,-0.007776826337355918,0.7676838409990059,0.48906650240959637,0.10663731184753633,0.0,0.046511627906976716,0.1338028169014085,20.802605589297045,2.051637192480871,1.0,0.032945736434108586,-0.4309608540925267,0.0,698.52,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.021586449988032594,1978.0
2026-04-02,16470.0,16820.0,15100.0,15390.0,198502,-5.756277,204270,제이앤티씨,57848466.0,890287891740.0,,,,,,0,0,-0.08934911242603549,-0.14166201896263242,-0.038124999999999964,-0.22351160443995965,0.0,-0.3940944881889764,0.01383399209486158,-0.2021772939346812,0.45,0.8181818181818182,0.0,1.0,0.5274151436031331,0.09442993907745866,-0.031903490563235715,0.056757952495966234,0.05560371414576953,1.0207582958787749,0.0822287199480182,0.3249001331557923,0.0054618894249536965,0.018232120683444198,0.05158960341164416,2.8295997107177144,0.03846229560821584,3054945780.0,1.18117704743226,0.974169075277482,0.8247443322702646,0.8452322754741012,0.07044800461951749,0.32649686082532525,-19410.05,0,1.1935290989501909e-11,0.0,-0.04052369077306728,-0.1249466950959488,-0.232476373338653,-0.2324092605102498,-0.06511627906976744,0,0,0.034160021722899565,32.96969696969697,-130.63135465668665,0.627906976744186,0.20348837209302326,0.1686046511627907,0.008573178199632547,1,-1,-1.0,0,1,0.06426250812215724,0.0,0.0,2.0,0,2.0,0.10663731184753633,0.026565049977816873,1,-0.1447623118475363,2.136564867875721,2.1019072087486443,-0.006084006217718034,0.8156258547361963,0.48906650240959637,0.10663731184753633,0.0,0.08934911242603549,0.14166201896263242,22.008171488915263,0.974169075277482,0.0,0.01383399209486158,-0.3940944881889764,1.0,0.0,3.17,0.0,0.00011659086739691454,-0.0007126349329920049,0.003707786102705412,5.894992012898315e-05,0.0,-9.62045985835864e-05,-0.005751888175508448,-0.001563957805015554,0.00026835348905870514,0.0,-5.200646810385051e-06,0.00601420130615258,-0.0026402648589847998,-0.000301750194669706,,2.0386268813328135e-05,-0.006464523108500453,0.002143828297689857,0.006464523108500453,-0.002143828297689857,0.00032730340918768827,0.0,0.0,0.020564980976129785,8903.0
2026-04-02,5010.0,5080.0,4565.0,4645.0,95531,-7.1,223250,드림씨아이에스,23799324.0,110547859980.0,,,,,,0,0,-0.051072522982635316,-0.06726907630522083,-0.031282586027111536,-0.2719435736677116,0.0,-0.39596879063719115,0.0,-0.15082266910420472,0.4,0.8,0.0,1.0,0.5461270670147955,0.057876414273281114,-0.03400424989026585,0.04998733759919819,0.04921019818068899,1.0157922432186866,0.06803013993541443,0.2267250821467689,0.00285985600271358,0.025066927073240926,0.04306632722817112,1.7180537168492682,0.022127278653627187,443741495.0,1.2011582700886683,0.9654018280090931,0.8037257470972814,0.8820193414756738,0.08315753002060058,0.4688089023038625,-8591.25,0,6.852694063467481e-11,0.0,-0.03329864724245579,-0.07933204499281499,-0.1932962834317471,-0.20294750103173387,-0.049992938850444854,0,0,0.055439223104943335,37.468982630272954,-0.9921546777357548,0.7087378640776699,0.13592233009708737,0.1553398058252427,0.0020000000000000018,1,-1,-1.0,0,1,0.061571582346609255,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.13791989787464787,1.8816955978227063,1.7096173550472444,-0.0068380533928581585,0.7495921853985318,0.48906650240959637,0.10663731184753633,0.0,0.051072522982635316,0.06726907630522083,20.036294028465775,0.9654018280090931,0.0,0.0,-0.29833836858006046,1.0,24.01,1.87,0.0,1.3680976313762751e-05,0.0029040830882228743,0.005756895301575124,-0.00014246795914839115,0.0,0.0,-0.00013937935565986318,-0.001066639811427653,6.968967782993159e-06,0.0,-5.322714292728333e-05,-0.0027291190261411625,-0.005881272375078135,0.00012581052272160145,,1.3680976313762751e-05,0.0027647037325630184,0.004690255490147472,-0.0027647037325630184,-0.004690255490147472,-0.00013549899136539837,0.0,0.0,0.019939221612955346,1105.0
2026-04-02,3100.0,3140.0,2870.0,2885.0,383461,-6.634304,217820,원익피앤이,47454559.0,136906402715.0,,,,,,0,0,-0.0556464811783961,-0.08267090620031792,-0.046280991735537236,-0.20741758241758246,0.0,-0.34207525655644244,0.0,-0.17335243553008595,0.55,1.2222222222222223,0.0,1.0,0.4978241949521323,0.10966057441253264,-0.02702962903213224,0.04802344526042167,0.04505479924718226,1.0658896735274004,0.06750433275563258,0.21951219512195122,0.0025616627397257374,0.026050430348446195,0.033138338597458836,1.2720841135522893,0.022829562577786,1106284985.0,1.91548337531008,1.8992309684883804,0.9915152451693461,1.7199325827182461,0.08509332053849662,-0.037796469694079946,1015.9,0,5.686965689601445e-11,0.0,-0.03865378207264247,-0.09497294329856487,-0.2276631344116007,-0.2267383670630545,-0.05673916259801746,0,0,0.03111535453220449,33.82352941176471,-1.0944131380502142,0.7962962962962963,0.14814814814814814,0.05555555555555555,0.003236245954692629,1,-1,-1.0,0,0,0.05684575389948007,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.15291830358307357,1.8077679244166156,1.8109645419672715,-0.005779758756325547,0.8672616343350957,0.48906650240959637,0.10663731184753633,0.0,0.0556464811783961,0.08267090620031792,20.281988286236675,1.8992309684883804,0.0,0.0,-0.34207525655644244,1.0,0.0,1.87,0.0,0.00014883609097197364,-0.004556570604685046,0.013441821677097829,0.000257595748428647,0.0,0.00016519122371581632,-0.00048529027103821746,0.00018099732502101207,5.730275829507414e-05,0.0,-0.0003007501501015155,0.005107567847186568,-0.013754259944332325,-0.0003155284223796315,,0.00031402731468778997,-0.005041860875723264,0.01362281900211884,0.005041860875723264,-0.01362281900211884,0.00031489850672372123,0.0,0.0,0.01976419629886271,1369.0
2026-04-02,409000.0,414000.0,373500.0,381500.0,1814,-4.862843,000157,두산2우B,893038.0,340693997000.0,,,,,,0,0,-0.19259259259259254,-0.17780172413793105,-0.1319681456200228,-0.128,0.0,-0.3271604938271605,0.001312335958005173,-0.3271604938271605,0.6,1.5,0.0,1.0,0.2362924281984334,0.23237597911227154,-0.21091155810983386,0.07820824700974756,0.05068249948400734,1.5431016190199116,0.11865880297072959,0.6278447121820616,0.018170956205347123,0.054108772017859706,0.04275388299514442,0.7901469835802709,0.05279685198839758,692041000.0,1.0752815649081209,0.6253231755662035,0.5815436588644903,0.490805460497182,0.06496700028442239,0.5914153620630667,1313.1,0,6.00149324661581e-11,0.0,-0.056860321384425205,-0.17316861725184218,-0.13591664936486658,-0.1422009507901838,-0.010879468353073584,0,1,0.08489970375662083,36.156351791530945,-11602.176091574787,0.6790123456790124,0.12345679012345678,0.19753086419753085,0.01995012468827939,1,-1,-1.0,0,0,0.07974920311311748,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.23860545746755912,2.9440278514459903,1.8844666233562894,-0.0033061886253752046,0.7779777135375169,0.48906650240959637,0.10663731184753633,0.0,0.19259259259259254,0.17780172413793105,21.066863201590838,0.6253231755662035,0.0,0.001312335958005173,-0.3271604938271605,1.0,0.0,0.0,0.0,-0.0005600324578297766,0.004030062164611004,0.005991957890300897,-0.0003135095997965055,0.0,0.0006765397672000997,0.004244478636491685,0.008528881439789032,-7.691597838456433e-05,0.0,-0.00011763949688586113,-0.008034319213486999,-0.014274393516779338,0.00037818806129717773,,0.00011650730937032303,0.008274540801102688,0.014520839330089928,-0.008274540801102688,-0.014520839330089928,-0.0003904255781810698,0.0,0.0,0.019738024271870866,3407.0
2026-04-02,14190.0,14260.0,12800.0,13200.0,62051,-5.579399,049950,미래컴퍼니,8817884.0,116396068800.0,,,,,,0,0,-0.06581740976645434,-0.13894324853228968,-0.23433874709976799,-0.23121723937099592,0.0,-0.383177570093458,0.010719754977029039,-0.1931540342298288,0.4,0.6666666666666666,0.0,1.0,0.058311575282854654,0.08746736292428199,0.012460476730610237,0.06409135195582366,0.04811954010657874,1.3319194616962124,0.07897727272727273,0.37109375,0.006213725538037048,0.04097030789757625,0.045541476796545834,1.1115727250670726,0.029916452504456785,819073200.0,1.1784445921564903,1.0557388819556632,0.8958748582516872,0.9481901094490525,0.13330851256378515,0.016592047810642593,-17049.15,0,5.486460378982802e-11,0.0,-0.03026741110784603,-0.10136837088978146,-0.19027512242999256,-0.2142553438212671,-0.05872929415911057,0,0,0.11225929050518346,31.496062992125985,-92.83201542086056,0.678082191780822,0.04794520547945205,0.273972602739726,0.015021459227467782,1,-1,-1.0,0,1,0.05287878787878788,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.3409760589473043,2.4126192877236483,1.8718018104564633,-0.005709143150316106,0.8357876891931572,0.48906650240959637,0.10663731184753633,0.0,0.06581740976645434,0.13894324853228968,20.57688427570898,1.0557388819556632,0.0,0.010719754977029039,-0.3052631578947368,1.0,0.0,0.98,0.0,-0.0003965754245181223,-0.004260712525621428,0.00033776436234273747,0.00013372054137744696,0.0,1.0352705007387234e-07,-3.979062555468819e-05,-0.020003925855377826,2.010236687749184e-06,0.0,0.0003964718974680484,0.004075340389147408,0.029990121857602445,-0.00012447263996376073,,-0.0003964718974680484,-0.004300503151176113,-0.01966616149303509,0.004300503151176113,0.01966616149303509,0.000135730778065196,0.0,0.0,0.019735625184918656,1164.0
2026-04-02,6890.0,7010.0,6360.0,6390.0,183152,-7.65896,214420,토니모리,24054799.0,153710165610.0,,,,,,0,0,-0.11002785515320335,-0.010835913312693513,-0.29780219780219785,-0.25,0.0,-0.3391933815925543,0.022399999999999975,-0.293141592920354,0.35,0.5833333333333334,0.0,1.0,0.020017406440382943,0.07136640557006092,-0.22148296351233643,0.05527897962574175,0.04263332613940737,1.2966142835063856,0.07128325508607199,0.5170731707317073,0.011092391135453938,0.04059811922187738,0.029246741466019747,0.7203964623627037,0.03482263725657789,1170341280.0,1.4504194014343277,0.7649556808772565,0.5274030946640591,0.6631669042517272,0.1990690090571948,0.22390067606911004,-111931.05,0,2.8891536262820395e-11,0.0,-0.04939006248140432,-0.11953151911815363,-0.228478287117157,-0.23523936170212756,-0.08335964635301547,0,0,0.2453336681430277,40.732265446224254,-13.720077932318532,0.7692307692307693,0.18461538461538463,0.046153846153846156,-0.00433526011560692,1,-1,-1.0,0,1,0.048826291079812206,0.0,0.0,2.0,0,2.0,0.10663731184753633,0.026565049977816873,1,-0.4044395096497342,2.0808912338543473,1.6223897408497419,-0.0066556321028671955,0.7995539602495343,0.48906650240959637,0.10663731184753633,0.0,0.11002785515320335,0.010835913312693513,21.29128981562136,0.7649556808772565,0.0,0.022399999999999975,-0.3391933815925543,1.0,10.12,1.51,0.0,0.0,-0.0026117288747716317,0.0024397446282695516,0.0,0.0,0.0,-0.017892263616607115,-0.01590518857349364,0.0,0.0,0.0,0.018289171527076983,0.011590626786818407,0.0,,,-0.02050399249137875,-0.013465443945224092,0.02050399249137875,0.013465443945224092,0.0,0.0,0.0,0.019668845631028428,1537.0
2026-04-02,20100.0,20300.0,18280.0,18520.0,131735,-7.630923,220100,퓨쳐켐,22427420.0,415355818400.0,,,,,,0,0,-0.09878345498783458,-0.11809523809523814,0.00108108108108107,-0.39967585089141,0.0,-0.4584795321637427,0.00108108108108107,-0.15433789954337895,0.45,0.9,0.0,1.0,0.6362053959965187,0.016536118363794605,-0.07735488355926312,0.04908962946893865,0.04160881981117715,1.179789037317323,0.07119330453563714,0.2335886214442013,0.0032901316280130907,0.023966241070690314,0.036266499254468454,1.5132326820671445,0.02869469401773798,2439732200.0,1.5177892481047077,1.0510338004683317,0.6924767728989896,0.9569215694136795,0.11177255341898444,0.36324954317463476,13806.8,0,1.7547780879101552e-11,0.0,-0.03662089055347484,-0.08223692361059487,-0.20372055693698987,-0.26173812563389665,-0.035558104523621764,0,0,0.07464281652355892,43.469971401334604,-23.21642681916876,0.7821782178217822,0.09900990099009901,0.1188118811881188,0.0024937655860348684,1,-1,-1.0,0,1,0.05799136069114471,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.10555623076645526,1.8479027711196068,1.5280357989895321,-0.010071761483620696,0.7923724695509102,0.48906650240959637,0.10663731184753633,0.0,0.09878345498783458,0.11809523809523814,21.659187962045266,1.0510338004683317,0.0,0.00108108108108107,-0.3668376068376068,1.0,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.01960405351951243,4154.0
2026-04-02,16550.0,16890.0,15410.0,15610.0,42785,-5.679758,338220,뷰노,14001823.0,218568457030.0,,,,,,0,0,-0.07523696682464454,-0.07959905660377353,0.02562417871222067,-0.30156599552572705,0.0,-0.4323636363636364,0.02562417871222067,-0.13756906077348063,0.5,1.0,0.0,1.0,0.6971279373368147,0.04003481288076589,-0.07051998569256901,0.050177890192919364,0.04251421015012853,1.180261611722961,0.05951313260730301,0.17992177314211213,0.002306211345086892,0.01967642173746725,0.03921423871033869,1.992955794176139,0.033246096391613196,667873850.0,0.891187069091212,0.7782416123252662,0.8732640309950616,0.720568631590643,0.07852763172338345,0.17614992567892357,2282.4,0,4.4602315048788914e-11,0.0,-0.02959094865100087,-0.07116506009758417,-0.19047865995954982,-0.2353400755241113,-0.03026456247655867,0,0,0.049215735254927825,40.167865707434046,6.201753619416081,0.6351351351351351,0.22972972972972974,0.13513513513513514,0.0,0,-1,-1.0,0,1,0.040230621396540676,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.08101313313531566,1.8888686539201085,1.6465108444323557,-0.0077323635849387345,0.8356255818043454,0.48906650240959637,0.10663731184753633,0.0,0.07523696682464454,0.07959905660377353,20.647324480015595,0.7782416123252662,0.0,0.02562417871222067,-0.3371549893842888,1.0,0.0,7.71,0.0,6.551057948986149e-05,0.0007700626198885768,0.003729151565638484,-2.540101509645654e-05,0.0,3.422944805175179e-06,-0.0005268738381598035,-0.010323171998371393,2.7028280869025208e-05,0.0,-6.893352429503667e-05,-1.7860710494510632e-05,0.006162632342453132,-1.28936693342818e-05,,6.893352429503667e-05,0.00024318878172877468,-0.006594020432732907,-0.00024318878172877468,0.006594020432732907,1.6272657725685984e-06,0.0,4.16973489685776e-08,0.019404433838869348,2186.0
2026-04-02,99100.0,99300.0,92700.0,94300.0,252293,-4.747475,326030,SK바이오팜,78313250.0,7384939475000.0,,,,,,0,0,-0.04361054766734285,-0.03873598369011211,-0.15652951699463324,-0.2689922480620155,0.0,-0.3081438004402054,0.0,-0.21285475792988318,0.4,0.7272727272727273,0.0,1.0,0.18450826805918188,0.05961705831157528,-0.04870738762656812,0.045974879465230704,0.030382443864347738,1.5132054442526233,0.0591728525980912,0.2923408845738943,0.0089188460310508,0.03465552939443659,0.02875302622572409,0.8296807674892983,0.03203247023065131,23791229900.0,0.8450826415276356,0.9140136710966585,1.081567205598281,0.8180284313701528,0.07049320517281558,0.3001661465527789,-1480.45,1,1.158739270161239e-12,0.0,-0.029435981885549634,-0.0956171477893929,-0.17464114832535882,-0.19757011333955776,-0.033194251274918866,0,0,0.22281789473594418,34.44227005870842,-285.0694391363877,0.7272727272727273,0.030303030303030304,0.24242424242424243,0.0010101010101009056,1,-1,-1.0,0,0,0.04209968186638388,0.0,0.0,1.0,0,1.0,0.10663731184753633,0.026565049977816873,1,-0.2631668288421696,1.7306528504038952,1.2245084791051588,-0.0068398565210921365,0.8468000916700646,0.48906650240959637,0.10663731184753633,0.0,0.04361054766734285,0.03873598369011211,24.093441043959054,0.9140136710966585,0.0,0.0,-0.2689922480620155,1.0,32.11,14.15,0.0,0.0,0.0016068169144265398,0.0036991261610384144,0.0,0.0,0.0,-0.005046017554857655,-0.020662476965594145,0.0,0.0,0.0,0.003466970053167634,0.01691205034770414,0.0,,,-0.0034392006404311156,-0.016963350804555733,0.0034392006404311156,0.016963350804555733,0.0,0.0,0.0,0.019357811830784097,73849.0
