티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,292500.0,286541.66666666605,2026-01-29,2026-03-30,635.85,Inv H&S,,0.0,275280.0,370000.0
353200.KS,대덕전자,56800.0,52900.0,2026-01-28,2026-03-29,285.35,Rect Bottom,,0.0,52545.0,70625.0
195870.KS,해성디에스,60400.0,58500.0,2026-01-26,2026-03-27,221.28,Rect Bottom,,0.0,53754.0,72250.0
267250.KS,HD현대,244000.0,244833.33333333302,2026-01-19,2026-03-20,200.03,Inv H&S,,0.0,236219.99999999997,317500.0
078350.KQ,한양디지텍,27500.0,25750.0,2026-01-27,2026-03-28,196.02,Triple Bottom,,0.0,24924.0,33500.0
002020.KS,코오롱,63200.0,55700.0,2026-01-29,2026-03-30,164.99,Rect Bottom,,0.0,53847.0,72375.0
267260.KS,HD현대일렉트릭,962000.0,922000.0,2026-02-04,2026-04-05,156.52,Rect Bottom,,0.0,831420.0,1117500.0
028260.KS,삼성물산,314500.0,316500.0,2026-02-10,2026-04-11,155.79,Rect Bottom,,0.0,296670.0,398750.0
034020.KS,두산에너빌리티,94900.0,95400.0,2026-02-04,2026-04-05,155.11,Rect Bottom,,0.0,87420.0,117500.0
089970.KQ,브이엠,32650.0,29950.0,2026-01-29,2026-03-30,155.08,Rect Bottom,,0.0,27156.0,36500.0
102940.KQ,코오롱생명과학,63800.0,61200.0,2026-01-27,2026-03-28,151.18,Rect Bottom,,0.0,55613.99999999999,74750.0
001440.KS,대한전선,30800.0,27100.0,2026-01-20,2026-03-21,149.39,Rect Bottom,,0.0,25900.5,34812.5
000720.KS,현대건설,113400.0,109200.0,2026-02-11,2026-04-12,142.57,Triple Bottom,,0.0,105462.0,141750.0
277810.KQ,레인보우로보틱스,656000.0,571000.0,2026-01-26,2026-03-27,142.51,Inv H&S,,0.0,604500.0,812500.0
033640.KQ,네패스,18120.0,17950.0,2026-01-29,2026-03-30,140.64,Triple Bottom,,0.0,17763.0,23875.0
034730.KS,SK,328500.0,301500.0,2026-01-28,2026-03-29,137.56,Rect Bottom,,0.0,298530.0,401250.0
032830.KS,삼성생명,199800.0,197500.0,2026-02-10,2026-04-11,134.17,Rect Bottom,,0.0,186465.0,250625.0
006400.KS,삼성SDI,377000.0,337500.0,2026-01-22,2026-03-23,133.44,Rect Bottom,,0.0,373860.0,502500.0
014680.KS,한솔케미칼,285000.0,252000.0,2026-01-20,2026-03-21,128.0,Triple Bottom,,0.0,239009.99999999997,321250.0
032350.KS,롯데관광개발,26150.0,23600.0,2026-01-22,2026-03-23,123.7,Rect Bottom,,0.0,21855.0,29375.0
042700.KS,한미반도체,190300.0,186500.0,2026-01-29,2026-03-30,122.83,Rect Bottom,,0.0,185907.0,249875.0
071055.KS,한국금융지주우,159000.0,138500.0,2026-01-23,2026-03-24,122.38,Rect Bottom,,0.0,133362.0,179250.0
103590.KS,일진전기,68700.0,63500.0,2026-01-28,2026-03-29,122.33,Rect Bottom,,0.0,61379.99999999999,82500.0
115310.KQ,인포바인,78000.0,74788.890625,2026-01-20,2026-03-21,116.54,Triple Bottom,,0.0,67890.0,91250.0
054210.KQ,이랜텍,10740.0,9561.2646484375,2026-01-19,2026-03-20,111.71,Rect Bottom,,0.0,9467.4,12725.0
009420.KS,한올바이오파마,53600.0,53800.0,2026-02-10,2026-04-11,109.78,Rect Bottom,,0.0,51057.0,68625.0
009970.KS,영원무역홀딩스,223000.0,194700.0,2026-01-23,2026-03-24,102.6,Triple Bottom,,0.0,177909.0,239125.0
02826K.KS,삼성물산우B,188100.0,190600.0,2026-02-04,2026-04-05,101.72,Rect Bottom,,0.0,176700.0,237500.0
104830.KQ,원익머트리얼즈,41000.0,38350.832741477294,2026-01-28,2026-03-29,99.86,Inv H&S,,0.0,37200.0,50000.0
093370.KS,후성,8080.0,7920.0,2026-01-26,2026-03-27,98.53,Triple Bottom,,0.0,7402.799999999999,9950.0
