티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,286000.0,286541.66666666605,2026-01-29,2026-03-30,626.81,Inv H&S,,0.0,275280.0,370000.0
174900.KQ,앱클론,64000.0,57600.0,2026-01-23,2026-03-24,437.82,Rect Bottom,,0.0,60263.99999999999,81000.0
353200.KS,대덕전자,57700.0,52900.0,2026-01-28,2026-03-29,289.08,Rect Bottom,,0.0,52545.0,70625.0
356860.KQ,티엘비,58100.0,61700.0,2026-02-03,2026-04-04,238.56,Triple Bottom,,0.0,57380.99999999999,77125.0
195870.KS,해성디에스,62100.0,58500.0,2026-01-26,2026-03-27,233.15,Rect Bottom,,0.0,53754.0,72250.0
267250.KS,HD현대,269000.0,244833.33333333302,2026-01-19,2026-03-20,223.7,Inv H&S,,0.0,236219.99999999997,317500.0
005930.KS,삼성전자,172700.0,169100.0,2026-02-12,2026-04-13,214.87,Rect Bottom,,0.0,160611.0,215875.0
078350.KQ,한양디지텍,26300.0,25750.0,2026-01-27,2026-03-28,188.06,Triple Bottom,,0.0,24924.0,33500.0
009150.KS,삼성전기,321500.0,307500.0,2026-02-11,2026-04-12,168.8,Triple Bottom,,0.0,293880.0,395000.0
267260.KS,HD현대일렉트릭,978000.0,922000.0,2026-02-04,2026-04-05,161.83,Rect Bottom,,0.0,831420.0,1117500.0
078160.KQ,메디포스트,22550.0,20100.0,2026-01-27,2026-03-28,154.51,Rect Bottom,,0.0,20692.5,27812.5
034730.KS,SK,345000.0,333500.0,2026-02-11,2026-04-12,149.67,Rect Bottom,,0.0,319455.0,429375.0
102940.KQ,코오롱생명과학,64100.0,61200.0,2026-01-27,2026-03-28,148.93,Rect Bottom,,0.0,55613.99999999999,74750.0
033640.KQ,네패스,18050.0,17950.0,2026-01-29,2026-03-30,137.5,Triple Bottom,,0.0,17763.0,23875.0
034020.KS,두산에너빌리티,92800.0,95400.0,2026-02-04,2026-04-05,137.34,Rect Bottom,,0.0,87420.0,117500.0
006400.KS,삼성SDI,378000.0,337500.0,2026-01-22,2026-03-23,133.62,Rect Bottom,,0.0,373860.0,502500.0
103590.KS,일진전기,72000.0,63500.0,2026-01-28,2026-03-29,133.01,Rect Bottom,,0.0,61379.99999999999,82500.0
032350.KS,롯데관광개발,25500.0,23600.0,2026-01-22,2026-03-23,132.66,Rect Bottom,,0.0,21855.0,29375.0
000720.KS,현대건설,113200.0,109200.0,2026-02-11,2026-04-12,131.26,Triple Bottom,,0.0,106671.0,143375.0
028260.KS,삼성물산,317500.0,316500.0,2026-02-10,2026-04-11,131.11,Rect Bottom,,0.0,296670.0,398750.0
032830.KS,삼성생명,203000.0,197500.0,2026-02-10,2026-04-11,129.34,Rect Bottom,,0.0,186465.0,250625.0
104830.KQ,원익머트리얼즈,44050.0,38350.832741477294,2026-01-28,2026-03-29,124.35,Inv H&S,,0.0,37200.0,50000.0
032500.KQ,케이엠더블유,18480.0,16400.0,2026-01-26,2026-03-27,121.05,Rect Bottom,,0.0,15809.999999999998,21250.0
054210.KQ,이랜텍,10880.0,9561.2646484375,2026-01-19,2026-03-20,114.47,Rect Bottom,,0.0,9467.4,12725.0
115310.KQ,인포바인,80500.0,74788.890625,2026-01-20,2026-03-21,108.17,Triple Bottom,,0.0,67890.0,91250.0
009420.KS,한올바이오파마,52600.0,53800.0,2026-02-10,2026-04-11,103.09,Rect Bottom,,0.0,51057.0,68625.0
093370.KS,후성,8080.0,7920.0,2026-01-26,2026-03-27,99.01,Triple Bottom,,0.0,7402.799999999999,9950.0
237690.KQ,에스티팜,149200.0,132100.0,2026-01-23,2026-03-24,97.35,Rect Bottom,,0.0,128618.99999999999,172875.0
183300.KQ,코미코,107900.0,102600.0,2026-01-26,2026-03-27,94.06,Rect Bottom,,0.0,98580.0,132500.0
015860.KS,일진홀딩스,7820.0,7550.0,2026-01-29,2026-03-30,86.19,Triple Bottom,,0.0,7049.4,9475.0
