date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-27,1,─,Silver Miners,65.97,44.28,2.11
2026-01-27,2,▲+1,Materials,40.21,29.13,1.96
2026-01-27,3,▼-1,Metals & Mining,40.72,36.19,1.44
2026-01-27,4,─,Uranium,33.72,48.12,0.76
2026-01-27,5,▲+3,Energy,11.44,17.76,0.6
2026-01-27,6,─,Pharmaceutical,12.12,14.75,0.52
2026-01-27,7,▼-2,Semiconductors,19.94,29.41,0.51
2026-01-27,8,▲+2,Consumer Staples,8.42,14.06,0.49
2026-01-27,9,▲+4,Clean Energy,19.39,30.48,0.48
2026-01-27,10,▼-3,Industrials,10.97,19.79,0.33
2026-01-27,11,▼-2,Biotechnology,16.6,25.74,0.28
2026-01-27,12,▲+2,Mortgage REITs,6.75,12.83,0.16
2026-01-27,13,▼-1,Nuclear Energy,13.27,33.61,0.06
2026-01-27,14,▼-3,Healthcare,8.46,16.42,-0.03
2026-01-27,15,▲+1,Utilities,4.71,13.88,-0.06
2026-01-27,16,▲+1,Electric Energy Infrastructure,6.53,19.47,-0.07
2026-01-27,17,▼-2,Banks,8.04,23.25,-0.17
2026-01-27,18,▲+5,Telecom,3.49,12.61,-0.46
2026-01-27,19,▼-1,Real Estate,1.92,11.87,-0.51
2026-01-27,20,▲+2,Technology,2.78,16.96,-0.6
2026-01-27,21,▲+3,Consumer Discretionary,3.21,38.86,-0.65
2026-01-27,22,▼-1,Financials,2.12,16.87,-0.77
2026-01-27,23,▲+2,Cryptocurrency,-0.96,42.67,-0.77
2026-01-27,24,▲+4,Cloud Computing,1.14,22.87,-0.82
2026-01-27,25,▼-6,Automotive,-7.8,80.63,-0.85
2026-01-27,26,▼-6,Medical Devices,1.67,18.44,-0.86
2026-01-27,27,─,Internet,-0.25,23.08,-0.96
2026-01-27,28,▼-2,Leisure & Entertainment,-2.91,36.61,-1.04
2026-01-27,29,─,Software,-7.08,20.06,-1.61
