date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-27,1,─,IT,32.64,26.44,1.28
2026-01-27,2,▲+11,금,27.91,22.06,1.17
2026-01-27,3,▲+1,AI,25.14,25.83,0.9
2026-01-27,4,▼-2,로봇,49.46,47.86,0.84
2026-01-27,5,▲+1,건설,24.32,30.77,0.7
2026-01-27,6,▲+3,금융,14.21,24.85,0.62
2026-01-27,7,▼-4,자동차,36.96,44.33,0.42
2026-01-27,8,▼-3,방산/우주항공,31.58,46.64,0.33
2026-01-27,9,▲+1,반도체,30.7,37.41,0.28
2026-01-27,10,▲+2,부동산/리츠,5.15,7.44,0.05
2026-01-27,11,▼-4,전력/인프라,26.95,34.89,0.04
2026-01-27,12,▼-1,원자력,22.97,35.72,-0.1
2026-01-27,13,▲+1,신재생에너지,16.11,32.8,-0.16
2026-01-27,14,▲+1,철강/금속,21.56,41.11,-0.17
2026-01-27,15,▼-7,운송,10.45,22.58,-0.29
2026-01-27,16,▲+5,2차전지,24.75,50.46,-0.36
2026-01-27,17,─,에너지/화학,12.95,30.78,-0.39
2026-01-27,18,▲+1,소프트웨어,9.96,28.13,-0.56
2026-01-27,19,▼-1,플랫폼,5.86,18.26,-0.58
2026-01-27,20,▲+4,게임,8.85,30.93,-0.63
2026-01-27,21,▼-1,바이오/헬스케어,15.58,37.91,-0.63
2026-01-27,22,─,소비재,5.79,19.46,-0.69
2026-01-27,23,▼-7,조선/해운,10.57,38.98,-0.85
2026-01-27,24,▼-1,미디어/엔터,1.53,30.74,-1.2
