date,rank,change,category,momentum_score,volatility_score,composite_score
2026-02-19,1,▲+1,Energy,15.51,18.39,1.51
2026-02-19,2,▲+1,Utilities,10.49,15.14,1.23
2026-02-19,3,▼-2,Consumer Staples,10.07,14.52,1.08
2026-02-19,4,▲+7,Industrials,12.45,19.1,0.91
2026-02-19,5,▲+1,Electric Energy Infrastructure,10.89,20.11,0.77
2026-02-19,6,▼-2,Pharmaceutical,10.62,16.99,0.73
2026-02-19,7,▼-2,Materials,24.39,52.96,0.63
2026-02-19,8,▲+1,Real Estate,5.77,13.52,0.57
2026-02-19,9,▼-1,Semiconductors,17.54,34.1,0.48
2026-02-19,10,▼-3,Silver Miners,33.92,75.96,0.4
2026-02-19,11,▲+2,Mortgage REITs,3.67,14.61,0.13
2026-02-19,12,▲+4,Clean Energy,10.64,36.92,0.06
2026-02-19,13,▲+4,Uranium,19.14,66.21,0.05
2026-02-19,14,▼-4,Banks,5.61,20.36,0.0
2026-02-19,15,▼-3,Metals & Mining,15.07,50.94,-0.02
2026-02-19,16,▲+2,Nuclear Energy,10.48,42.92,-0.02
2026-02-19,17,▼-2,Biotechnology,9.04,26.74,-0.08
2026-02-19,18,▼-4,Healthcare,4.19,15.53,-0.21
2026-02-19,19,▲+3,Automotive,-5.79,74.28,-0.37
2026-02-19,20,─,Financials,1.16,17.71,-0.54
2026-02-19,21,▼-2,Telecom,0.76,15.05,-0.54
2026-02-19,22,▲+2,Leisure & Entertainment,-6.09,46.91,-0.58
2026-02-19,23,▼-2,Technology,0.27,21.46,-0.61
2026-02-19,24,▲+1,Cloud Computing,-3.79,29.42,-0.89
2026-02-19,25,▲+1,Medical Devices,-2.21,17.99,-0.96
2026-02-19,26,▼-3,Consumer Discretionary,-2.25,34.16,-1.09
2026-02-19,27,▲+1,Cryptocurrency,-19.03,60.46,-1.33
2026-02-19,28,▼-1,Software,-11.67,29.59,-1.46
2026-02-19,29,─,Internet,-8.59,23.07,-1.55
