구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,000660.KS,SK하이닉스,2026-04-14,2026-06-02,1099000.0,1136000.0,,320.87,0.8174,72.17,Triple Bottom,,1089728.8912964042,1586036.786544339,3.37,
오늘신호,034020.KS,두산에너빌리티,2026-04-15,2026-06-03,103500.0,104200.0,,73.67,0.4261,39.06,Rect Bottom,,97467.59697260543,141858.39756044646,0.68,
오늘신호,000500.KS,가온전선,2026-04-15,2026-06-03,121900.0,128000.0,,111.05,-0.4,20.78,Triple Bottom,,119729.86960166502,174259.83577482868,5.0,
오늘신호,229640.KS,LS에코에너지,2026-04-15,2026-06-03,47800.0,50600.0,,55.59,-0.0957,17.73,Rect Bottom,,47330.7140769082,68887.09132973696,5.86,
오늘신호,004000.KS,롯데정밀화학,2026-04-15,2026-06-03,52800.0,53400.0,,31.85,-0.4957,-27.72,Rect Bottom,,49949.804974444625,72699.02523731133,1.14,
매수,000660.KS,SK하이닉스,2026-04-14,2026-06-02,1099000.0,1136000.0,,320.87,0.8174,72.17,Triple Bottom,,1089728.8912964042,1586036.786544339,3.37,
매수,047810.KS,한국항공우주,2026-04-09,2026-05-28,197600.0,190000.0,,124.32,0.7478,65.04,Rect Bottom,,188481.0056619961,274323.1008486561,-3.85,
매수,267270.KS,HD현대건설기계,2026-04-01,2026-05-20,141500.0,159800.0,,113.33,0.4522,56.1,Rect Bottom,,136753.96043565177,199037.4061740621,12.93,
매수,100840.KS,SNT에너지,2026-04-03,2026-05-22,51000.0,55700.0,,60.91,0.7739,45.94,Rect Bottom,,50417.49977757613,73379.72772080677,9.22,
매수,079550.KS,LIG넥스원,2026-04-09,2026-05-28,860000.0,893000.0,,82.06,0.8522,42.31,Rect Bottom,,832496.7495740771,1211650.4206218557,3.84,
매수,034020.KS,두산에너빌리티,2026-04-15,2026-06-03,103500.0,104200.0,,73.67,0.4261,39.06,Rect Bottom,,97467.59697260543,141858.39756044646,0.68,
매수,017960.KS,한국카본,2026-04-13,2026-06-01,47800.0,51100.0,,124.46,0.0783,38.09,Rect Bottom,,47424.2530375345,69023.23182643605,6.9,
매수,000720.KS,현대건설,2026-04-08,2026-05-27,159900.0,179100.0,,151.19,-0.1304,37.24,Rect Bottom,,170708.60314299894,248456.40647582995,12.01,
매수,001720.KS,신영증권,2026-04-08,2026-05-27,182375.0,209000.0,,76.97,0.4435,31.08,Inv H&S,,191754.86928391663,279088.01823312405,14.6,
매수,278470.KS,에이피알,2026-04-09,2026-05-28,359500.0,413000.0,,161.6,-0.9826,24.4,Rect Bottom,,348900.32313610194,507804.0526875867,14.88,
매수,052690.KS,한전기술,2026-04-08,2026-05-27,167000.0,178500.0,,102.47,-0.5652,23.95,Rect Bottom,,159764.54474972177,232527.968362037,6.89,
매수,000500.KS,가온전선,2026-04-15,2026-06-03,121900.0,128000.0,,111.05,-0.4,20.78,Triple Bottom,,119729.86960166502,174259.83577482868,5.0,
매수,011070.KS,LG이노텍,2026-04-08,2026-05-27,345000.0,383000.0,,151.31,-0.5565,19.09,Rect Bottom,,321306.32975134323,467642.6061613566,11.01,
매수,229640.KS,LS에코에너지,2026-04-15,2026-06-03,47800.0,50600.0,,55.59,-0.0957,17.73,Rect Bottom,,47330.7140769082,68887.09132973696,5.86,
매수,090460.KS,비에이치,2026-04-10,2026-05-29,22950.0,23950.0,,91.76,-0.4348,9.78,Rect Bottom,,21513.960944049184,31312.31424078953,4.36,
매수,281820.KS,케이씨텍,2026-04-13,2026-06-01,51000.0,53800.0,,95.36,-0.6435,3.34,Rect Bottom,,49856.26601381832,72562.88474061225,5.49,
매수,079900.KS,전진건설로봇,2026-04-08,2026-05-27,61080.90625,68200.0,,36.13,-0.2696,-4.14,Rect Bottom,,63980.64906838974,93120.09974217408,11.66,
매수,139130.KS,iM금융지주,2026-04-10,2026-05-29,17670.0,18260.0,,32.8,0.0435,-7.06,Triple Bottom,,16837.012912734142,24505.289405835283,3.34,
매수,078930.KS,GS,2026-04-13,2026-06-01,72601.7734375,72300.0,,55.43,-0.8435,-12.7,Triple Bottom,,68096.36333594698,99110.28159693381,-0.42,
매수,007070.KS,GS리테일,2026-04-09,2026-05-28,21900.0,22900.0,,38.32,-0.6087,-15.01,Inv H&S,,20812.418739351928,30291.26051554639,4.57,
매수,004000.KS,롯데정밀화학,2026-04-15,2026-06-03,52800.0,53400.0,,31.85,-0.4957,-27.72,Rect Bottom,,49949.804974444625,72699.02523731133,1.14,
매수,241560.KS,두산밥캣,2026-04-09,2026-05-28,67000.0,68900.0,,27.03,-0.5304,-29.7,Rect Bottom,,65009.57763527905,94617.645205864,2.84,
매수,082640.KS,동양생명,2026-03-27,2026-05-15,8480.0,8690.0,,31.47,-0.2435,-35.95,Rect Bottom,,8222.07463905184,11966.749659849564,2.48,
매수,003470.KS,유안타증권,2026-04-08,2026-05-27,4710.0,5010.0,,38.78,-0.7913,-40.3,Inv H&S,,4545.9934864382185,6616.428139575526,6.37,
매도패턴,004990.KS,롯데지주,2026-04-15,,29100.0,28650.0,,1.24,0.0,0.0,H&S,,,,-1.55,
매도패턴,267250.KS,HD현대,2026-04-14,,307551.61458333395,255000.0,,91.85,0.0,0.0,H&S,,,,-17.09,
매도패턴,023530.KS,롯데쇼핑,2026-04-14,,105333.33333333302,107400.0,,41.32,0.0,0.0,H&S,,,,1.96,
매도패턴,030190.KS,NICE평가정보,2026-04-08,,15630.0,15290.0,,-5.79,0.0,0.0,Triple Top,,,,-2.18,
매도패턴,071050.KS,한국금융지주,2026-04-07,,214114.0625,255000.0,,98.25,0.0,0.0,H&S,,,,19.1,
매도패턴,180640.KS,한진칼,2026-04-07,,107800.0,114300.0,,-3.95,0.0,0.0,Rect Top,,,,6.03,
매도패턴,039490.KS,키움증권,2026-04-06,,564000.0,466000.0,,130.25,0.0,0.0,H&S,,,,-17.38,
매도패턴,000120.KS,CJ대한통운,2026-04-06,,113614.28571428591,103600.0,,14.22,0.0,0.0,H&S,,,,-8.81,
매도패턴,009970.KS,영원무역홀딩스,2026-04-03,,214000.0,209000.0,,61.23,0.0,0.0,Triple Top,,,,-2.34,
매도패턴,034230.KS,파라다이스,2026-04-03,,15550.0,15400.0,,-2.97,0.0,0.0,Triple Top,,,,-0.96,
매도패턴,352820.KS,하이브,2026-04-02,,280103.25,255500.0,,-9.11,0.0,0.0,Rect Top,,,,-8.78,
매도패턴,029780.KS,삼성카드,2026-04-02,,51700.0,54300.0,,5.64,0.0,0.0,Triple Top,,,,5.03,
손절하락,011170.KS,롯데케미칼,2026-04-09,2026-05-28,97000.0,89600.0,,32.98,0.0,0.0,"Triple Bottom (손절 6% 이탈, -7.6%)",,90732.79180751176,132056.28179811235,-7.63,
매도전환,030190.KS,NICE평가정보,2026-04-01,,16720.0,15000.0,2026-04-14,,,,,,,,-10.29,
