date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-16,1,─,Energy,15.59,15.46,2.49
2026-03-16,2,─,Materials,9.27,42.27,0.67
2026-03-16,3,▲+1,Automotive,11.1,67.47,0.63
2026-03-16,4,▲+2,Biotechnology,6.24,25.65,0.47
2026-03-16,5,▲+2,Utilities,3.74,14.87,0.47
2026-03-16,6,▲+3,Metals & Mining,12.03,44.09,0.44
2026-03-16,7,▲+9,Clean Energy,6.75,33.09,0.41
2026-03-16,8,▼-3,Silver Miners,12.85,60.94,0.4
2026-03-16,9,▲+2,Semiconductors,8.09,34.46,0.36
2026-03-16,10,▼-7,Industrials,4.82,20.54,0.29
2026-03-16,11,▲+1,Uranium,6.37,56.16,0.19
2026-03-16,12,▲+6,Telecom,-0.18,13.57,0.16
2026-03-16,13,─,Nuclear Energy,3.09,37.03,0.12
2026-03-16,14,▲+8,Cryptocurrency,-5.76,51.76,0.08
2026-03-16,15,▲+4,Technology,-0.53,19.93,0.02
2026-03-16,16,▼-6,Pharmaceutical,3.31,16.14,-0.12
2026-03-16,17,▲+4,Software,-5.93,27.65,-0.14
2026-03-16,18,▼-10,Real Estate,1.09,11.43,-0.22
2026-03-16,19,▼-2,Consumer Staples,1.01,18.15,-0.28
2026-03-16,20,▲+3,Cloud Computing,-4.87,27.57,-0.3
2026-03-16,21,▼-1,Electric Energy Infrastructure,-0.01,20.34,-0.34
2026-03-16,22,▼-8,Healthcare,0.16,16.55,-0.35
2026-03-16,23,▲+4,Internet,-6.85,22.97,-0.53
2026-03-16,24,▼-9,Mortgage REITs,-1.13,12.91,-0.65
2026-03-16,25,▼-1,Consumer Discretionary,-9.77,34.35,-0.74
2026-03-16,26,▼-1,Leisure & Entertainment,-17.03,51.56,-0.84
2026-03-16,27,▼-1,Medical Devices,-6.4,18.86,-1.05
2026-03-16,28,─,Banks,-8.02,25.5,-1.16
2026-03-16,29,─,Financials,-7.86,21.09,-1.17
