티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
012200,계양전기,12540.0,12440.0,10659,16302,24.3,01/12,상승삼각,상승패턴,3419
290740,액트로,20450.0,19820.0,17382,26585,22.2,01/12,상승삼각,상승패턴,2073
099320,쎄트렉아이,128800.0,130400.0,109480,167440,20.0,01/12,상승삼각,상승패턴,14138
295310,에이치브이엠,80500.0,77500.0,68425,104650,18.2,01/12,W바닥,상승패턴,9593
475830,오름테라퓨틱,132000.0,132200.0,112200,171600,13.8,01/12,상승삼각,상승패턴,28154
043260,성호전자,13780.0,13800.0,11713,17914,12.2,01/12,상승삼각,상승패턴,9766
079550,LIG넥스원,555000.0,560000.0,471750,721500,12.1,01/12,상승삼각,상승패턴,121880
200470,에이팩트,7770.0,7880.0,6604,10101,12.0,01/12,상승삼각,상승패턴,3292
220260,켐트로스,8120.0,7810.0,6902,10556,12.0,01/12,상승삼각,상승패턴,2183
047810,한국항공우주,151000.0,153900.0,128350,196300,11.4,01/12,W바닥,상승패턴,147090
451760,컨텍,14880.0,14360.0,12648,19344,11.1,01/12,W바닥,상승패턴,2271
474650,링크솔루션,68700.0,70600.0,58395,89310,11.0,01/12,상승삼각,상승패턴,3881
417310,코람코더원리츠,8640.0,8700.0,7344,11232,11.0,01/12,상승삼각,"상승패턴, 이격도6.5%+기울기0.71%",3478
189300,인텔리안테크,74700.0,74200.0,63495,97110,10.5,01/12,상승삼각,상승패턴,8029
001430,세아베스틸지주,68700.0,68300.0,58395,89310,10.3,01/12,W바닥,상승패턴,24781
368770,파이버프로,16800.0,17020.0,14280,21840,10.0,01/12,상승삼각,상승패턴,5510
000660,SK하이닉스,747000.0,749000.0,634950,971100,9.4,01/12,W바닥,상승패턴,5452738
347700,스피어,20050.0,19250.0,17042,26065,9.4,01/12,W바닥,상승패턴,9403
464080,에스오에스랩,18980.0,19000.0,16133,24674,9.4,01/12,상승삼각,상승패턴,3367
101170,우림피티에스,21700.0,22050.0,18445,28210,9.2,01/12,상승삼각,상승패턴,2956
272210,한화시스템,77600.0,77700.0,65960,100880,9.0,01/12,상승삼각,상승패턴,146790
080220,제주반도체,29800.0,29750.0,25330,38740,9.0,01/12,W바닥,상승패턴,10281
086280,현대글로비스,241500.0,243500.0,205275,313950,8.4,01/12,상승삼각,상승패턴,181125
397030,에이프릴바이오,55400.0,54600.0,47090,72020,8.1,01/12,상승삼각,상승패턴,12857
006800,미래에셋증권,28500.0,28650.0,24225,37050,8.0,01/12,W바닥,상승패턴,161903
011210,현대위아,87000.0,83800.0,73950,113100,7.6,01/08,상승삼각,이격도9.9%+기울기1.42%,23904
304360,에스바이오메딕스,39800.0,38950.0,33830,51740,7.5,01/12,상승삼각,상승패턴,4850
084680,이월드,1597.0,1597.0,1357,2076,7.3,01/12,상승삼각,상승패턴,2302
318060,그래피,32700.0,32200.0,27795,42510,7.3,01/12,상승삼각,상승패턴,3627
036540,SFA반도체,5570.0,5550.0,4734,7241,7.3,01/12,W바닥,상승패턴,9177
