date,rank,change,category,momentum_score,volatility_score,composite_score
2026-04-13,1,▲+2,Banks,7.34,21.19,1.5
2026-04-13,2,▲+4,Semiconductors,17.81,39.97,1.35
2026-04-13,3,▼-1,Automotive,30.27,79.7,1.11
2026-04-13,4,▼-3,Energy,10.5,19.05,0.87
2026-04-13,5,▲+3,Financials,3.9,20.16,0.83
2026-04-13,6,▼-2,Utilities,5.8,18.46,0.63
2026-04-13,7,▼-2,Biotechnology,9.19,34.05,0.61
2026-04-13,8,▲+1,Electric Energy Infrastructure,5.91,26.11,0.57
2026-04-13,9,▼-2,Materials,8.56,47.17,0.45
2026-04-13,10,▲+4,Metals & Mining,8.49,45.11,0.3
2026-04-13,11,▼-1,Real Estate,2.87,16.21,0.26
2026-04-13,12,▲+1,Mortgage REITs,2.49,19.81,0.2
2026-04-13,13,▲+3,Technology,2.23,25.05,0.15
2026-04-13,14,▲+5,Industrials,3.44,25.12,0.09
2026-04-13,15,─,Leisure & Entertainment,-1.45,58.81,0.03
2026-04-13,16,▼-4,Clean Energy,3.27,37.1,0.0
2026-04-13,17,▼-6,Pharmaceutical,3.36,18.4,-0.02
2026-04-13,18,▲+5,Uranium,2.89,55.32,-0.11
2026-04-13,19,▼-2,Silver Miners,5.7,64.59,-0.17
2026-04-13,20,▲+6,Telecom,0.33,19.7,-0.26
2026-04-13,21,▲+4,Nuclear Energy,-0.51,39.13,-0.3
2026-04-13,22,▼-4,Consumer Staples,1.62,19.85,-0.35
2026-04-13,23,▼-1,Healthcare,0.26,18.91,-0.46
2026-04-13,24,▼-4,Cloud Computing,-4.36,34.55,-0.66
2026-04-13,25,▼-4,Cryptocurrency,-11.46,47.2,-0.82
2026-04-13,26,▲+1,Consumer Discretionary,-11.88,42.55,-0.93
2026-04-13,27,▲+2,Medical Devices,-4.99,19.92,-1.22
2026-04-13,28,─,Internet,-8.67,26.51,-1.28
2026-04-13,29,▼-5,Software,-11.43,35.9,-1.42
