티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
295310,에이치브이엠,76000.0,78700.0,64600,98800,21.5,01/13,W바닥,상승패턴,9218
012860,012860,3365.0,3365.0,2860,4374,13.9,01/13,W바닥,상승패턴,2464
000660,SK하이닉스,745500.0,749000.0,633675,969150,12.0,01/13,W바닥,상승패턴,5445458
361390,제노코,23650.0,25550.0,20102,30745,11.4,01/08,상승삼각,이격도5.9%+기울기2.74%,2090
347700,스피어,18330.0,18530.0,15580,23829,11.4,01/13,W바닥,상승패턴,8586
001430,세아베스틸지주,68800.0,69900.0,58480,89440,11.2,01/13,W바닥,상승패턴,24494
032940,원익,13830.0,14080.0,11756,17979,10.3,01/13,W바닥,상승패턴,2511
451760,컨텍,13440.0,13700.0,11424,17472,10.3,01/13,W바닥,상승패턴,2054
047810,한국항공우주,150700.0,150100.0,128095,195910,10.0,01/13,W바닥,상승패턴,147382
211270,AP위성,15070.0,14300.0,12810,19591,9.6,01/05,상승삼각,이격도6.9%+기울기1.09%,2264
354320,알멕,37250.0,37250.0,31662,48425,9.3,01/13,W바닥,상승패턴,2381
272210,한화시스템,82600.0,79000.0,70210,107380,9.1,01/13,상승삼각,상승패턴,155670
064350,현대로템,223500.0,222000.0,189975,290550,9.0,01/13,W바닥,상승패턴,246662
080220,제주반도체,29500.0,29450.0,25075,38350,8.7,01/13,W바닥,상승패턴,10195
012450,한화에어로스페이스,1262000.0,1240000.0,1072700,1640600,8.4,01/13,W바닥,상승패턴,656402
005380,현대차,393500.0,389000.0,334475,511550,8.3,01/13,상승삼각,상승패턴,803162
214430,아이쓰리시스템,94000.0,94000.0,79900,122200,8.3,01/13,W바닥,상승패턴,6920
006800,미래에셋증권,28650.0,28700.0,24352,37245,8.1,01/13,W바닥,상승패턴,162470
307950,현대오토에버,517000.0,512000.0,439450,672100,8.0,01/13,상승삼각,상승패턴,141782
101490,에스앤에스텍,63300.0,66600.0,53805,82290,7.8,01/13,W바닥,상승패턴,13761
042660,한화오션,148300.0,148600.0,126055,192790,7.5,01/13,W바닥,상승패턴,451347
005387,현대차2우B,244500.0,235500.0,207825,317850,7.4,01/07,상승삼각,이격도9.9%+기울기1.39%,85137
029460,케이씨,28400.0,28350.0,24140,36920,7.4,01/13,W바닥,상승패턴,3744
00680K,미래에셋증권2우B,12350.0,12390.0,10498,16055,7.3,01/13,W바닥,상승패턴,16907
005389,현대차3우B,234500.0,228000.0,199325,304850,7.2,01/09,상승삼각,이격도9.6%+기울기1.03%,5470
000880,한화,99500.0,97300.0,84575,129350,6.9,01/13,W바닥,상승패턴,74359
207940,삼성바이오로직스,1914000.0,1914000.0,1626900,2488200,6.9,01/13,W바닥,"상승패턴, 이격도7.9%+기울기0.89%",886935
036540,SFA반도체,5430.0,5470.0,4616,7059,6.7,01/13,W바닥,상승패턴,8947
950170,JTC,4615.0,4645.0,3923,6000,6.4,01/13,W바닥,상승패턴,2388
230360,에코마케팅,15910.0,15910.0,13524,20683,6.4,01/13,W바닥,상승패턴,4932
