티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,290000.0,286541.66666666605,2026-01-29,2026-03-30,628.64,Inv H&S,,0.0,275280.0,370000.0
174900.KQ,앱클론,64200.0,57600.0,2026-01-23,2026-03-24,469.65,Rect Bottom,,0.0,60263.99999999999,81000.0
298040.KS,효성중공업,2621000.0,2328000.0,2026-01-16,2026-03-17,388.08,Rect Bottom,,0.0,2194800.0,2950000.0
445680.KQ,큐리옥스바이오시스템즈,117600.0,119500.0,2026-01-21,2026-03-22,354.05,Triple Bottom,,0.0,112808.99999999999,151625.0
222800.KQ,심텍,62000.0,57384.421875,2026-01-28,2026-03-29,289.99,Triple Bottom,,0.0,57659.99999999999,77500.0
126340.KQ,비나텍,96900.0,91500.0,2026-01-28,2026-03-29,282.4,Rect Bottom,,0.0,93930.0,126250.0
090360.KQ,로보스타,91300.0,83500.0,2026-01-19,2026-03-20,273.42,Rect Bottom,,0.0,88350.0,118750.0
397030.KQ,에이프릴바이오,55400.0,57300.0,2026-01-28,2026-03-29,250.19,Rect Bottom,,0.0,53103.0,71375.0
115180.KQ,큐리언트,34450.0,31450.0,2026-01-28,2026-03-29,245.19,Rect Bottom,,0.0,32270.999999999996,43375.0
195870.KS,해성디에스,65100.0,58500.0,2026-01-26,2026-03-27,230.46,Rect Bottom,,0.0,53754.0,72250.0
226950.KQ,올릭스,140500.0,141300.0,2026-01-05,2026-03-06,222.99,Rect Bottom,,0.0,136059.0,182875.0
004800.KS,효성,157300.0,140700.0,2026-01-15,2026-03-16,202.5,Triple Bottom,,0.0,137640.0,185000.0
267250.KS,HD현대,233000.0,226500.0,2026-01-12,2026-03-13,197.7,Rect Bottom,,0.0,211110.0,283750.0
278470.KS,에이피알,274500.0,269500.0,2026-01-22,2026-03-23,184.84,Rect Bottom,,0.0,262260.0,352500.0
033640.KQ,네패스,19270.0,17950.0,2026-01-29,2026-03-30,179.68,Triple Bottom,,0.0,17763.0,23875.0
078350.KQ,한양디지텍,27700.0,25750.0,2026-01-27,2026-03-28,175.62,Triple Bottom,,0.0,24924.0,33500.0
089970.KQ,브이엠,30900.0,29950.0,2026-01-29,2026-03-30,168.7,Rect Bottom,,0.0,27156.0,36500.0
267260.KS,HD현대일렉트릭,914000.0,868000.0,2026-01-12,2026-03-13,167.52,Rect Bottom,,0.0,833280.0,1120000.0
042700.KS,한미반도체,204000.0,186500.0,2026-01-29,2026-03-30,159.87,Rect Bottom,,0.0,185907.0,249875.0
002020.KS,코오롱,58000.0,55700.0,2026-01-29,2026-03-30,158.35,Rect Bottom,,0.0,53847.0,72375.0
062040.KS,산일전기,148600.0,147100.0,2026-01-30,2026-03-31,156.65,Triple Bottom,,0.0,138198.0,185750.0
114190.KQ,강원에너지,17520.0,18490.0,2026-01-28,2026-03-29,156.52,Rect Bottom,,0.0,17158.5,23062.5
010120.KS,LS ELECTRIC,561000.0,518000.0,2026-01-14,2026-03-15,155.58,Rect Bottom,,0.0,498479.99999999994,670000.0
034730.KS,SK,322500.0,301500.0,2026-01-28,2026-03-29,144.44,Rect Bottom,,0.0,298530.0,401250.0
115310.KQ,인포바인,74850.0,74788.890625,2026-01-20,2026-03-21,142.1,Triple Bottom,,0.0,67890.0,91250.0
300080.KQ,플리토,16750.0,16980.0,2026-01-28,2026-03-29,141.59,Triple Bottom,,0.0,16042.499999999998,21562.5
102940.KQ,코오롱생명과학,60900.0,61200.0,2026-01-27,2026-03-28,139.29,Rect Bottom,,0.0,55613.99999999999,74750.0
071055.KS,한국금융지주우,151800.0,138500.0,2026-01-23,2026-03-24,137.19,Rect Bottom,,0.0,133362.0,179250.0
103590.KS,일진전기,67100.0,63500.0,2026-01-28,2026-03-29,132.99,Rect Bottom,,0.0,61379.99999999999,82500.0
015760.KS,한국전력,59500.0,52200.0,2026-01-13,2026-03-14,125.38,Rect Bottom,,0.0,51150.0,68750.0
