date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-23,1,─,IT,34.51,26.52,1.34
2026-01-23,2,▲+3,로봇,53.9,46.82,1.04
2026-01-23,3,─,AI,25.36,25.66,0.91
2026-01-23,4,▼-2,자동차,44.61,43.07,0.89
2026-01-23,5,▲+5,건설,26.17,32.31,0.65
2026-01-23,6,▲+7,금,24.13,23.37,0.58
2026-01-23,7,▼-1,방산/우주항공,36.45,47.54,0.53
2026-01-23,8,▼-1,금융,11.44,23.66,0.52
2026-01-23,9,▼-5,전력/인프라,31.06,36.42,0.38
2026-01-23,10,▼-2,반도체,27.96,36.66,0.25
2026-01-23,11,▲+1,부동산/리츠,5.13,7.36,0.21
2026-01-23,12,▼-1,운송,13.46,21.97,0.17
2026-01-23,13,▼-4,원자력,25.12,36.94,0.12
2026-01-23,14,─,신재생에너지,15.52,33.63,-0.06
2026-01-23,15,▲+2,철강/금속,17.29,40.11,-0.18
2026-01-23,16,▲+4,에너지/화학,10.22,31.66,-0.44
2026-01-23,17,▼-2,조선/해운,13.41,39.26,-0.47
2026-01-23,18,▲+5,소비재,5.56,20.05,-0.52
2026-01-23,19,▲+2,2차전지,15.61,48.32,-0.52
2026-01-23,20,▼-1,플랫폼,3.08,17.1,-0.66
2026-01-23,21,▼-3,소프트웨어,5.18,28.04,-0.7
2026-01-23,22,▼-6,바이오/헬스케어,7.1,32.15,-0.77
2026-01-23,23,▼-1,미디어/엔터,-0.42,30.66,-1.05
2026-01-23,24,─,게임,-2.08,25.91,-1.17
