티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,316500.0,286541.66666666605,2026-01-29,2026-03-30,685.36,Inv H&S,,0.0,275280.0,370000.0
195870.KS,해성디에스,62000.0,58500.0,2026-01-26,2026-03-27,203.92,Rect Bottom,,0.0,53754.0,72250.0
034020.KS,두산에너빌리티,94300.0,95400.0,2026-02-04,2026-04-05,201.28,Rect Bottom,,0.0,87420.0,117500.0
267250.KS,HD현대,243500.0,226500.0,2026-01-12,2026-03-13,200.51,Rect Bottom,,0.0,211110.0,283750.0
078350.KQ,한양디지텍,28550.0,25750.0,2026-01-27,2026-03-28,192.52,Triple Bottom,,0.0,24924.0,33500.0
004800.KS,효성,148900.0,140700.0,2026-01-15,2026-03-16,172.21,Triple Bottom,,0.0,137640.0,185000.0
267260.KS,HD현대일렉트릭,888000.0,922000.0,2026-02-04,2026-04-05,151.84,Rect Bottom,,0.0,831420.0,1117500.0
032350.KS,롯데관광개발,26600.0,23600.0,2026-01-22,2026-03-23,147.44,Rect Bottom,,0.0,21855.0,29375.0
034730.KS,SK,338500.0,301500.0,2026-01-28,2026-03-29,145.85,Rect Bottom,,0.0,298530.0,401250.0
033640.KQ,네패스,18920.0,17950.0,2026-01-29,2026-03-30,143.19,Triple Bottom,,0.0,17763.0,23875.0
103590.KS,일진전기,68100.0,63500.0,2026-01-28,2026-03-29,141.49,Rect Bottom,,0.0,61379.99999999999,82500.0
115310.KQ,인포바인,78600.0,74788.890625,2026-01-20,2026-03-21,141.21,Triple Bottom,,0.0,67890.0,91250.0
042700.KS,한미반도체,198600.0,186500.0,2026-01-29,2026-03-30,136.99,Rect Bottom,,0.0,185907.0,249875.0
170920.KQ,엘티씨,26750.0,23600.0,2026-01-21,2026-03-22,136.54,Rect Bottom,,0.0,22180.5,29812.5
014680.KS,한솔케미칼,280500.0,252000.0,2026-01-20,2026-03-21,133.94,Triple Bottom,,0.0,239009.99999999997,321250.0
036810.KQ,에프에스티,41600.0,36534.65234375,2026-01-22,2026-03-23,123.25,Rect Bottom,,0.0,34782.0,46750.0
009155.KS,삼성전기우,125400.0,127008.0,2026-01-15,2026-03-16,122.54,Rect Bottom,,0.0,120434.99999999999,161875.0
071055.KS,한국금융지주우,146200.0,138500.0,2026-01-23,2026-03-24,119.85,Rect Bottom,,0.0,133362.0,179250.0
00088K.KS,한화3우B,49700.0,43900.0,2026-01-13,2026-03-14,114.69,Rect Bottom,,0.0,41292.0,55500.0
044490.KQ,태웅,31500.0,29000.0,2026-01-16,2026-03-17,114.43,Rect Bottom,,0.0,28271.999999999996,38000.0
054210.KQ,이랜텍,10560.0,9561.2646484375,2026-01-19,2026-03-20,111.47,Rect Bottom,,0.0,9467.4,12725.0
02826K.KS,삼성물산우B,191200.0,190600.0,2026-02-04,2026-04-05,109.22,Rect Bottom,,0.0,176700.0,237500.0
107640.KQ,한중엔시에스,53900.0,51600.0,2026-02-04,2026-04-05,108.51,Rect Bottom,,0.0,50871.0,68375.0
102710.KQ,이엔에프테크놀로지,54500.0,50900.0,2026-01-26,2026-03-27,106.71,Triple Bottom,,0.0,46965.0,63125.0
093520.KQ,매커스,23100.0,22643.212890625,2026-01-29,2026-03-30,104.84,Triple Bottom,,0.0,22971.0,30875.0
104830.KQ,원익머트리얼즈,41550.0,38350.832741477294,2026-01-28,2026-03-29,103.03,Inv H&S,,0.0,37200.0,50000.0
006405.KS,삼성SDI우,212000.0,195000.0,2026-01-22,2026-03-23,101.14,Rect Bottom,,0.0,209250.0,281250.0
082740.KS,한화엔진,58700.0,57600.0,2026-02-04,2026-04-05,100.34,Rect Bottom,,0.0,54126.0,72750.0
009970.KS,영원무역홀딩스,212000.0,194700.0,2026-01-23,2026-03-24,100.3,Triple Bottom,,0.0,177909.0,239125.0
015860.KS,일진홀딩스,7710.0,7550.0,2026-01-29,2026-03-30,97.95,Triple Bottom,,0.0,7049.4,9475.0
