티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
458870.KQ,씨어스테크놀로지,127600.0,130100.0,2026-01-15,2026-01-30,884.57,Triple Bottom,,0.0,105846.0,203550.0
298040.KS,효성중공업,2367000.0,2328000.0,2026-01-16,2026-01-31,440.41,Rect Bottom,,0.0,1840800.0,3540000.0
124500.KQ,아이티센글로벌,30850.0,33950.0,2026-01-12,2026-01-27,373.89,Rect Bottom,,0.0,29094.0,55950.0
353200.KS,대덕전자,51900.0,49500.0,2026-01-15,2026-01-30,263.7,Triple Bottom,,0.0,39936.0,76800.0
267250.KS,HD현대,248000.0,226500.0,2026-01-12,2026-01-27,251.43,Rect Bottom,,0.0,177060.0,340500.0
097230.KS,HJ중공업,26000.0,24200.0,2026-01-08,2026-01-23,250.88,Triple Bottom,,0.0,19812.0,38100.0
090360.KQ,로보스타,85700.0,83500.0,2026-01-19,2026-02-03,248.37,Rect Bottom,,0.0,66846.0,128550.0
000155.KS,두산우,515000.0,504000.0,2026-01-14,2026-01-29,237.48,Triple Bottom,,0.0,407940.0,784500.0
010120.KS,LS ELECTRIC,534000.0,518000.0,2026-01-14,2026-01-29,209.39,Rect Bottom,,0.0,418080.0,804000.0
267260.KS,HD현대일렉트릭,921000.0,868000.0,2026-01-12,2026-01-27,207.19,Rect Bottom,,0.0,698880.0,1344000.0
214370.KQ,케어젠,76700.0,73800.0,2026-01-19,2026-02-03,205.39,Triple Bottom,,0.0,59826.0,115050.0
004800.KS,효성,151700.0,140700.0,2026-01-15,2026-01-30,203.4,Triple Bottom,,0.0,115440.0,222000.0
105840.KS,우진,22150.0,19410.0,2026-01-12,2026-01-27,195.22,Rect Bottom,,0.0,15912.0,30600.0
054540.KQ,삼영엠텍,15130.0,15900.0,2026-01-09,2026-01-24,190.96,Triple Bottom,,0.0,12885.6,24780.0
062040.KS,산일전기,145000.0,133615.38461538462,2026-01-14,2026-01-29,187.7,Inv H&S,,0.0,112164.0,215700.0
103590.KS,일진전기,62700.0,60400.0,2026-01-05,2026-01-20,173.8,Triple Bottom,,0.0,49530.0,95250.0
226950.KQ,올릭스,140500.0,141300.0,2026-01-05,2026-01-20,171.76,Rect Bottom,,0.0,114114.0,219450.0
244920.KS,에이플러스에셋,11070.0,9850.0,2026-01-14,2026-01-29,154.48,Rect Bottom,,0.0,8182.200000000001,15735.0
028260.KS,삼성물산,291000.0,255000.0,2026-01-06,2026-01-21,151.3,Rect Bottom,,0.0,202800.0,390000.0
075580.KS,세진중공업,20550.0,18690.0,2026-01-07,2026-01-22,147.0,Triple Bottom,,0.0,14765.4,28395.0
071050.KS,한국금융지주,181200.0,182300.0,2026-01-16,2026-01-31,145.53,Rect Bottom,,0.0,142818.0,274650.0
039030.KQ,이오테크닉스,295500.0,300920.1875,2026-01-05,2026-01-20,145.5,Rect Bottom,,0.0,241410.0,464250.0
006730.KQ,서부T&D,13900.0,13100.0,2026-01-14,2026-01-29,143.67,Triple Bottom,,0.0,10553.4,20295.0
071055.KS,한국금융지주우,136500.0,134500.0,2026-01-16,2026-01-31,134.54,Triple Bottom,,0.0,108030.0,207750.0
009155.KS,삼성전기우,128500.0,120900.0,2026-01-14,2026-01-29,134.49,Inv H&S,,0.0,97812.0,188100.0
034730.KS,SK,295500.0,279500.0,2026-01-06,2026-01-21,131.82,Rect Bottom,,0.0,222300.0,427500.0
001270.KS,부국증권,61900.0,61100.0,2026-01-16,2026-01-31,130.11,Triple Bottom,,0.0,49608.0,95400.0
218410.KQ,RFHIC,34000.0,36640.4609375,2026-01-06,2026-01-21,128.72,Triple Bottom,,0.0,29640.0,57000.0
001440.KS,대한전선,25900.0,24400.0,2026-01-05,2026-01-20,128.19,Rect Bottom,,0.0,21021.0,40425.0
015760.KS,한국전력,56400.0,52200.0,2026-01-13,2026-01-28,122.49,Rect Bottom,,0.0,42900.0,82500.0
