date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-30,1,─,IT,43.29,26.79,1.45
2026-01-30,2,─,AI,33.6,26.73,0.9
2026-01-30,3,─,로봇,58.71,45.98,0.89
2026-01-30,4,▲+2,금,37.06,32.31,0.6
2026-01-30,5,▲+5,반도체,50.99,42.52,0.56
2026-01-30,6,▼-1,금융,22.37,27.59,0.4
2026-01-30,7,─,건설,27.21,31.13,0.37
2026-01-30,8,▼-4,자동차,42.84,44.25,0.33
2026-01-30,9,▲+6,철강/금속,34.67,38.75,0.32
2026-01-30,10,▼-1,전력/인프라,35.84,33.45,0.16
2026-01-30,11,▼-3,방산/우주항공,37.57,45.33,0.14
2026-01-30,12,▲+2,신재생에너지,21.14,30.51,-0.03
2026-01-30,13,▼-1,운송,15.53,22.71,-0.08
2026-01-30,14,▲+5,2차전지,34.92,50.43,-0.16
2026-01-30,15,▼-2,원자력,25.18,31.84,-0.24
2026-01-30,16,─,에너지/화학,17.23,28.9,-0.31
2026-01-30,17,▲+3,플랫폼,11.4,20.54,-0.43
2026-01-30,18,─,소비재,9.48,19.44,-0.54
2026-01-30,19,▲+5,게임,12.32,29.12,-0.6
2026-01-30,20,▲+1,바이오/헬스케어,17.77,38.25,-0.8
2026-01-30,21,▲+2,미디어/엔터,6.38,26.28,-0.82
2026-01-30,22,▼-5,조선/해운,13.23,37.91,-0.94
2026-01-30,23,▼-1,소프트웨어,9.67,27.12,-0.95
2026-01-30,24,▼-13,부동산/리츠,3.49,7.57,-1.05
