티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,318000.0,286541.6666666665,2026-01-29,2026-03-30,696.99,Inv H&S,,0.0,275280.0,370000.0
174900.KQ,앱클론,66000.0,57600.0,2026-01-23,2026-03-24,534.01,Rect Bottom,,0.0,60263.99999999999,81000.0
445680.KQ,큐리옥스바이오시스템즈,128800.0,124500.0,2026-02-03,2026-04-04,404.11,Rect Bottom,,0.0,114575.99999999999,154000.0
298040.KS,효성중공업,2366000.0,2328000.0,2026-01-16,2026-03-17,338.15,Rect Bottom,,0.0,2194800.0,2950000.0
397030.KQ,에이프릴바이오,64400.0,57300.0,2026-01-28,2026-03-29,283.33,Rect Bottom,,0.0,53103.0,71375.0
222800.KQ,심텍,61200.0,57384.421875,2026-01-28,2026-03-29,240.68,Triple Bottom,,0.0,57659.99999999999,77500.0
356860.KQ,티엘비,62300.0,61700.0,2026-02-03,2026-04-04,231.55,Triple Bottom,,0.0,57380.99999999999,77125.0
195870.KS,해성디에스,63500.0,58500.0,2026-01-26,2026-03-27,218.3,Rect Bottom,,0.0,53754.0,72250.0
115180.KQ,큐리언트,33700.0,31450.0,2026-01-28,2026-03-29,214.95,Rect Bottom,,0.0,32270.999999999996,43375.0
267250.KS,HD현대,237000.0,226500.0,2026-01-12,2026-03-13,197.56,Rect Bottom,,0.0,211110.0,283750.0
102940.KQ,코오롱생명과학,69100.0,61200.0,2026-01-27,2026-03-28,182.04,Rect Bottom,,0.0,55613.99999999999,74750.0
004800.KS,효성,148500.0,140700.0,2026-01-15,2026-03-16,173.99,Triple Bottom,,0.0,137640.0,185000.0
267260.KS,HD현대일렉트릭,908500.0,868000.0,2026-01-12,2026-03-13,167.47,Rect Bottom,,0.0,833280.0,1120000.0
278470.KS,에이피알,279000.0,269500.0,2026-01-22,2026-03-23,161.12,Rect Bottom,,0.0,262260.0,352500.0
089970.KQ,브이엠,29650.0,29950.0,2026-01-29,2026-03-30,151.91,Rect Bottom,,0.0,27156.0,36500.0
115310.KQ,인포바인,79200.0,74788.890625,2026-01-20,2026-03-21,150.99,Triple Bottom,,0.0,67890.0,91250.0
499790.KS,GS피앤엘,57200.0,51500.0,2026-02-03,2026-04-04,148.16,Rect Bottom,,0.0,50685.0,68125.0
042700.KS,한미반도체,200250.0,186500.0,2026-01-29,2026-03-30,147.22,Rect Bottom,,0.0,185907.0,249875.0
014680.KS,한솔케미칼,286500.0,252000.0,2026-01-20,2026-03-21,146.56,Triple Bottom,,0.0,239009.99999999997,321250.0
033640.KQ,네패스,17910.0,17950.0,2026-01-29,2026-03-30,143.67,Triple Bottom,,0.0,17763.0,23875.0
062040.KS,산일전기,151900.0,150400.0,2026-02-04,2026-04-05,140.35,Rect Bottom,,0.0,141267.0,189875.0
034730.KS,SK,323000.0,301500.0,2026-01-28,2026-03-29,138.89,Rect Bottom,,0.0,298530.0,401250.0
032350.KS,롯데관광개발,25450.0,23600.0,2026-01-22,2026-03-23,135.43,Rect Bottom,,0.0,21855.0,29375.0
103590.KS,일진전기,67300.0,63500.0,2026-01-28,2026-03-29,135.31,Rect Bottom,,0.0,61379.99999999999,82500.0
009155.KS,삼성전기우,124800.0,127008.0,2026-01-15,2026-03-16,123.81,Rect Bottom,,0.0,120434.99999999999,161875.0
336260.KS,두산퓨얼셀,35400.0,31450.0,2026-01-13,2026-03-14,120.97,Triple Bottom,,0.0,31154.999999999996,41875.0
071055.KS,한국금융지주우,146500.0,138500.0,2026-01-23,2026-03-24,119.64,Rect Bottom,,0.0,133362.0,179250.0
00088K.KS,한화3우B,49350.0,43900.0,2026-01-13,2026-03-14,117.88,Rect Bottom,,0.0,41292.0,55500.0
310210.KQ,보로노이,232500.0,230500.0,2026-02-04,2026-04-05,117.29,Rect Bottom,,0.0,216225.0,290625.0
420770.KQ,기가비스,56600.0,55500.0,2026-02-04,2026-04-05,112.82,Rect Bottom,,0.0,52638.0,70750.0
