date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-20,1,▲+3,Silver Miners,55.33,45.16,1.84
2026-01-20,2,▼-1,Metals & Mining,35.05,36.05,1.5
2026-01-20,3,▼-1,Materials,33.24,31.99,1.49
2026-01-20,4,▲+3,Uranium,28.55,45.85,0.89
2026-01-20,5,▲+3,Semiconductors,16.93,28.04,0.71
2026-01-20,6,▼-1,Industrials,11.02,19.36,0.7
2026-01-20,7,▼-4,Pharmaceutical,10.43,14.8,0.61
2026-01-20,8,▼-2,Energy,7.53,17.5,0.48
2026-01-20,9,─,Biotechnology,15.14,24.15,0.48
2026-01-20,10,▲+2,Clean Energy,14.66,30.0,0.37
2026-01-20,11,▲+2,Consumer Staples,5.24,14.08,0.29
2026-01-20,12,▼-2,Mortgage REITs,5.33,13.25,0.28
2026-01-20,13,▲+1,Nuclear Energy,11.45,32.08,0.24
2026-01-20,14,▼-3,Healthcare,6.89,14.93,0.14
2026-01-20,15,▲+9,Automotive,4.3,75.89,-0.01
2026-01-20,16,▲+2,Utilities,3.12,13.1,-0.06
2026-01-20,17,▼-1,Real Estate,2.03,12.17,-0.11
2026-01-20,18,▼-3,Banks,5.41,18.49,-0.11
2026-01-20,19,─,Electric Energy Infrastructure,4.11,18.66,-0.12
2026-01-20,20,▲+1,Financials,2.1,16.38,-0.48
2026-01-20,21,▼-1,Medical Devices,1.97,18.0,-0.55
2026-01-20,22,─,Cryptocurrency,-3.3,42.84,-0.66
2026-01-20,23,▼-6,Telecom,1.33,11.59,-0.72
2026-01-20,24,▼-1,Technology,0.04,16.4,-0.8
2026-01-20,25,▲+1,Consumer Discretionary,-2.49,36.99,-0.9
2026-01-20,26,▼-1,Leisure & Entertainment,-4.6,36.5,-0.94
2026-01-20,27,▲+1,Internet,-3.44,22.44,-1.21
2026-01-20,28,▼-1,Cloud Computing,-3.52,21.26,-1.21
2026-01-20,29,─,Software,-10.67,18.91,-1.98
