date,rank,change,category,momentum_score,volatility_score,composite_score
2026-02-04,1,▲+5,Energy,15.55,17.56,1.48
2026-02-04,2,▲+5,Consumer Staples,10.43,14.18,1.21
2026-02-04,3,▼-1,Materials,27.12,43.52,1.01
2026-02-04,4,▲+5,Pharmaceutical,12.95,16.97,0.98
2026-02-04,5,▼-4,Silver Miners,42.28,65.16,0.9
2026-02-04,6,▼-3,Metals & Mining,22.89,44.83,0.55
2026-02-04,7,▲+8,Utilities,5.94,13.31,0.54
2026-02-04,8,▲+8,Banks,10.72,23.43,0.52
2026-02-04,9,▲+1,Industrials,8.1,19.04,0.45
2026-02-04,10,▲+3,Electric Energy Infrastructure,7.27,18.32,0.44
2026-02-04,11,▼-3,Clean Energy,12.87,31.12,0.36
2026-02-04,12,─,Biotechnology,12.24,25.51,0.35
2026-02-04,13,▼-9,Uranium,20.08,61.92,0.18
2026-02-04,14,─,Mortgage REITs,4.44,15.64,0.17
2026-02-04,15,▲+4,Real Estate,2.99,13.15,0.04
2026-02-04,16,▼-11,Semiconductors,9.34,33.03,0.02
2026-02-04,17,▲+1,Healthcare,5.44,15.4,-0.0
2026-02-04,18,▼-1,Telecom,3.0,15.63,-0.11
2026-02-04,19,▲+1,Financials,3.27,16.02,-0.19
2026-02-04,20,▼-9,Nuclear Energy,5.83,39.39,-0.22
2026-02-04,21,▲+1,Automotive,-3.94,80.36,-0.43
2026-02-04,22,▲+1,Consumer Discretionary,-1.36,38.08,-0.51
2026-02-04,23,▲+1,Leisure & Entertainment,-6.07,39.58,-0.72
2026-02-04,24,▼-3,Technology,-2.65,19.34,-0.85
2026-02-04,25,─,Internet,-7.49,23.45,-1.26
2026-02-04,26,▲+1,Cloud Computing,-9.25,25.72,-1.36
2026-02-04,27,▲+1,Medical Devices,-4.2,16.14,-1.38
2026-02-04,28,▼-2,Cryptocurrency,-20.37,44.45,-1.46
2026-02-04,29,─,Software,-16.13,23.09,-2.01
